gene_id,gene_short_name,cell_group,CeNGEN_annotation,Additional genes used for annotation,Notes,Final annotation,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value
WBGene00000473,cey-2,1,Germline,"This cluster does not express smrc-1, fog-2, him-3, xnd-1, par-1, daz-1 which are all involved in mitosis and meiosis in germ cells.  ",,Differentiated germ,0.081169446,2.894514795,0.824858757,0.098404055,0.256685278,0,0
WBGene00001168,eef-1A.1,1,,,,,0.047312876,21.14723195,0.998801575,0.047369645,0.244485431,0,0
WBGene00004798,sip-1,1,,,,,0.058851641,2.290367428,0.740284198,0.079498713,0.203747673,0,0
WBGene00004471,rps-2,1,,,,,0.041609865,7.278112861,0.968327341,0.042970866,0.198067315,0,0
WBGene00004422,rpl-11.1,1,,,,,0.052665783,6.002189042,0.958055128,0.054971558,0.190550487,0,0
WBGene00007709,clec-87,1,,,,,0.049347193,2.111082484,0.708953946,0.069605639,0.176405411,0,0
WBGene00004421,rpl-10,1,,,,,0.02930859,9.135826424,0.992467043,0.029531046,0.163849498,0,0
WBGene00011156,R09B3.3,1,,,,,0.042547725,9.773434732,0.98459168,0.043213574,0.160823705,0,0
WBGene00002064,iff-1,1,,,,,0.049541096,4.132346904,0.913713405,0.054219513,0.155473648,0,0
WBGene00000474,cey-3,1,,,,,0.053212851,1.499081193,0.662386578,0.080335039,0.137386821,0,0
WBGene00003992,pgl-1,2,Germline,"This cluster prominently expresses smrc-1, fog-2, xnd-1 and daz-1 which are all expressed in proliferative and meiotic germ (but not in mature oocytes). This cluster does not express lst-1 and sygl-1 as prominently as cluster 8, 12, 21 and 22. Its average UMI count is also significantly lower than the average UMI of clusters 8, 12, 21 and 22 and it has lower expression of ribosomal genes compared to those clusters indicating that transcription rates are lower in this cluster. Also expresses genes involved in meiosis such as: zim-1, zim-2, zim-3, syp-1, syp-2, syp-3, syp-3 and others.",,Meiotic germ cells,0.104936831,1.31761532,0.840399862,0.124865359,0.292568091,0,0
WBGene00001320,ent-1,2,,,,,0.094597774,0.702194758,0.666494312,0.141933355,0.223357804,0,0
WBGene00001167,eef-2,2,,,,,0.047239325,6.335542799,0.988969321,0.047766218,0.220519193,0,0
WBGene00003798,npp-12,2,,,,,0.078072333,0.726876705,0.700620476,0.111433131,0.216625661,0,0
WBGene00020915,nol-5,2,,,,,0.069134448,1.499475898,0.866425371,0.079792733,0.213781821,0,0
WBGene00010478,K01G5.5,2,,,,,0.060680511,1.487591521,0.874526026,0.069386741,0.212128154,0,0
WBGene00002850,let-716,2,,,,,0.0660208,0.986220229,0.787659428,0.083818967,0.208825836,0,0
WBGene00001423,fib-1,2,,,,,0.06138433,2.315582143,0.926232334,0.066273145,0.208659851,0,0
WBGene00000229,atp-2,2,,,,,0.038768485,3.967913481,0.964667356,0.040188449,0.202681014,0,0
WBGene00004422,rpl-11.1,2,,,,,0.051063045,5.59041393,0.983281627,0.051931251,0.200271199,0,0
WBGene00004179,prg-2,3,Germline,This cluster prominently expresses ced-7 which is a marker for apoptotic germ cells (PMID: 11163239).,,Apoptotic germ cells,0.086603109,1.117486308,0.584609904,0.148138286,0.226320957,0,0
WBGene00010351,cbd-1,3,,,,,0.078045833,1.408237109,0.666547916,0.117089606,0.207092527,0,0
WBGene00003798,npp-12,3,,,,,0.081195578,1.01749631,0.562522266,0.144341981,0.200080261,0,0
WBGene00011886,T21B10.4,3,,,,,0.064036525,0.583845419,0.421802636,0.151816322,0.138341855,0,0
WBGene00000962,dhc-1,3,,,,,0.032459766,1.008972051,0.585144282,0.055473097,0.119558707,0,0
WBGene00001320,ent-1,3,,,,,0.059721986,0.677467127,0.432490203,0.138088645,0.115727021,0,0
WBGene00008173,C48B4.10,3,,,,,0.061446052,0.458705491,0.339686498,0.180890476,0.115144413,0,0
WBGene00010964,ctc-1,3,,,,,0.023896319,10.84563155,0.977377984,0.024449414,0.108260611,0,0
WBGene00004044,plk-3,3,,,,,0.042289188,0.672281703,0.471856074,0.089623065,0.102090704,0,0
WBGene00001609,glp-1,3,,,,,0.037090336,0.435796296,0.36159601,0.102573964,0.099043239,0,0
