,ADF,ADL,AFD,AIB,AIZ,ASE,ASH,AVA,AVB,AVE,AVJ,AVM,AWB,AWC,Amphid sheath,Amphid socket,Anal muscle,Apoptotic germ cells,Arcade cells,BAG,Body wall muscle anterior,Body wall muscle middle,Body wall muscle posterior,CAN,Cephalic and inner labial socket,Cephalic sheath,Coelomocytes,DB_VB,DVB,Distal tip,Embryonic cells,Excretory cells,Excretory duct,Excretory gland,GLR,Glia_1,Glia_2,Glia_3,Glia_4,HSN,Hypodermis head,Hypodermis tail,I1,I2,I4,IL1,Intestinal-rectal valve,Intestine anterior,Intestine middle,Intestine posterior,M2,M3,M4,M5,Marginal cells,Mature sperm,Meiotic germ cells,Mitotic germ cells,NSM,OLL,OLQ,Oocytes,PDA,PDB,PHC,PLM_ALM,PLN,PVD_FLP,PVM,PVN,PVP,PVR,PVT,Phasmid sheath,Phasmid socket,RIA,RIC,RIF,RIH,RIM,RIV,RMD,RMD_LR,RME,RMF,Rectal gland,SAA,SAB,SIA,SIB,Seam cells (bus+),Seam cells (grd+),Seminal vesicle (male),Spermatheca bag distal,Spermatheca bag proximal,Spermatheca neck distal,Spermatheca neck proximal,Spermatheca-Uterine junction,Spermatids,Spermatocytes,Syncitial pachytene spermatocytes,URX_AQR_PQR,Unassigned sex-specific muscle,Unassigned sheath cells,Unassigned uterine cells,Uterine muscle,Uterine seam cells,Uterine toroid,Uterine-vulval cells,VC,VD_DD,Vulval cells,cat-4(+)ptps-1(+) intestine anterior,e1_e3 (pharyngeal epithelium),e2 (pharyngeal epithelium),g1A (pharyngeal gland),g1P (pharyngeal gland),g2 (pharyngeal gland),hmc,hyp4_to_hyp6,hyp7 (hypodermis),pm1_pm2 (pharyngeal muscle),pm3_pm4_pm5 (pharyngeal muscle),pm6_pm7 (pharyngeal muscle),sh2 (gonadal sheath distal),sh3_sh4 (gonadal sheath proximal),sh5 (gonadal sheath proximal),vm1 (vulval muscle),vm2 (vulval muscle),timepoints
LFQ intensity D1_1,0.0,0.0004607673526254368,0.02092765067172815,0.006378556298880889,0.007829011710128937,0.0,0.014084709123289291,0.0,0.011015714710034858,2.1093701540241934e-19,0.015612083460891078,0.0,0.007829011710128937,0.020767375446895373,0.0,0.0,0.032138133879581095,0.018175910670011345,0.0,0.0,0.0043635482359294505,0.0,0.008038706833073101,0.012745598613372123,0.004609879874598256,0.028235231826478975,0.0,0.0,0.0,0.02392940797219591,0.0,0.0,0.0,0.0028213965650476774,0.003071000298987963,0.02021161901450762,0.0,0.0,0.0018250942441720294,0.009274914470785052,0.027168121093549345,0.0,0.0,0.01702402497630946,0.0,0.0,0.03548352894734784,0.015022307501493687,0.01996008167585257,0.058845882614842214,0.0,0.0,0.0,0.0,0.0018703082035490687,0.0,0.027494252336375334,0.044022755130447684,0.0,0.0,2.1093701540241934e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017559819384432237,0.0,0.006758020733984944,0.0,0.0,0.0,2.1093701540241934e-19,0.0063785562988808815,0.00035415365917988235,0.006282233814588971,0.0,0.0,0.0028526785021625034,0.0,0.0028526785021625034,0.017183321067341682,0.0,0.0,0.0022035173972868595,0.0,0.035822598150841246,0.01578063119946453,0.02291108369836339,0.010229516857169984,0.020337037626616473,0.00636624348102046,0.0,0.015339276211527298,0.0,0.0,0.027693509663134486,0.0,0.010905935848356748,0.023039203353275254,0.011572316695351447,0.018382718031114985,0.019290798349581882,0.0024411372526464,0.0068506402849452435,0.015577026813839878,0.0,0.0,0.0,0.0,0.0,0.006985540135837697,0.0027695267617488016,0.0,0.0,0.014854611846460117,0.0,0.0,0.054676825502447936,0.00465779957612452,0.016498094073706074,0.0,0.002333179088238668,0.03475467610450935,0.016268508570545927,1
LFQ intensity D1_10,0.0,0.00133150154206289,0.0,0.009191758200579053,0.007508047688261213,0.0,0.010521363393487759,0.0,0.011983266684342096,0.0070680867113138085,0.016526715458335856,0.0,0.00750804768826121,0.02357534584931919,0.0,0.0,0.02934531938897067,0.017968461292704217,0.0,0.0,0.002767016737198034,0.0,0.02150017927328077,0.009186356686226393,0.005231263156652717,0.02167968993193589,0.0,0.0,0.0,0.015659253777775613,0.0,0.0013182120445609565,0.00013128681228269585,0.008309198499758008,0.0,0.019099020714671566,0.0,0.0,0.0017265180981139382,0.010654741095179018,0.0278008979789823,0.0,0.0,0.019994622859632948,0.0,0.0,0.035649646969713046,0.01262076948957812,0.01888200697757698,0.05286936879357606,0.0,0.0,0.0,0.0,0.0,0.0,0.031166470482250453,0.035785770213680644,0.0,0.0015230136828101068,0.0015230136828101068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019603836255768173,0.0,0.009550663537222441,0.0,0.0,0.0,1.2471498931402852e-19,0.009191758200579048,0.0016363700288630234,0.0017273485112062191,2.4942997862805706e-20,1.2471498931402852e-19,0.004052796487493724,0.0,0.0040527964874937225,0.015289820577106044,0.0,0.0,0.0029821666815897075,0.0,0.04002214503012663,0.030767991580191553,0.023897436795399973,0.007429595242564017,0.023772721091307545,0.011666670863211027,0.004457915443968789,0.0025862129583306987,0.0,0.0,0.026717589861210013,0.0,0.011329962457962682,0.026906110357417464,0.021149062144296942,0.01991500198628565,0.014932758507769865,0.005896500468243787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007901027621263209,0.006671748578411448,0.0,0.0,0.003456299608084387,0.0,0.0,0.045266489731076304,0.014265296983353616,0.01979713207273262,0.0,0.0013772552547688557,0.04393633905927681,0.020186947679539578,1
LFQ intensity D1_11,0.0,0.005814914777395637,0.0,0.00714195051160741,0.007607988320469738,0.0,0.009838869349584275,0.0,0.011562955550636104,0.0031939090421519867,0.018036167608674294,0.0,0.007607988320469737,0.023760974847159368,0.0,0.0001400071140433595,0.03423577874104158,0.013202412431035484,0.0,0.0,0.00545942791567031,0.0,0.010091916241742318,0.01567809815993501,0.012645566776898187,0.020273383667352474,0.0,0.0,0.0,0.014943454202071204,0.0,0.0,0.00012277057117638998,0.0,0.0,0.017665429664376203,0.0,0.0,0.0016145232667802265,0.00787434376860966,0.024487122983673577,0.0,0.0,0.01929308223723648,0.0,0.0,0.027349365063021085,0.013972997523661022,0.013054882923578537,0.05733463302009609,0.0,0.0,0.0,0.0,0.0,0.0,0.02581650466530396,0.04261538026132167,0.0,0.0014977806505155852,0.0014977806505155847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018332185331658646,0.0,0.0074776038684618296,0.0,0.0,0.0,0.0,0.007141950511607404,0.0038583683723795665,0.007034100022604328,0.00012277913491775272,0.0019497904039959752,9.33000364994534e-20,0.0,0.0,0.01610356821018333,0.0,0.0,0.0031418696544428452,0.0,0.04593430575814936,0.02465085030771304,0.017738049617616696,0.00820072400440822,0.02102386758757275,0.009407631548122616,0.0020886840008764087,0.023119998614998312,0.0,0.0,0.029483037519251562,0.0,0.0138141773813458,0.019340419953707166,0.01891196298745062,0.0220737579570219,0.019018798156001288,0.006315333736591997,0.00016700683849506058,0.01740052857906247,0.0,0.0,0.0,0.0,0.0,0.006129382897815729,0.004103544108166807,0.0,0.0,0.00472461209286931,0.0,0.0,0.04483943636502618,0.021807180041850116,0.023226526018861455,0.0,0.0,0.037048814524160575,0.018836793064808312,1
LFQ intensity D1_2,0.0,0.004781049531838979,0.02259906225325856,0.009183842991196161,0.008211496999191503,0.0,0.010376434138150389,0.0,0.010624591326070921,0.0007215640200020408,0.014005019450251325,0.0,0.0082114969991915,0.02257188748188924,0.0,0.0,0.03345469778946273,0.02203922968981654,0.0,0.0,0.0066025280454380395,0.0,0.004874611200222141,0.012661240496096186,0.0045715005250178435,0.018579849902356286,0.0,0.0,0.0,0.019790699955611286,0.0,0.0,0.00012947836795584205,0.006554253066640062,0.011783818696523268,0.018115699151118526,0.0,0.0,0.001702735725722823,0.01057540307985601,0.024865474525579658,0.0,0.0,0.018600928895377098,0.0,0.0,0.02855700963050195,0.013354668097923078,0.01862191186364627,0.0538869103077912,0.0,0.0,0.0,0.0,0.0005977655213127841,0.0,0.03133726406884953,0.03222857743098437,0.0,0.0011743345802181432,0.0011743345802181432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01933379811678867,0.0,0.009537802100702644,0.0,0.0,0.0,2.4599414054230485e-20,0.009183842991196156,0.0018045420150709127,0.0018204612809853916,2.7059355459653533e-19,2.4599414054230485e-20,0.003432467551953811,0.0,0.00343246755195381,0.016983416385058493,0.0,0.0,0.001760398991130962,0.0,0.032820384524686656,0.027519757409713422,0.023014515328665164,0.007413529334433679,0.023278914253343132,0.01129889349791438,0.0,0.025407109019748138,0.0,0.0,0.029498141189821414,0.0,0.013284008066205184,0.01913225371444051,0.018410777803760315,0.01844444975701992,0.01660316856026136,0.004483943445281008,0.0012330368365703222,0.008785480552491114,0.0,0.0035131648164683374,0.0,0.0,0.0,0.007074783362809641,0.0035294672236422142,0.0,0.0030993025550760576,0.0034561328363909246,0.0,0.0011605011096618783,0.04259747952195943,0.010994553649951026,0.013412033785996539,0.005706652840457921,0.0006341017818356746,0.029973345262072015,0.01980955058920162,1
LFQ intensity D1_3,0.0,0.0,0.01692339412348158,0.006522758403036891,0.00522045234492702,0.0,0.010411103713316971,0.0,0.0,0.002308451677305668,0.014757759410805394,0.0,0.005220452344927018,0.02272651302991014,0.0,0.0,0.03282137447847755,0.02227520352179468,0.0,0.0,0.0067077664342771156,0.0,0.009101849754482997,0.011862157592666782,0.004331476092361383,0.020472396352263295,0.0,0.0,0.0,0.02888791488223681,0.0,0.0,0.0001299109790003096,0.0,0.011462467705994118,0.019096385905229947,0.0,0.0,0.001708424878995118,0.0,0.02156423088498396,0.0,0.0,0.01798644852685556,0.0,0.0,0.023662319941554353,0.016395609034916464,0.018684131096622356,0.05947892743147298,0.0,0.0,0.0,0.0,0.00030114432281965636,0.0,0.024873593291109844,0.04531269179676659,0.0,0.0016795667068430613,0.0016795667068430617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019398395892685646,0.0,0.006877954405204574,0.0,0.0,0.0,0.0,0.006522758403036883,0.0022431958895104713,0.006424258324903737,0.0002643159309362194,0.0,0.003597216865139547,0.0,0.003597216865139546,0.017040161103244744,0.0,0.0,0.0,0.0,0.033043101939554766,0.029127131051571286,0.02285086604795898,0.006230583807122707,0.022866029658736044,0.010725844489924698,0.0,0.023016424814128286,0.0,0.0,0.025944095865182835,0.0,0.012771847268959071,0.022326318398505074,0.019717996888934268,0.022263794858726527,0.016478098514391644,0.007535048953576358,0.003739680713418987,0.0134598118756226,0.0,0.0,0.0,0.0,0.0,0.007690172343199896,0.004544845172435591,0.0,0.002636855305361191,0.004837590907430153,0.0,0.0005344977966285885,0.04232802710721543,0.010482373379028638,0.025871015011925444,0.0,7.677594026085348e-05,0.04058286820528143,0.017786386638838757,1
LFQ intensity D1_4,0.0,0.0040601795716680164,0.012120278662742566,0.008599889745384814,0.007945641784154453,0.0,0.01017639471709699,0.0,0.0,0.003448961757846371,0.01548547533545802,0.0,0.007945641784154451,0.02358901201097673,0.0,0.0,0.03286914972770315,0.021495288088781966,0.0,0.0,0.0008968733995448,0.0,0.02859546682877083,0.01092781038270404,0.004873974419006133,0.02583444408245781,0.0,0.0,0.0,0.011301697700971251,0.0,0.0,0.00012698225248688555,0.0,0.0,0.021156787242857942,0.0,0.0,0.0016699099722659405,0.0,0.02626163608235484,0.0,0.0,0.018995837596243452,0.0,0.0,0.023599384323895328,0.020719948263734154,0.0,0.05500089116991778,0.0,0.0,0.0,0.0,0.0037778325691381898,0.0,0.029670087236557008,0.034880030162093116,0.0,0.003278835625005468,0.0032788356250054687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01896107645436074,0.0,0.008947033345886929,0.0,0.0,0.0,0.0,0.008599889745384807,0.004436979723917336,0.0013846057633695001,0.002734106221732387,0.0,0.0034013654745881253,0.0,0.003401365474588125,0.01665600595331059,0.0,0.0,0.0,0.0,0.03306300343405336,0.032311666608404406,0.02293886736522049,0.005395965698013677,0.021478134221845004,0.010568154382455307,0.0,0.026301106701873907,0.0,0.0,0.03430552069345039,0.0,0.01250887364238668,0.023011177747882423,0.015830931080664884,0.021998824871347498,0.015403819771417908,0.0053151215500155564,0.0025147305644686786,0.017569525295818275,0.0,0.0,0.0,0.0,0.0,0.007910958590539629,0.005110855360923823,0.0,0.0,0.00015230544804579967,0.0,0.0,0.051088900272194135,0.01441669816932507,0.023192459460190926,0.0,0.0011391953272307108,0.03635388780084677,0.01901370966326817,1
LFQ intensity D1_5,0.0,0.007299113864056523,0.0,0.007931725454545216,0.009336199984721872,0.0,0.008259135676172149,0.0,0.00989769341854379,0.004686127440828891,0.01695498290467715,0.0,0.009336199984721868,0.020616676800125893,0.0,0.0,0.03165642139071888,0.019256615994048053,0.0,0.0,0.005454127913309318,0.0,0.027953578468517044,0.013163448778976183,0.006336712267644774,0.017880680661313434,0.0,0.0,0.0,0.026368128339647263,0.0,0.0,0.0,0.0,0.0,0.018284795079932678,0.0,0.0,0.002507150224296123,0.009957635971461069,0.015557912549942106,0.0,0.0,0.019834488046666952,0.0,0.0,0.03273157431787539,0.0031827297422364125,0.018213531771340944,0.05223053374279651,0.0,0.0,0.0,0.0,0.004896102075877615,0.0,0.03035348645321343,0.03015067125183658,0.0025491034833410348,0.004437842654401394,0.004437842654401395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015388760691420209,0.0,0.008213447116112469,0.0,0.0,0.0,0.0,0.007931725454545208,0.00521456061837203,0.002061442302306809,0.006117714515166054,0.0024446157327111992,0.005418954609383642,0.0,0.005418954609383641,0.017340665699204907,0.0,0.0,0.002826630641506581,0.0,0.038919113912297694,0.02857621863691631,0.02086053491310014,0.010330325452547046,0.017960793486027297,0.007649695549748253,0.003249160026242874,0.01904544347937689,0.0,0.0,0.03357504965622923,0.0,0.008832476808404922,0.019309564455357857,0.01857118254321015,0.017771653235999895,0.013012050518100442,0.00582006573749875,0.001129372145905059,0.014258874894804577,0.0,0.0,0.0,0.0,0.0,0.010230270451931311,0.004796678091024798,0.0,0.0,0.009095212627894833,0.0,0.0,0.03702933340592652,0.020531854589878256,0.020154473708048175,0.0,0.00024407127923695943,0.03376829031911444,0.015187798722876596,1
LFQ intensity D1_6,0.0,0.018033109131168956,0.0,0.007989970904251414,0.012695684828456557,0.016479653890975828,0.00540592175052495,0.0,0.0,0.0,0.021501669631421038,0.0,0.012695684828456556,0.021501669631421035,0.0,0.01154656250603417,0.032396462947342566,0.0239410616353873,0.0,0.0,0.0,0.00216810306144411,0.0,0.022264391067246102,0.009423782890296826,0.027315376605276574,0.0,0.0,0.0,0.017141986983312835,0.0,0.0,6.745572864781416e-05,0.0,0.0,0.0153296629068178,0.0,0.0,0.005560476189526781,0.0,0.0,0.0,0.0,0.021501669631421038,0.0,0.0,0.03003780017192481,0.016952564384606572,0.0,0.04235671581681578,0.0,0.0,0.0,0.0,0.0,0.0,0.027376173180368894,0.022360795161024134,0.0,0.010365115517420264,0.010365115517420266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01569442021662726,0.0,0.008174312161845804,0.0,0.0,0.0,0.011311628203903239,0.007989970904251407,0.018810520549300103,0.004105387081207877,0.01889923256868231,0.0,0.009815023183783283,0.0,0.009815023183783281,0.01988291913895287,0.0,0.0,0.0,0.0,0.035488667271507054,0.020346586440177557,0.02517179775958738,0.008433397852748058,0.019441492195098914,0.014574235603082164,0.008714528009311476,0.023822023617068377,0.0,0.0,0.015418677441324816,0.0,0.00799868964029394,0.023520972186438737,0.017328723720543518,0.021434519216159287,0.011124352113969352,0.003144154431304716,0.004430546776521277,0.0,0.0,0.0,0.0,0.0,0.0,0.020023958055131002,0.010090680109758826,0.0,0.0008099678375214162,0.0,0.0,0.002394960326787675,0.02743790349590506,0.016599057147374568,0.01631939393056875,0.0,0.0023949602637347057,0.04077724649675859,0.013485434369974443,1
LFQ intensity D1_7,0.0,0.0,0.012166714915619575,0.009231443887309891,0.007165983907810093,0.0,0.011051178816012544,0.0,0.011392498261882565,0.0007958638313238296,0.012910652756496065,0.0,0.007165983907810091,0.01980274263435648,0.0,0.0,0.03829579630323255,0.003636762060857389,0.0,0.0,0.004360698601821661,0.0,0.009661431867652082,0.012633177624512366,0.007095724532696563,0.018591674620878105,0.0,0.0,0.0,0.027506889410290815,0.0,0.0,0.0007576367996253282,0.005103095785247125,0.012550080867565101,0.02241232270666587,0.0,0.0,0.001813458913808517,0.008974923568517387,0.022683072827060974,0.0,0.0,0.01673951425601286,0.0,0.0,0.028645425596569945,0.01634526479079198,0.01983283227756925,0.06035247387425323,0.0,0.0,0.0,0.0,0.005690634253300779,0.0,0.02739717233779361,0.03416142270487569,3.1824932445486745e-20,0.002749420213590455,0.002749420213590456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017504489936754315,0.0,0.009608430846010355,0.0,0.0,0.0,0.0,0.009231443887309888,1.8650401364730536e-19,0.0013975455882432263,2.9507279963990975e-19,0.0,0.002838802181303626,0.0,0.0028388021813036245,0.018775547377852884,0.0,0.0,0.0019510635300994139,0.0,0.03721122900074309,0.03500361255416851,0.02006854280539136,0.006613109786198195,0.02493976960886062,0.012216746538508136,0.0,0.023003597440700855,0.0,0.0,0.01743921030261841,0.0,0.010813766827298895,0.026821124667576128,0.020655744418782335,0.021140722722907995,0.013430952196179818,0.00649564929305262,0.0,0.01666577261475062,0.0,0.0,0.0,0.0,0.0,0.006473248720718634,0.0029350334627550184,0.0,0.004712828223630138,0.0032159537459951005,0.0,0.0,0.043342797860026455,0.003991270493594235,0.023819742478674216,0.0,0.0,0.03645493000888306,0.015965128771706968,1
LFQ intensity D1_8,0.0,0.0038015777509796374,0.01551401022925033,0.007637615157792683,0.010858209928254174,0.0,0.026300310106411918,0.0,0.011860335432801256,0.0059135035864545755,0.01662648271505135,0.0,0.010858209928254172,0.023738790091137302,0.0,0.0,0.030682638938292307,0.013699129059577713,0.0,0.0,0.00960891251365768,0.0,0.009520238950799996,0.01127913236452441,0.005842433593109125,0.00860786820750851,0.0006290304695310359,0.0,0.0,0.02011862792375425,0.0,0.0,0.010821693644192006,0.00559164241251282,0.0,0.017451004024758486,0.0,0.0,0.007240948130557285,0.009477688024710641,0.02294777879906457,0.0,0.0,0.022223587075431272,0.0007954127488437005,0.0,0.031590471305166415,0.004825188220798769,0.014449164897416699,0.0625620001544912,0.0,0.0,0.0,0.0,0.001831226047936157,0.0,0.034188473359732706,0.0221943250372184,0.0,0.0027966833931717555,0.0027966833931717555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020290091480539344,0.0,0.008009122202953687,0.0,0.0,0.0,0.0,0.007637615157792676,2.0652925349192837e-19,0.007522279644301434,2.71069645208156e-19,0.0,0.004119749092241711,0.0,0.004119749092241709,0.008509196040321765,0.0,0.0,0.0025500125669189453,0.0,0.03745901615689982,0.024202890578175183,0.02293007467142249,0.00743331125127463,0.016958560149366444,0.009706299630729668,0.0070851455264867936,0.024627776973534805,0.0,0.0,0.018163648853639542,0.0,0.009974581163308896,0.025971383503399323,0.01746093187222247,0.01749049528126313,0.02084875353963381,0.0038474380946775452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01133647001411183,0.0,0.0,0.0,0.004775086017427767,0.0,0.0,0.04792395949306672,0.017361796680056617,0.016789928480704878,0.0,0.0026152187736961634,0.037465022183587285,0.017933368217685756,1
