group,01,02,03,04,05,06,07,08,09,10
Amphid socket,0.0015274616035516363,0.00011877362065618889,0.0003008252860627273,0.0018030870644595834,0.002389165837188775,0.0019711444357845666,0.00518037250902222,0.0067524764059151855,0.0009747324444200417,0.00048928758467725
Anal muscle,0.032538506677726314,0.03783712432220888,0.040073577761175226,0.040766327375622566,0.04419351848326624,0.04470670316680447,0.0440484120681916,0.04620324595799936,0.04589579990558735,0.04342674633460118
Coelomocytes,5.718458813918181e-05,0.0,0.000748021559528791,0.0014426247365781084,0.002949624684276267,0.0057474667787976086,0.00550192151849526,0.007078791929252486,0.008091111242878033,0.00493287998840306
Distal tip cell,0.019988627028691437,0.01841615209273533,0.017009699374806873,0.014984260117465167,0.014924788946496376,0.01250038409527045,0.01321482976354892,0.014179729173783642,0.011701274833391026,0.013534270981065822
Embryonic cells,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Epidermis and seam cells ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Excretory cell,0.00011983745859644544,0.0007510439392610112,0.00015433064352261816,0.0029083231428782916,0.00023976283523718334,0.0009896331735813,0.0024060919823117,0.006813434718991542,0.005225179833134675,0.0036382894023906003
Excretory gland,0.002579962393564136,0.0020469142754620667,0.001361573510770582,0.00043693540496283334,0.00024412206540018333,7.300677671747361e-05,0.0,0.0,0.0,0.0
Germline,0.04593061959192868,0.04326390163739833,0.03653602935867979,0.03002958433495075,0.023123692473816543,0.017192981202356808,0.0215970383921295,0.023228410295576058,0.019825575651796257,0.02362539620986944
Glia,0.049582042930488575,0.06387106424980704,0.07853340571626902,0.08367206117826469,0.08435277091772558,0.08270476885566784,0.07857780675062298,0.07787493057143466,0.07392310775169576,0.07311746535526673
Gonadal,0.021024216025525882,0.043363611196615824,0.05565464417294255,0.05983837143228301,0.06355974163106358,0.06521612786926645,0.06342129825230405,0.056518512660195884,0.05762861904948757,0.0563517747993272
Hypodermal cells,0.026972097414561944,0.029845811840639766,0.010212891741672146,0.002016996733473783,0.00032475340142385,0.000749154634944925,0.0,0.0,0.0,0.0
Intestinal-rectal valve,0.029563469154941756,0.02533065219103468,0.019087865513282662,0.015070010914063242,0.007908425923390574,0.007658879385975467,0.00688244703651594,0.005628612719193142,0.00357956367230655,0.00417520315397168
Intestine,0.08207995272462948,0.08556987658667496,0.0890160576247959,0.08222949555528881,0.0758348786990274,0.070248742910026,0.05849814367880154,0.05364606081985098,0.0482693755403659,0.051045892667635165
Marginal cell,0.001885235689807227,0.00028667996363532217,0.0035947840647124183,0.008800858208260466,0.017699357640588168,0.021198984014885947,0.022482045696718737,0.01632740817881333,0.01293862148226795,0.012885867321148589
Muscle,0.08522215886442269,0.08603383732886477,0.09558161533472097,0.10734639645039214,0.10500344159994339,0.102337316608082,0.09602253205578132,0.09445011868766105,0.09787032047745442,0.09328996899592193
Neurons,0.1851711877618414,0.1750330684678809,0.17912426298873796,0.16770272384447563,0.1643172190852536,0.17035957800329646,0.1736721959074751,0.17682321714598506,0.18416785566511693,0.17547228719302335
Pharyngeal gland,0.005054720412991709,0.004547407600265045,0.0014928875392100456,0.0020997099858651833,0.00048315723572799995,0.003422444145284625,0.01015007752013594,0.0109037792090763,0.006651251437552883,0.010214587657888689
Phasmid socket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seminal vesicle (male),0.022354636704823773,0.016280348661153576,0.011054592617211482,0.0039765826115104,0.0003711976430410084,0.0002842848260968334,1.0606806129470564e-19,0.00036208575780780685,1.0675045205034044e-19,1.0659837371743462e-19
Sperm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spermatheca,0.03832382928682907,0.04972810035417804,0.04740543807876618,0.04598401652145531,0.049859919198439205,0.055064277828700624,0.06169083773185452,0.06688651494115583,0.0640756152579411,0.07447669415325806
Spermatheca-Uterine junction,0.020897460712448992,0.010228410908232578,0.006624486629119663,0.0064818684820082,0.007647287732137458,0.007210126855865075,0.008830338996835139,0.008955332834838157,0.007130561304649075,0.01084070223134763
Unassigned sheath cells,0.022989908769601063,0.029376748443979188,0.030009308145914567,0.03415736307395247,0.037994011893166965,0.04008276426020025,0.04399715758389984,0.04711324054572817,0.050457480317503384,0.04507523770671002
Uterine-vulval cells,0.04094015132318123,0.049718049024211286,0.049531208303818096,0.05044270410730673,0.06067495766501647,0.060392038211761916,0.0624436737263457,0.060961797456626964,0.06602739778221677,0.06452975342947095
Vulval cell,0.00031937861967893636,0.008684854295507789,0.009221326936241182,0.0089036316200651,0.016627755239484458,0.0070098543897545084,0.01736800248827718,0.016765260531527514,0.015738504572119918,0.01029710481061758
"arcade, marginal and pharyngeal muscle cells",0.0003718144757343545,0.0002404365078575889,0.0,0.0,0.00108741360838135,0.0015692347065362168,0.00397294342190406,0.009091988173337956,0.016381328638668365,0.012824034243652211
cephalic sheath  and unidentified glial,0.02083550858931912,0.013236550910288967,0.011146904607084564,0.01200932481230615,0.009436216913760741,0.011351067992256257,0.01247374443202972,0.012012616986067143,0.0037731461576341416,0.00408475078600101
hmc,0.005921948316552727,0.014649730021938957,0.0196303994500131,0.0215950856903665,0.024351262322052425,0.029298823346059984,0.02405130334204982,0.02051424418261046,0.033639313139098806,0.02680697304575826
vulval cells and the epidermis,0.004892225832423692,0.0037519794348426,0.0032242968475184636,0.00259700576947995,0.004222519212105091,0.0030719974873353495,0.0,0.0008583578492514715,0.0,0.0
