group,D01,D02,D03,D04,D06,D08,D10,D12
Amphid socket,1.865364610776044e-05,3.4825313399899282e-06,0.0,2.432323163909615e-05,3.924928684267219e-05,0.00016374303421309256,5.264323783719346e-05,5.811278689593235e-05
Anal muscle,0.0021220304281582745,0.007285317482106214,0.009783424198219658,0.014021010473387292,0.012871219972109771,0.019868540852825443,0.013284781716627054,0.014448161891359916
Coelomocytes,0.0007530256729725361,0.0008748589013325047,0.001558529865167556,0.0016156796341939012,0.0012105597632578989,0.0014806381337935403,0.000793231740000237,0.0005947216849744164
Distal tip cell,0.00027683145303243725,8.065041754287939e-05,2.0934733399665982e-05,0.00015106716680963456,0.00018805465947163615,0.0010861905224016776,0.00025641261739740666,0.0003215518725730453
Embryonic cells,0.0027200484500942237,0.0028149663305985896,0.0020370255189934867,0.0036563254217526356,0.0077918137964744566,0.004556595876032134,0.016791178197324223,0.01933310144979812
Epidermis and seam cells ,8.961005680358438e-05,2.1078168619956126e-05,0.0,0.0,0.0,3.296516618664354e-05,8.95879147653663e-06,3.1805834661283793e-06
Excretory cell,0.0016687479489333659,0.0008576670156349804,0.0007987417472795441,0.0005935332648710084,0.0007395933693443453,0.0013456645463670069,0.001219642743601241,0.001225479187290713
Excretory gland,0.005443901146535731,0.009269119595684858,0.008841520516492304,0.009391447918332031,0.011022576537036297,0.006362130871158607,0.005221731327298606,0.005619848553138256
Germline,0.1313830753693251,0.13083282541942848,0.12067060221642867,0.1144849274566764,0.13880633784947055,0.12250444704128165,0.13579848283242116,0.13960244964177448
Glia,0.014267731526789387,0.011819653969088257,0.011594816041891701,0.010397037126402796,0.010087513479734592,0.01556496346591863,0.00756506503054386,0.0073501618377845145
Gonadal,0.04666142225469715,0.07253903410393195,0.07333690901603951,0.08384624411418688,0.08201316035962485,0.09694749519857918,0.11089418750677651,0.11557854999874603
Hypodermal cells,0.01435010570841912,0.00011370930632116343,0.0,0.0,0.0,0.0,1.752639560690322e-05,8.188731100898476e-06
Intestinal-rectal valve,0.00017115969830737202,0.0,1.4824870791410573e-05,2.571256531735017e-07,0.00012049956592038655,0.000925350701786457,0.0005315356262600345,0.0006231427333272001
Intestine,0.17701375643936412,0.13580162514667402,0.12884377198664843,0.13607321701104863,0.0913609327853901,0.0858379173247045,0.029032243074063626,0.022215865957006815
Marginal cell,0.0033869404290930724,0.0030972809973167648,0.003395066754694091,0.003597433614379743,0.0036014759050268957,0.005872204309478744,0.003862311710815466,0.00480046078841956
Muscle,0.1346843451988792,0.13113614435369392,0.14314595012063244,0.1266596719115436,0.10778077813929698,0.1707414293418414,0.10215965085950374,0.11171204268676223
Neurons,0.04026122789598593,0.04896341782664928,0.05392490110638511,0.052950897500200024,0.05088198196402143,0.06763632839304595,0.05276868311990983,0.06022772694475791
Pharyngeal gland,0.0028967370524617484,0.0030485555551482413,0.0035254907940873866,0.0027908496945422277,0.00285546763602284,0.004569707889973592,0.0035199749789806434,0.003681428681026074
Phasmid socket,0.004740189786904699,0.0068873834983667614,0.007659158978072953,0.0114472053814772,0.009907261118357553,0.010747386648832147,0.008943485955659837,0.00886268953551104
Seminal vesicle (male),0.00034475408496541465,0.00037900020630462605,0.0003862031375196278,0.0003827269650096399,0.0003094384500908297,0.00019786492857371777,0.00020800086510401304,0.0001836096807926847
Sperm,0.00038536263349346427,1.776168493798025e-05,1.645657113986933e-05,0.0002479146841224401,0.00026419427622341023,0.008491944575866129,0.006430322131004243,0.0016310963979470098
Spermatheca,0.09439583379680912,0.10856694334652209,0.10275072632839792,0.10099102477230988,0.0993028864528675,0.04419485734967869,0.09288801864231355,0.05940866890670353
Spermatheca-Uterine junction,0.0009460298933608472,0.0007957075909974807,0.0006506876786895462,0.0005598132091830103,0.0003628371961886303,0.0007821373386299457,0.001171540294664769,0.0008281964488331026
Unassigned sheath cells,3.54395210865799e-05,0.0,7.29092923250888e-07,0.0,0.0,4.8814351588404824e-05,1.0783609502240953e-05,0.00010905267946079392
Uterine-vulval cells,0.0487016852188837,0.08816017343095353,0.08348051894392548,0.12384675045672593,0.17007748932419567,0.1175848991796434,0.21049753710487637,0.21084661101205276
Vulval cell,0.01066413084821731,0.012100147741556848,0.011483067366280957,0.007121839804481055,0.004154682168025553,0.003249209143710845,0.0012247270648397402,0.0011775245307273825
XXX cell,4.5545307469404726e-07,5.118693137164197e-19,5.506534727515517e-19,4.599509936332156e-19,4.080936272504539e-19,2.77127613056408e-07,7.32194639051852e-07,5.4614243241628e-19
"arcade, marginal and pharyngeal muscle cells",0.0033105684862883827,0.003963594798085542,0.0034722883056645683,0.0025714073496026658,0.0018042216007452731,0.0030366470448827333,0.002236628211391362,0.003262061929184997
cephalic sheath  and unidentified glial,4.348098331489803e-05,8.238306982395069e-06,3.173151271114783e-05,5.6689553096681e-05,8.351603492314197e-05,0.0005002404714801401,0.0005011310747669473,0.0008662520294449895
hmc,0.0047796889173242155,0.00586041741358434,0.005584953301347664,0.009111720077226167,0.010510445977761407,0.010740099718410496,0.010468620294450644,0.010133577751292274
vulval cells and the epidermis,0.08423258632293419,0.042991813448413935,0.04731570333343854,0.02570874679606087,0.018542287726428328,0.029545499579857054,0.009311143119689204,0.00986965779533375
