tissue,Nuclei fraction,Vol fraction,"swRNAseq (ms=0.08, mm=0)","swProteomics (ms=0.08, mm=0)"
Intestine,0.0655,0.3542,0.1483,0.0821
Hypodermis,0.188,0.3038,0.0425,0.027
Muscle,0.1003,0.1999,0.1225,0.1178
Gonadal,0.0422,0.0601,0.0724,0.021
Uterine-vulval,0.0539,0.0349,0.0752,0.0409
Neurons,0.3189,0.0114,0.0271,0.1852
Spermatheca,0.0507,0.0069,0.0774,0.0383
Sp-Ut junction,0.0169,0.0023,0.0016,0.0209
Vulval,0.0211,0.0021,0.0064,0.0003
Int-rect valve,0.0095,0.0021,0.003,0.0296
Glia,0.057,0.0008,0.0279,0.0949
Distal tip,0.0021,0.0007,0.0034,0.02
Coelomocytes,0.0011,0.0005,0.0034,0.0002
