,ADF,ADL,AFD,AIA,AIB,AIM,AIN,AIY,AIZ,ALA,AS,ASE,ASG,ASH,ASI,ASK,AUA,AVA,AVB,AVD,AVE,AVF,AVH,AVJ,AVK,AVL,AVM,AWA,AWB,AWC,Amphid sheath,Amphid socket,Anal muscle,Apoptotic germ cells,Arcade cells,BAG,BDU,Body wall muscle anterior,Body wall muscle middle,Body wall muscle posterior,CAN,CEP_ADE_PDE,Cephalic and inner labial socket,Cephalic sheath,Coelomocytes,DA_VA,DB_VB,DVA,DVB,DVC,Differentiated germ,Distal tip,Dorsal uterine cell,Embryonic cells,Excretory cells,Excretory duct,Excretory gland,GLR,Glia_1,Glia_2,Glia_3,Glia_4,HSN,Hypodermis head,Hypodermis tail,I1,I2,I4,I5,IL1,Intestinal-rectal valve,Intestine anterior,Intestine middle,Intestine posterior,LUA,M1,M2,M3,M4,M5,MI,Marginal cells,Mature sperm,Meiotic germ cells,Mitotic germ cells,NSM,OLL,OLQ,Oocytes,PDA,PDB,PHC,PLM_ALM,PLN,PVC,PVD_FLP,PVM,PVN,PVP,PVQ,PVR,PVT,PVW,Phasmid sheath,Phasmid socket,RIA,RIB,RIC,RID,RIF,RIG,RIH,RIM,RIP,RIR,RIS,RIV,RMD,RMD_LR,RME,RMF,RMG,RMH,Rectal gland,SAA,SAB,SDQ,SIA,SIB,SMB,SMD,Seam cells (bus+),Seam cells (grd+),Seminal vesicle (male),Spermatheca bag distal,Spermatheca bag proximal,Spermatheca neck distal,Spermatheca neck proximal,Spermatheca-Uterine junction,Spermatids,Spermatocytes,Syncitial pachytene spermatocytes,URA,URB,URX_AQR_PQR,URY,Unassigned hypodermis/gonadal sheath,Unassigned sex-specific muscle,Unassigned sheath cells,Unassigned uterine cells,Uterine muscle,Uterine seam cells,Uterine toroid,Uterine-vulval cells,VC,VC_4_5,VD_DD,Vulval cells,XXX,cat-4(+)ptps-1(+) intestine anterior,e1_e3 (pharyngeal epithelium),e2 (pharyngeal epithelium),g1A (pharyngeal gland),g1P (pharyngeal gland),g2 (pharyngeal gland),hmc,hyp4_to_hyp6,hyp7 (hypodermis),pm1_pm2 (pharyngeal muscle),pm3_pm4_pm5 (pharyngeal muscle),pm6_pm7 (pharyngeal muscle),sh1 (gonadal sheath distal),sh2 (gonadal sheath distal),sh3_sh4 (gonadal sheath proximal),sh5 (gonadal sheath proximal),vm1 (vulval muscle),vm2 (vulval muscle)
LFQ intensity D1_1,0.0,0.0,0.01370658886443814,0.0,0.0,0.0,0.0005463036273404674,0.0016005183855433234,0.013445042606742421,0.0,0.0,0.0,0.019246051174675927,0.0007933028266025112,0.00086790839497791,0.0,0.0007984493155271659,0.0,0.019938323124911624,0.029516281422926997,0.0223261665282842,0.005535753455228075,0.02026088801566414,0.0,0.006088273971628511,0.0003345354076051458,0.0,0.0,0.019963744424823484,0.005213163485841956,0.0,0.0,0.0026923188113100334,0.0017007738117727229,0.0,0.0,0.011308353879344785,0.0047621212861092875,0.007982659867356757,0.0,0.003670171155810554,0.02145549381110585,0.0,0.0018879955371533422,0.0,0.0,0.0,0.013203341573294239,0.0,0.009542988467513776,0.06307566171678565,0.005680861155725736,4.7199343652246084e-05,0.0,0.0,0.03630590531019623,0.0,0.0007108170408273626,0.0,0.009128548442613887,0.0,0.00825278255822163,0.005369933429940045,0.025549874380404024,0.0,0.0,0.0,0.0,0.00938684188595028,0.0,0.001868689819009754,0.0,0.002384813095205106,0.015246824258132978,0.0,0.05005070686230672,0.0,0.0,0.0,0.0,0.0,0.014129090450807206,0.012302426661838858,0.01591804923381353,0.0,0.0,0.0,0.0,0.0,0.0,0.029408917790643363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009415873597743771,0.0,0.001373917628658683,0.009253883218966644,0.019683631596529073,0.0,0.0,0.0,0.031225372215145722,0.0016527018509881345,0.0,0.0,0.0,0.0,0.010644357870136276,0.0,0.0,0.0077132881662364565,0.0,0.019348541331049556,0.007598505689647545,0.0,0.0,0.0017932531604506316,0.0,0.023022478363800968,0.006460475883971378,0.0,0.028225986531340126,0.0,0.0,0.012426038867158897,0.0065186573986999955,0.00988021085391647,0.0,0.010121002644842473,0.0020187039239574493,0.001549635841485191,0.0029156622825184373,0.0,0.0,0.0,0.0,0.007089623204559239,0.006926032861295922,0.010441157800125191,0.0,0.025670557287848852,0.0,0.0,0.010044630037941087,0.009199866630496451,0.007548917236814148,0.0017840862295546666,0.0,0.010264205528965835,0.004614499884850683,0.0,0.0,0.0,0.006626456454442447,0.0,0.0,0.0,0.0023258796868289005,0.0,0.0,0.0,0.018202856594194457,0.0,0.0,0.04871926410379328,0.0,0.007576021264452076,0.01644471419169413,0.0,0.016336190469646884,0.004137404945643969,0.0
LFQ intensity D1_10,0.0,0.0,0.000940624952115691,0.0,0.005273427699442451,0.0,0.0,0.010896318709425692,0.011287092944104533,0.0,0.0,0.0,0.018223545529437803,0.00109424258960904,0.000618486833736847,0.0,0.0,0.0,0.01955562704699273,0.03202742240528524,0.01794279785793698,0.0,0.013288338406507654,0.0,0.004879888969635307,0.0024558044341009217,0.0,0.0,0.03238281711173514,0.0018909544370503092,0.0,0.0,0.005878196360266603,0.0003919520339899059,0.0,0.0,0.0,0.0,0.010116184842439034,0.006376359267154283,0.004351254756427476,0.02415853320421542,0.0,0.0,0.0,0.0,0.0,0.018491691128385154,0.0,0.021403159570852034,0.05886247064305965,0.00015636533818167664,0.0017646879873917294,0.0,0.0,0.02382012099994215,0.0,0.0,0.0,0.0,0.0,0.010657862049146538,0.007366791282488713,0.014934836881929023,0.0,0.0,0.0,0.0,0.0036366250341349805,0.0,0.001044440796372426,0.0,0.0032471107520630933,0.01962451867130404,0.0,0.05559422953187243,0.0,0.0,0.0030365669595817735,0.0,0.0,0.015313221212332034,0.008463318109529744,0.018468811750945363,0.0,0.0,0.0,0.0,0.0,0.0,0.028802350616856688,0.0,0.0,0.0,0.0,0.011433553656628025,0.0,0.0,0.006741728308054984,0.0,6.641791511577764e-05,0.00010585047308649592,0.010363077049336113,0.0,0.0034860045246276343,0.0,0.03813521809617285,0.0034112043592636134,0.0,0.0,0.00030304953451882824,0.0,0.003316388914044628,0.0,0.0,0.013808484187405639,0.0,0.02162628413840488,0.0012903830649647233,0.0,0.0,0.0037443951417514675,0.0026876067082106177,0.022492367728618446,0.010770193765259386,0.00014576231209900044,0.02519008523091878,0.0,0.0,0.006821030249695004,0.008054761482775943,0.013774695483943743,0.010145487564110616,0.007898772256625004,0.0037464085955526954,0.001378866983696937,0.002875662070536989,0.0,0.0,0.0,0.0,0.0033012062738012188,0.0047979250791076195,0.00332698901205306,0.0,0.03740276950125988,0.0,0.0,0.007764943800198289,0.007078027620649967,0.011630675567539984,0.0013206996767928295,0.0,0.006445997575279509,0.0,0.0,0.0,0.0,0.006388467940482496,0.0,0.0,0.0,0.0021760033982202993,0.0,0.0,0.0,0.03394459873249473,0.0,0.0,0.04920862449305222,0.0,0.006560087341330941,0.01133599620192684,0.0,0.01803025581648332,0.01675394246592977,0.0
LFQ intensity D1_11,0.0,0.0,0.0,0.0,0.006601046496331385,0.0,0.0018534787036685314,0.014439801351216856,0.013133012032470618,0.0,0.0,0.0,0.01526314502601877,0.0012891391238128735,0.00024262902221085293,0.0,0.0,0.0,0.015953489910856055,0.029579766824397596,0.015538431529465596,0.0,0.007412689784588666,0.0,0.004797918758127807,0.0,0.0,0.0,0.019846309641599405,0.001894936411908818,0.0,0.0,0.0028023855077787736,0.001050951552110731,0.0,0.0,0.0,0.003292734048254944,0.011188466869889129,0.002676998453108103,0.0034513092885896796,0.026301145749072375,0.0,0.004797661751782251,0.0,0.0,0.0,0.011477918129900996,0.0,0.01732570829709702,0.07231589280557611,0.0012756262975406039,0.006345609106966644,0.0,0.0,0.03408064283111942,0.0,0.0,0.0,0.0,0.0,0.007148192177115765,0.0,0.03300554987733218,0.0,0.0,0.0,0.0,0.005708306119661005,0.0,0.005329029221009779,0.0,0.00495236591414719,0.03092805679657546,0.0,0.05560404020074584,0.0,0.0,0.0004820637356723777,0.0,0.0,0.01304423135071825,0.007764823727075763,0.013993660780474556,0.0,0.0,0.0,0.0033248553974269085,0.0,0.0,0.02991419375985143,0.0,0.0,0.0,0.0,0.01613555870957698,0.0,0.0,0.005631784405086198,0.0,0.007457273805585775,0.0012020110792434137,0.007002638332450357,0.0,0.0,0.0,0.018282382362886828,0.001832059251641121,0.0,0.0,0.0,0.0,0.011096433340829872,0.006814071268502257,0.002625437715647291,0.01810625960861071,0.0,0.020259422634798185,0.009216885872562301,0.0,0.0,0.0,0.0,0.024325858295091585,0.0031276378736399993,0.0,0.023619167742067935,0.0,0.0,0.00965386067017544,0.015524962366222672,0.010068945091890453,0.0,0.007619422174061636,0.0,0.003372541400669861,0.0010897785725044078,0.0,0.002748403022647449,0.0,0.0,0.00931752400312152,0.0012184066953999527,0.0013174481039016984,0.0,0.034101388201272995,0.0,0.0,0.008563906294343589,0.008354900313408364,0.016544462929139192,0.003810971950998999,0.0,0.005311128672259622,0.003911555184619756,0.0,0.0,0.0,0.01096794834971911,0.0,0.0,0.0,0.0028917397596453977,0.0,0.0,0.0,0.012663294647885853,0.0,0.0,0.04115227248241946,0.0,0.005507783268748295,0.01926387826441467,0.0,0.016526815015926177,0.01433356590311539,0.0
LFQ intensity D1_2,0.0,0.0,0.014443521410777291,0.0,0.005624080665508835,0.0,0.0016200973939311458,0.012970689498937574,0.009250022746004751,0.0,0.0,0.0,0.018172636670070547,0.0,0.000570757230670939,0.0,0.0,0.0,0.025088637633621763,0.03145656329831127,0.031876408608321895,0.0,0.016674262140111043,0.0,0.004533100366949579,0.00019498090549928347,0.0,0.0,0.01937811373680056,0.003955861729007951,0.0,0.0,0.0,0.005304806201478461,0.0,0.0,0.0,0.0,0.009242820193745734,0.005179206736251558,0.006529132517247682,0.029889293773727173,0.0,0.0,0.0,0.0,0.0,0.011773432578649273,0.0,0.015214361131096064,0.07166915746104562,0.006738804885529724,0.0029669934132150917,0.0,0.0,0.034587464560697306,0.0,0.0,0.0,0.0,0.0,0.009778937778665767,0.0,0.030305051709903327,0.0,0.0,0.0,0.0,0.004703074444960199,0.0,0.0006448616992012979,0.0,0.0,0.02189747773346843,0.0,0.041852274296141495,0.0,0.0,0.0026841176153020087,0.0,0.0,0.011373845004972306,0.01012423848086666,0.015511993980203196,0.0,0.0,0.0,0.0,0.0,0.0,0.017408524843710724,0.0,0.0,0.0,0.0,0.018502697234833224,0.0,0.0,0.011945594643988061,0.0,0.0,0.0035310360029366574,0.010260667641589633,0.0,0.0,0.0,0.03224539132512793,0.002009496756063244,0.0,0.0,0.0025782146377390015,0.0,0.002801083018559857,0.0,0.0,0.014271414531370099,0.0,0.019680088635763728,0.011397402412613234,0.0,0.0,0.0043517840280237925,0.0,0.024707431739874844,0.009817945457023153,0.0,0.02283630116178457,0.0,0.0,0.0146563563077173,0.004658781140883909,0.00864027140377916,0.0028461535050905372,0.010143793573714368,0.0,0.002582610308062211,0.001959555738051552,0.0,0.0032376182045010353,0.0,0.0,0.0027758311195625247,0.005621041191199014,0.0005379181787728864,0.0,0.045990862005664164,0.0,0.0,0.003910131047613953,0.008358133926392208,0.009846981004427158,0.0032133763872165292,0.0,0.005743203452306504,0.013092520131827177,0.0,0.0,0.004505929053820195,0.010846394504457901,0.0,0.0,0.0,0.0024165662276746033,0.0,0.0,0.004310908684172206,0.0017277138113011808,0.0,0.0,0.04897127958227985,0.0,0.0,0.013003158665406255,0.0,0.013601141549999196,0.0006756149922117966,0.0
LFQ intensity D1_3,0.0,0.0,0.013132975211482014,0.0,0.0066037939481262305,0.0,0.0012658148889680397,0.00124073598013013,0.015314468923786942,0.0,0.0,0.0,0.01656325533178175,0.0010514129636686818,0.00014385819752926298,0.0,0.0,0.0,0.013392077965030775,0.03325825329913646,0.016142138106992117,0.0,0.01570119422561089,0.0,0.005159062961535607,0.0,0.0,0.0,0.04379491342486402,0.0059066077206588515,0.0,0.0,0.0,0.0031349591458951797,0.0,0.0,0.0,9.285295789905234e-05,0.011486131325506887,0.00022597152715064206,0.002908858382988287,0.024433176793488925,0.0,0.0,0.0,0.0,0.0,0.016798804338919573,0.0,0.01718282893316021,0.07031152200589799,0.005886518086649332,0.0047045127410031235,0.0,0.0,0.029595728386898154,0.0,0.0,0.0,0.0,0.0,0.008136182249397324,0.006694747342011599,0.03640259842522015,0.0,0.0,0.0,0.0,0.004403240201129146,0.0,0.0,0.0,0.005788836385964743,0.018234646713446098,0.0,0.04606930905770278,0.0,0.0,0.0005976138375756071,0.0,0.0,0.011939263837501332,0.010230698657763807,0.014525512042977636,0.0,0.0,0.0,0.0,0.0,0.0,0.023479803381881773,0.0,0.0,0.0,0.0,0.017574163314857016,0.0,0.0,0.005456016282793418,0.0,0.005153718994428049,0.002134789722407013,0.01983701629055946,0.0,0.0,0.0,0.030115205125098722,0.000933675085003993,0.0,0.0,0.0,0.0,0.011094932640121338,0.0,0.0,0.009186701312661564,0.0,0.016837183369618584,0.0066973873739023465,0.0,0.0,0.0,0.00317733987387506,0.02198137404659967,0.0029334515994107364,0.0,0.021634663764650626,0.0,0.0,0.009236794244231156,0.015491385529514769,0.009171470342760136,0.0076851174422917536,0.008135072800707542,0.00010167942632153233,8.805784608618629e-05,0.005443112632645536,0.0,0.0025424370096174434,0.0,0.0,0.001995327551909937,0.01104225659176215,0.004599437278521994,0.0,0.03369764761655796,0.0,0.0,0.00690749760438627,0.006281678308347579,0.008072988753133645,0.0020682802575790935,0.0,0.007513003042433231,2.9145936290858263e-05,0.0,0.0,0.004168275847844905,0.014582013420406626,0.0,0.0,0.0,0.002236710006089792,0.0,0.0,0.0006472749216028856,0.0,0.0,0.0,0.04136419533287227,0.0,0.016730544729483928,0.019924580048038338,0.0,0.018549919373924164,0.0050115974013195536,0.0
LFQ intensity D1_4,0.0,0.0,0.012974041473150797,0.0,0.00646047483791048,0.0,0.0013792410002934274,0.011797428482713222,0.007979202451747668,0.0,0.0,0.0,0.017448792451989284,0.0005474676314804358,0.0004657245384317603,0.0,0.0017755581096987496,0.0,0.020365795326874808,0.03024410351279144,0.02289277794151096,0.0,0.01833317117690553,0.0,0.010722928752662196,0.0,0.0,0.0,0.020661232377981967,0.0037843231346856524,0.0,0.0,3.902926362989032e-05,0.0009934238991765507,0.0,0.0,0.0,0.0,0.01068441599404162,0.005084154387011888,0.001412668622762086,0.023445241720509626,0.0,0.002785095537703412,0.0,0.0,0.0,0.017611324941509215,0.0,0.015094454604282985,0.07476401150953722,0.0,0.002278343187689812,0.0,0.0,0.03622858063082116,0.0,0.0,0.0,0.0,0.0,0.007575776712981996,0.0,0.01688490576661981,0.0,0.0,0.0,0.0,0.0038294579602136287,0.0,5.8249065764161475e-05,0.0,0.0,0.01717182148735842,0.0,0.05039159988159639,0.0,0.0,0.001856136455321993,0.0,0.0,0.007200115369416267,0.008576159277068224,0.016031603982345793,0.0,0.0,0.0,0.0011016214283057358,0.0,0.0,0.031018157728646894,0.0,0.0,0.0,0.0,0.017586907747129246,0.0,0.0,0.009042438460048602,0.0,0.0,0.0006672919967828072,0.009136269120350008,0.0,0.011679351389746167,0.0,0.0395227740471747,0.0022093671756579854,0.0,0.0,0.0,0.0,0.0036347913198781228,0.0,0.0,0.013064596828147059,0.0,0.0207911444476688,0.005342262905033335,0.0,0.0,0.0010763782420753942,0.0,0.022678966073878846,0.004653433772789317,0.0006300987889332392,0.021668048860229563,0.0,0.0,0.008216099467825639,0.003229698122833357,0.01013552350213542,0.006343371263425728,0.008853755878764013,0.0,0.0,0.005846868646931001,0.0,0.0027770877291788507,0.0,0.0,0.0036647641025092247,0.01208812267961751,0.0001391712021949968,0.0,0.042768425166044115,0.0,0.0,0.006850046261659753,0.004366245909244488,0.018499027551549863,0.0015190198648991065,0.0,0.009210115583961882,0.0,0.0,0.0,0.0,0.01478308188806658,0.0,0.0,0.0,0.0022248409522691356,0.0,0.0,0.0,0.012353440095550259,0.0,0.0,0.043761837000031806,0.0,0.017682296017251267,0.015359759555349068,0.0,0.015364345566766845,0.01063032220127375,0.0
LFQ intensity D1_5,0.0,0.0,0.0,0.0,0.006468009335999277,0.0,0.0015178419524583754,0.01808855501295807,0.0334189803140706,0.0,0.001967961694946024,0.0,0.01618178205224255,0.001081886454892282,0.0,0.0,0.0,0.0,0.01801875379837906,0.028265129388209468,0.018176910140667666,0.0,0.014538508003795601,0.0,0.0062588669157782285,0.0,0.0,0.0,0.04360148823022045,0.0006653592137460579,0.0,0.0,0.0,0.0002688452381374784,0.0,0.0,0.0,0.0,0.011743757737400391,0.006610650284539226,0.0034616909317928797,0.02965068944211861,0.0,0.002902406161696177,0.0,0.0,0.0,0.0088318773412417,0.0,0.02058236270434719,0.07068089031683501,0.004833323221431997,0.005399050002444982,0.0,0.0,0.03436783377847881,0.0,0.0,0.0,0.0,0.0,0.006737420252095272,0.004159126516426094,0.01710339477310731,0.0,0.0,0.0,0.0,0.005445102235457362,0.0,0.008822811344127069,0.0,0.004497231094595646,0.02795414733119,0.0009109897587884199,0.05146736110581269,0.0,0.0,0.0020166295330675,0.0,0.0,0.006520563343050051,0.00949844035374735,0.014828171065381004,0.0,0.0,0.0,0.0,0.0,0.0,0.03458179926020441,0.0,0.0,0.0,0.0,0.011915934646587896,0.0,0.0,0.004351191261754563,0.0,0.004735470414773739,0.0064029571968765644,0.0002638488218443272,0.0,0.014513684960906803,0.0,0.020610544235671602,0.00037952053526965857,0.0,0.0,0.0,0.0,0.0,0.0013737131737203208,0.0,0.00994190303588723,0.0,0.021689090533467514,0.0063841685191153115,0.0,0.0,0.0,0.002742513352024071,0.021145948944791347,0.0017134530524768126,0.0,0.023047242444758923,0.0,0.0,0.004590056742835725,0.009088657917774792,0.013030924694553966,0.003950106311176117,0.006151414042370176,0.0028754502011335745,0.00021250405594659338,0.0034156953394881033,0.0,0.002454341215873374,0.0,0.0,0.00352030346374009,0.0018025773243663251,0.0003440730865208994,0.0,0.03714177409966124,0.0,0.0,0.009929128682681539,0.005899707563574793,0.012639516364467323,0.003369806394821422,0.0,0.0,0.0,0.0,0.0,0.0,0.013579447153320191,0.0,0.0,0.0,0.003485754177405478,0.0,0.0,0.0,0.0223673546281108,0.0,0.0,0.042321409749018,0.0,0.005103980595998367,0.010528805209327379,0.0,0.015779181993930184,0.013080246226098356,0.0
LFQ intensity D1_6,0.0,0.0,0.00709273568691158,0.0,0.00827784472172881,0.0,0.001876889357540612,0.00035934780522268127,0.031941124975220114,0.0,0.0023150679144570657,0.0,0.014710323778292771,0.0021733879338209803,0.0008135290429548477,0.0,0.0,0.0,0.025605895138677556,0.02357081326180959,0.004584196497716548,0.0,0.020525338782249807,0.0,0.005016106143781582,0.0,0.0,0.0,0.039138063155127426,0.0,0.0,0.0,0.013405307997883385,0.004304186580400323,0.0,0.0,0.0,0.0,0.01027561556315159,0.0,0.001980773191741537,0.0208704518014519,0.0,0.0061629491316336025,0.0,0.0,0.0,0.0028823995590741675,0.0,0.020539532744288314,0.06809925695389263,0.012315091005811907,0.0,0.0,0.0,0.04881417802292633,0.0,0.0,0.0,0.012864494202379964,0.0,0.005850900208871605,0.0021726942509421522,0.0,0.0,0.0,0.0,0.0,0.004721271111518998,0.0,0.0007562544049802711,0.0,0.0,0.025584721274616803,0.0,0.054628417453331246,0.0,0.0,0.002348425686420227,0.0,0.0,0.01503556602407894,0.008912353456663375,0.014410382233600997,0.0,0.0,0.0,0.0014410067100181535,0.0,0.0,0.0333018022637654,0.0,0.0,0.0,0.0,0.012521380407997293,0.0,0.0,0.010144891499680554,0.0,0.0,0.010530346709897996,0.012850587017993707,0.0,0.0,0.0,0.01924212971680164,0.0021118786304686276,0.0,0.0,0.0,0.0,0.0,0.007612437171554357,0.0,0.017866545634065686,0.0,0.021666489313879756,0.01582496956063732,0.0,0.0,0.0,0.0035496329312501894,0.019700288328133163,0.0,0.0,0.010446205745854214,0.0,0.0,0.01011962371585947,0.000265220886290215,0.008363734479738483,0.006994643306118044,0.008925550073892471,0.0,0.0,0.0038041937334483225,0.0,0.0035044523722850816,0.0,0.0,0.0026228755041914583,0.0,0.002836447782303781,0.0,0.03728208407621029,0.0,0.0,0.014945043679025055,0.009811547923372375,0.012255356170103007,0.003628069325000483,0.0,0.009332038656516413,0.0,0.0,0.0,0.0,0.011758980330930273,0.0,0.0,0.0,0.003178252475622888,0.0,0.0,0.005491896354941896,0.0,0.004624627908446431,0.0,0.043689071227064946,0.0,0.009753862695959608,0.013530853617544419,0.0,0.013453251252251979,0.016081843755712335,0.0
LFQ intensity D1_7,0.0,0.0,0.013854513284657142,0.0,0.008782611083441123,0.0,0.0016459428487436054,0.010102129610343435,0.007261724810743382,0.0,0.0,0.0,0.01832922452388401,0.0005409631827864462,0.0,0.0,0.0,0.0,0.02364877434120081,0.024391899473042492,0.0234804500130472,0.0,0.016417152072858703,0.0,0.005027794680811641,0.0005738710043997935,0.0,0.0,0.023153939461931342,0.011125885735594938,0.0,0.0,0.0,0.0015455522460052994,0.0,0.0,0.0,0.0016180894150882269,0.012831623231134879,0.0017961213630515464,0.006544923025883124,0.026474451763441445,0.0,0.0,0.0,0.0,0.0,0.010079216727799817,0.0,0.0074792768378871685,0.05902893233164326,0.007741121094072309,0.00538983370808644,0.0,0.0,0.01849020043064395,0.0,0.002650314505795368,0.0,0.0,0.0,0.013009568367219363,0.00396915785986565,0.019803752664695258,0.0,0.0019840093915642447,0.0,0.0,0.0,0.0,0.0018431245348376384,0.0,0.001691268092002396,0.022349590500528076,0.0,0.055721758258552995,0.0,0.0,0.0,0.0,0.0,0.014353850118325441,0.004632201176015952,0.015377728283342412,0.0,0.0,0.0,0.0015121090243086963,0.0,0.0,0.021588785943374617,0.0,0.0,0.0,0.0,0.018764755023042548,0.0,0.0,0.012362129949876113,0.0,0.0028833095619767643,0.0015195906614764276,0.009167918658946629,0.0,0.0,0.0,0.027241642419778646,0.003703505263506808,0.0,0.0,0.0,0.0,0.009314630309248242,7.534437105222106e-05,0.0,0.022104794374840656,0.0,0.021432360472075737,0.005249899573068779,0.0,0.0,0.00462895812045854,0.005794510844784031,0.026763748626129805,0.022128305496382956,0.0,0.014813109910447196,0.0,0.0,0.011366011924530794,0.0,0.010770672629788942,0.00906912127472292,0.009836735812175122,0.0,0.004532177199477269,0.0012655476046620838,0.0,0.0041833837929248175,0.0,0.0,0.00030420381313467154,0.006672240435427869,0.007597176415544229,0.0,0.04219920249921303,0.0,0.0,0.0042354346883353945,0.0031105704300219326,0.0044059930726159865,0.002783851548481037,0.0,0.004491910150272753,0.009781127528872197,0.0,0.0,0.0,0.00417573637989006,0.0,0.0,0.0,0.0032937145545034957,0.0,0.0,0.0005008437275513047,0.018426263718131823,0.0,0.0,0.049435331692182415,0.0,0.0028969130823188363,0.02192340253518502,0.0,0.02213086496382914,0.004819617866463188,0.0
LFQ intensity D1_8,0.0,0.0,0.009365862498437266,0.0,0.009962113566956891,0.0,0.001297037975224923,0.0038588711323283144,0.026881745548691143,0.0,0.0,0.0,0.017572606876083936,0.0010223630744462106,2.6209330537215894e-05,0.0,0.0,0.0,0.02355697937533999,0.02318446753563992,0.018210184423529643,0.0,0.016264831041648047,0.0,0.010883045223113192,0.0,0.0,0.0,0.04796192832865242,0.004348639316667834,0.0,0.0,0.0,0.0015526807577925465,0.0,0.0,0.0,0.002008500295643044,0.011616572434848182,0.0,0.002782940522653662,0.019080797586770074,0.0,0.0,0.0,0.0,0.0,0.019835104727054104,0.0,0.015183572896615496,0.06122762582685836,0.003492313697684976,0.005069132949480538,0.0,0.0018560625246036107,0.02652142171909416,0.0,0.0,0.0,0.0,0.0,0.013180853285602248,0.0,0.004076784483389074,0.0,0.0,0.0,0.0,0.0,0.0,0.008682608996934505,0.0,0.0009445581901372735,0.028418275131785804,0.0,0.04616499645160415,0.0,0.0,0.002168947526999548,0.0,0.0,0.006680793091882822,0.004752694656109058,0.01634450036166967,0.0,0.0,0.0,0.01314017016897803,0.0,0.0,0.01986749516133255,0.0,0.0,0.0,0.0,0.01544804730550576,0.0,0.0,0.010901995496703072,0.0,0.0,0.010919102489928455,0.010810191220331288,0.0,0.008747885398868458,0.0,0.02418727921314496,0.00397726197224511,0.0,0.0,0.0,0.0,0.01049358368384913,0.0,0.0,0.015532222142113708,0.0,0.01958370438621626,0.001817886586979403,0.0,0.0,0.005150943965195622,0.0,0.02210405579121535,0.013327537545404859,0.0,0.015204682798473661,0.0,0.0,0.01533895185063649,0.0005857478681901113,0.01135414581879638,0.005609351227187012,0.006730723581160738,0.0,0.00047087068885419983,0.000993572744979105,0.0016222536682666678,0.0024859797725006396,0.0,0.0,0.00016616760564269569,0.012060152232719541,0.001993023469160032,0.0,0.031215021180583644,0.0,0.0,0.0066764730751822906,0.0,0.014850893075348894,0.00012934624906883236,0.0,0.006048687043510415,0.011227722203029393,0.0,0.0,0.0,0.007993648947213406,0.0,0.0,0.0,0.012949523697248036,0.0,0.0,0.0,0.025752178490552686,0.0,0.0,0.048938067109303506,0.0,0.0,0.011741453259939912,0.0,0.014479234667761576,0.011334141784168281,0.0
