group,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10
Anal muscle,0.002697018354573531,0.0045646731221346,0.004997107855797753,0.005044076251282269,0.005333547486498787,0.007237727852001316,0.0070599273782007785,0.009804805955928253,0.003953091600035193,0.0032851703804421817
Coelomocytes,0.0,0.0,3.1545333164629555e-05,0.0007111249140403689,0.0024334327652097043,0.004452648503545895,0.007909148847873994,0.007961519598020782,0.007170401468025374,0.00602516422762227
Distal tip cell,0.008333300134238998,0.0025896858330762313,0.001473069188716937,8.800867866216888e-05,0.0,0.0,0.0001373749169082495,0.0,0.0,0.00041227765519149444
Epidermis and seam cells ,0.0009516327625042904,0.0,0.00026002482576655694,0.0,0.0009553355631049693,0.0008759982814735105,0.0,0.0005561494309330287,0.0039619366649886805,0.002651506676512019
Excretory cell,0.0021411803999093096,0.0017185646135182168,0.0,0.0006629989431724378,0.0,0.0006768344399114711,0.001992204034150623,0.00451602110575582,0.005450928729515348,0.004558463025261617
Excretory gland,0.01145134697644113,0.01176635822660537,0.010204822195701003,0.00730240624550563,0.004275552407447809,0.0022630307571467373,0.0,0.00043121705745928957,0.0017042244414849207,0.0009197882031386544
Germline,0.1320686390858312,0.11682666640931022,0.10810367108586304,0.0964694607805663,0.097289559195935,0.09389710838574072,0.09034015324888908,0.09390380613452905,0.09610268941214394,0.1077141284522594
Glia,0.018914049430724597,0.02973544591508957,0.03597355792180356,0.04074719911787067,0.05166166044547952,0.04914748511262882,0.04451649011804459,0.041951668734187486,0.03684009080259107,0.03206345947983612
Gonadal,0.04515215416528681,0.05523327798321164,0.05889642018699313,0.05806587434188656,0.05452690740538372,0.0481524824873453,0.05240912519153877,0.04528075790093807,0.051606281097288174,0.04737010281779053
Hypodermal cells,0.006088420905230354,0.009653564288363828,0.001052639982835401,0.0001576418449664157,0.0,0.0,0.0,0.0,0.0,0.0
Intestinal-rectal valve,0.014487059812997131,0.005088167273741257,0.004557273814433894,0.0023565206228030443,0.0004429576285399891,0.0004149131529113067,5.989614017605086e-05,0.00019560884043448413,0.0,0.0
Intestine,0.049646496065236495,0.04981332140208292,0.04813922057334383,0.05072320568472077,0.042025368666559614,0.03995112772180758,0.0477648025115714,0.042141930001901216,0.041336989123940834,0.03779524238125606
Marginal cell,0.018015453305225044,0.018778935471628195,0.025132120068572735,0.02691345057984562,0.029360889917346273,0.02827547513529101,0.025168981819337643,0.024407267858525428,0.020288610472308413,0.02000864646875599
Muscle,0.0671755631682462,0.07897474548198063,0.0892106872377917,0.09569420240800114,0.10933030106705627,0.10581131821670038,0.09833257935657654,0.09004184806631847,0.09907980146652832,0.0970069648409204
Neurons,0.2412688889380153,0.24322745690980355,0.24977293514723992,0.2501254699043874,0.23391916660949144,0.23534554716927625,0.23571811416252592,0.25125358523641805,0.25041957238594303,0.257902292311255
Pharyngeal gland,0.00031072683331222244,0.0020064603918978855,0.000679039763139471,0.001124290039755974,0.0003962374434381773,0.0020888428277080887,0.005505746090151311,0.006042384829055418,0.0035007754499973946,0.005100469309551577
Seminal vesicle (male),0.017131369086789104,0.015229159568084766,0.013029141560735818,0.013706846638861118,0.009705557539240794,0.009714645092364723,0.010453661955307508,0.011244768587129434,0.008582099027328398,0.005856294212516964
Spermatheca,0.011498414792806538,0.023162032412138447,0.020832472626158307,0.023070594827586163,0.030383244580374152,0.03317206410353677,0.03409563494149025,0.033629897955574126,0.03510662061747293,0.03522065086984647
Spermatheca-Uterine junction,0.006871546848388302,0.0016729152712488362,0.0004996383044702196,0.0009340324372022229,0.00025157908998305035,0.00022101856625270262,8.039523063187718e-05,0.0011391918013821656,0.001244030659880424,0.002539323444167769
Unassigned sheath cells,0.00046728895093127166,1.8749298890725615e-05,0.0015798128733574878,0.008081571759607508,0.013483082620833142,0.013647595465060093,0.011209367912438128,0.011743336358453718,0.019226070402744554,0.01915576442241612
Uterine-vulval cells,0.02463257676908267,0.03804284929158253,0.046078821216498526,0.05392712493294644,0.0667135695812406,0.06593082037530086,0.06627125477360106,0.061561592248302315,0.062324682244134226,0.05710901929640509
Vulval cell,0.0,0.007496407920602651,0.0038964237876651497,0.004317208918428327,0.010603993119313636,0.005330588743653047,0.013785538034549261,0.011962808808542488,0.013554657197805747,0.009831162347031016
XXX cell,0.011273179043355216,0.009829453702238113,0.007851140062330172,0.007835224362109518,0.0028290969376840534,0.0023348139770541804,0.004183386875961482,0.008075017359419442,0.010148599998078977,0.008747065694852247
"arcade, marginal and pharyngeal muscle cells",0.004466638750743798,0.0025290306765512836,0.002541569607029178,0.0035509318043038564,0.010043384539699409,0.01132025627066051,0.012420663206615445,0.01385146373911555,0.012594958922033744,0.012591572993467002
hmc,0.0036862345727949916,0.006883758281566256,0.010261513033769236,0.01079594525651305,0.012370338007425754,0.013999515730412844,0.011741413825837982,0.010151577009797217,0.01548141165467652,0.015091126306584376
vulval cells and the epidermis,0.007325263560778204,0.009165674072130401,0.0082667935338104,0.007254917880145716,0.00853665757180506,0.010862440111591628,0.004070083728311291,0.008313884408114073,0.0,0.0
