,AIA,AIB,AIY,AIZ,ALA,AS,ASE,AUA,AVA,AVB,AVD,AVE,AVF,AVH,AVJ,AVK,AVL,AVM,AWC,Amphid socket,Anal muscle,Apoptotic germ cells,BAG,BDU,Body wall muscle anterior,Body wall muscle middle,Body wall muscle posterior,CAN,CEP_ADE_PDE,Cephalic sheath,Coelomocytes,DA_VA,DB_VB,DVA,DVB,DVC,Differentiated germ,Distal tip,Dorsal uterine cell,Embryonic cells,Excretory cells,Excretory duct,Excretory gland,GLR,Glia_1,Glia_2,Glia_3,Glia_4,HSN,Hypodermis head,Hypodermis tail,I2,I4,IL1,Intestinal-rectal valve,Intestine anterior,Intestine middle,Intestine posterior,LUA,M2,M3,M4,Marginal cells,Mature sperm,Meiotic germ cells,Mitotic germ cells,NSM,OLL,OLQ,Oocytes,PDA,PDB,PLM_ALM,PLN,PVC,PVD_FLP,PVM,PVN,PVP,PVQ,PVR,PVT,PVW,Phasmid socket,RIA,RIB,RID,RIF,RIG,RIH,RIM,RIP,RIR,RIS,RIV,RMD,RMD_LR,RME,RMG,Rectal gland,SAA,SAB,SDQ,SIA,SIB,SMB,SMD,Seam cells (bus+),Seam cells (grd+),Seminal vesicle (male),Spermatheca bag distal,Spermatheca bag proximal,Spermatheca neck distal,Spermatheca neck proximal,Spermatheca-Uterine junction,Spermatocytes,Syncitial pachytene spermatocytes,URA,URX_AQR_PQR,URY,Unassigned hypodermis/gonadal sheath,Unassigned sex-specific muscle,Unassigned sheath cells,Unassigned uterine cells,Uterine muscle,Uterine seam cells,Uterine toroid,Uterine-vulval cells,VC,VD_DD,Vulval cells,XXX,cat-4(+)ptps-1(+) intestine anterior,e1_e3 (pharyngeal epithelium),e2 (pharyngeal epithelium),g1A (pharyngeal gland),g1P (pharyngeal gland),g2 (pharyngeal gland),hmc,hyp4_to_hyp6,hyp7 (hypodermis),pm1_pm2 (pharyngeal muscle),pm3_pm4_pm5 (pharyngeal muscle),pm6_pm7 (pharyngeal muscle),sh1 (gonadal sheath distal),sh2 (gonadal sheath distal),sh3_sh4 (gonadal sheath proximal),sh5 (gonadal sheath proximal),vm1 (vulval muscle),vm2 (vulval muscle)
LFQ intensity D1_1,0.0,0.0,0.00972382406271757,0.005893275582549256,0.0,0.020232982269124577,0.0,0.0,0.0,0.001863558991347954,0.02092874534157741,0.014733977648913087,0.020886813546671764,0.02121802970233997,0.0,0.0006632210860793065,0.002668918207445007,0.0,0.017764292848524203,0.0,0.0036970644849575922,0.00946976154354718,0.0,0.0014098045389149853,0.010788168870250608,0.015236292853591193,0.005751884937720064,0.016913723023636272,0.0,0.0,0.0,0.0,0.013670634869864237,0.0,0.0,0.013376216365473294,0.09541529094884452,0.012299622913844031,0.008311353392990939,0.0,0.00015138420358525156,0.033452359010561074,0.012371001334168432,0.0,0.0,0.0,0.0,0.008713150607835389,0.012175018958444549,0.007703383732774742,0.0,0.0,0.0,0.0,0.016333432255872585,0.0,0.015746746146731605,0.030074584891188628,0.0,0.0,0.0,0.009761983700170071,0.01642982945111535,0.0,0.02976393549098997,0.010091245343656572,0.0,0.0,0.0015363424345553886,0.0,0.0,0.01509390740671658,0.0,0.0,0.01782578398313047,0.0,0.0,0.0,0.0012469290593591516,0.0,0.0,0.0013780831033375917,0.006992863648572237,0.0,0.0,0.029419850544713348,0.0,0.0,0.010085630511056086,0.0,0.009555319105957898,0.0,0.0035803755598116144,0.0,0.0,0.02966538861652857,0.0,0.0,0.023040562122310107,0.007748468912315597,0.003271460719561683,0.0,0.006740163433110267,0.0,0.0,0.0,0.015554254936377802,0.015828226074645492,0.0,0.019851768868759573,0.0022298150522337057,0.009159726075352672,0.002817676842423853,0.0,0.0,0.0,0.010160999159107195,0.0,0.0,0.03452106814783663,0.0,0.0,0.0,0.004503544686470938,0.002146336407741347,0.005553062957132828,0.0,0.003322878962903293,0.0,0.0,0.0,0.009512092805992599,0.0,0.0,0.0016671881274057197,0.0066356159385013375,0.0,0.0,0.0,0.013393108968957188,0.0060120599007877865,0.0,0.044782158049025245,0.0061645702232030666,0.03922474645256127,0.0,0.0,0.016010500726699465,0.018081958316825273,0.0
LFQ intensity D1_10,0.0,0.002569525107509152,0.01965164538442842,0.005032057960252426,0.0,0.017702703610561817,0.0,0.0,0.0,0.0,0.021767991322511615,0.015583272615934908,0.0,0.021287848052948238,0.0,0.0021773094184213736,0.004237926252638942,0.0,0.018864358902989927,0.0,0.0,0.0004445941786290385,0.0,0.0,0.007365483531222309,0.016065622011660213,0.014844274929717594,0.013017222284857992,0.0,0.0,0.0,0.0,0.009462382748472312,0.001755544534187207,0.0,0.0192465790254212,0.09561572456127847,0.0005877202163793161,0.008084170420534451,0.0,0.00447389282779881,0.018638576253184175,0.017704194851447617,0.0,0.0,0.0,0.0,0.012390949506743854,0.014988782060452335,0.007418467087059599,0.0,0.0,0.0,0.0,0.013804544273552951,0.0,0.012097153230178596,0.038356021254565914,0.0,0.0,0.0,0.010671897327827272,0.01890316242960042,0.0,0.032781421781781936,0.005854724259961825,0.0,0.0,0.0,0.0,0.0,0.019396816860990717,0.0,0.0,0.019401213405136414,0.0,0.0,0.0,0.0,0.0,0.0,0.001941830504665137,0.0019916606197343044,0.0,0.0,0.031079549794976218,0.0,0.0038595130218232947,0.009191273934726662,0.0,0.0036997522176019566,0.0,0.007136168686513048,0.0,0.0,0.03301156199204272,0.0,0.0,0.02721517916319396,0.007236378897701291,0.005720811738540707,0.0,0.009627291623542302,0.0,0.0,0.0,0.012195198231853758,0.020020613464009067,0.018226396214981216,0.016583270912916354,0.0,0.006484646222033852,0.006226084024221909,0.0,0.0,0.0,0.003956382547398759,0.0,0.0,0.03506384676746111,0.0,0.0,0.0,0.005217928983564707,0.0008490443344579597,0.004087808503828654,0.0,0.001617103950564717,0.0,0.0,0.0,0.010885024464568521,0.0,0.0,0.004731808924486643,0.006692463702713053,0.0,0.0,0.0,0.011435275390977382,0.0,0.0,0.041628023343407004,0.00911464312514345,0.04019488892356756,0.0014097515854345005,0.0,0.016380604974617408,0.023042444731891463,0.0
LFQ intensity D1_11,0.0,0.0022701255865561895,0.019216319917639405,0.0028793367762319413,0.0,0.01693863954499887,0.0,0.0,0.0,0.0,0.021682966288444162,0.015582499364687386,0.0,0.019545915402185157,0.0,0.0,0.004710655680501764,0.0,0.017755952278186438,0.0,0.0047650908583037645,0.0,0.0,0.0,0.008880103564674448,0.011687283843420129,0.010425796697362669,0.01419658464345385,0.0,0.0,0.0,0.0,0.011523102952437308,0.0,0.0,0.017090726914111305,0.09478401915450456,0.004069440843809973,0.005869603721224616,0.0,0.0,0.0288303187124404,0.008956205848201424,0.0,0.0,0.0,0.0,0.006315758773964565,0.010468770967220695,0.011632089669600672,0.0,0.0,0.0,0.0,0.01788010900128627,0.0,0.014247118995213519,0.04012881642245655,0.0,0.0,0.0,0.01614151713104677,0.016521322288126885,0.0,0.033551662596300234,0.008019518390566254,0.0,0.0,0.0005323253758860228,0.0,0.0,0.015345568754193894,0.0,0.0,0.020122419608543045,0.0023792471822786294,0.0,0.0,0.0,0.0,0.005000371264504828,0.0,5.0662214972615755e-05,0.0,0.0,0.029734803795259133,0.0,0.002009106040680732,0.008919687839089396,0.0,0.011083416248748593,0.0,0.00988612494078179,0.0,0.0,0.0316280651688283,0.00044268537588899854,0.0,0.019481692259513024,0.010389172639211977,0.001167141748692564,0.0,0.006688067273947276,0.0,0.0,0.0,0.021720891658517694,0.019937850575377905,0.0,0.014690363338722761,0.0,0.008103000101089228,0.005935148411368891,0.0,0.007689557567339879,0.0,0.00851484705798508,0.0,0.0,0.03436197984689051,0.0,0.0,0.0,0.005403172433818127,0.004914808718266034,0.011300726085362551,0.0,0.004123203243545949,0.0,0.0,0.0,0.007628877009469234,0.0,0.0,0.00570319052858816,0.008795401060805962,0.0,0.0,0.0008295513467036859,0.008364095884574792,0.0006003728238048417,0.0,0.042423619135842555,0.006154738331564326,0.0378721835292357,0.006816477412264514,0.0,0.013149677542221405,0.02353833579646125,0.0
LFQ intensity D1_2,0.0,0.0,0.017886638040333268,0.0,0.0,0.016923170022772983,0.0,0.0,0.0,0.00013713471087487998,0.02291156730230599,0.015958517502206,0.001249141945400247,0.021677344804926814,0.0,0.0001762309382556891,0.0,0.0,0.019100703675328325,0.0,0.002537532899529483,0.007693659652494023,0.0,0.0,0.007783206743532825,0.01432108298011584,0.009210197021290322,0.01648055683765916,0.00048106286247570054,0.0,0.0,0.0,0.016143090541646338,0.0,0.0,0.013432526205214667,0.09713526562172878,0.014447224552834094,0.01080811184873539,0.0,0.003796665097627869,0.025170236572962478,0.016476974002759066,0.0,0.0,0.0,0.0,0.008125005856120693,0.01098473377284022,0.016721701196326523,0.0,0.0,0.0,0.0,0.011870390681876751,0.0,0.011408599989136382,0.039694844010951615,0.0,0.0,0.0,0.010537348070761503,0.016810656229047653,0.0,0.02721791833145374,0.0,0.0,0.0,0.0015293989839675957,0.0,0.0,0.011218325291124886,0.0,0.0,0.014205672661656865,0.0,0.0,0.0,0.0026622200004308857,0.0,0.0,0.005510321909643798,0.0011562218697101936,0.0,0.0,0.0325394908140603,0.0,0.0055100618942075805,0.009852798883136364,0.0,0.0021356163744435247,0.0,0.009429823061636899,0.0,0.0,0.034404007775348286,0.0018274749392283777,0.0,0.026019202283200753,0.012477043541195285,0.004094281559390267,0.0,0.007768604509431933,0.0,0.0,0.0,0.013423491852292005,0.017847149894520048,0.005331813007018157,0.023368314482677118,0.0,0.008050247481671009,0.0045591636537241345,0.0,0.00727754370017448,0.0,0.007665221071198602,0.0,0.0,0.04084197912500023,0.0,0.0,0.0,0.006390258152113457,0.0009781276485864951,0.007895481498319595,0.0,0.0021927284906119566,0.0,0.0,0.0,0.010848376299819013,0.0,0.0,0.005112626060227573,0.006645343047906417,0.0,0.0,0.007389072610276113,0.00019566190977667353,0.0,0.0,0.04128351014951663,0.006392345553444692,0.038554275447612876,0.003371236548558678,0.0007806935960368771,0.0129304780369009,0.013025253808677174,0.0
LFQ intensity D1_3,0.0,0.0,0.015250541702591562,0.0,0.0,0.02137197068656729,0.0,0.0,0.0,0.0,0.025789781792385297,0.011310075446198548,0.0023237494611318497,0.023694702368679495,1.164997458362022e-05,0.0008889065415395836,0.0038734217016920688,0.0,0.02110476139405426,0.0,0.0012311823387024115,0.004067636342984731,0.0,0.0,0.00935385660425911,0.015654112985640654,0.0064049722515908125,0.015484549023016039,0.0,0.0,0.0,0.0,0.013480961820669846,0.0,0.0,0.014024946243390886,0.10173086197639604,0.013218365628573188,0.005785082495646186,0.0,0.0,0.019121744432024728,0.005105715899114782,0.0,0.0,0.0,0.0,0.007710055502773342,0.005188969733999074,0.018697731955077495,0.0,0.0,0.0,0.0,0.011877992994451015,0.0,0.016904953634166373,0.03868513704079305,0.0,0.0,0.0,0.008811725547052812,0.016981539006068205,0.0,0.028265061846458335,0.006632658035420946,0.0,0.0,0.0,0.0,0.0,0.011220444862387267,0.0,0.0,0.020011515847954277,0.0,0.0,0.0,0.0,0.0,0.0007664339290210441,0.0,0.0022201216223376448,0.0,0.0,0.033438639911853044,0.0,0.0,0.006982799397937161,0.0,0.014676964186893423,0.0,0.0073241965101929814,0.0,0.0,0.031626390304811,0.010679957222381997,0.0,0.023841515778676905,0.010391149451622898,0.0,0.0,0.007654313877022921,0.0,0.0,0.0,0.01488442512098049,0.015026319187703967,0.006791906548731327,0.016171480793354228,0.0,0.009848026906441036,0.00597164177263973,0.0,0.008117356915380474,0.0,0.00253479559433607,0.0,0.0,0.035199549415796665,0.0,0.0,0.0,0.0073238906078662265,0.003646736052938505,0.006612545175197722,0.0,0.00571223895227617,0.0,0.0,0.0,0.01514702873910174,0.0,0.0,0.004452151774801128,0.007271794616140666,0.0,0.0,0.0039803452686877,0.00036551329046336374,0.0015891681930783501,0.0,0.042248607907292,0.005254412388477494,0.04720895034426208,0.007686974929464195,0.0,0.017192140437344954,0.01888818175645767,0.0
LFQ intensity D1_4,0.0,0.0009801548688923008,0.0151306076754837,0.003152953205019524,0.0,0.011035469724911177,0.0,0.006439553293307421,0.0,0.0,0.02465540085303627,0.014534147794859443,0.0005526094960464008,0.027605079728897645,0.0,0.005165052251727378,0.001214138688719749,0.0,0.02052772116832409,0.0,0.0029675467070291914,0.0,0.0,0.0,0.009671062439014434,0.014975469074191396,0.014579434339635461,0.014511912627376515,0.0,0.0,0.0,0.0,0.017234687716695354,0.0,0.0,0.01680084194720387,0.10553173816082885,0.0019852992440473395,0.006521889439650649,0.0,0.0027965719418215434,0.02774603197510864,0.008954885266833076,0.0,0.0,0.0,0.0,0.009633238874737734,0.003913162864785741,0.007038363450652267,0.0,0.0,0.0,0.0,0.011313893911538555,0.0,0.0,0.04049916299336851,0.0,0.0,0.0,0.017140456617367357,0.016663766691969926,0.0,0.034633204450417676,0.0023401376598731214,0.0,0.0,0.0,0.0,0.0,0.012826815418279404,0.0,0.0,0.01584502971162008,0.0,0.0,0.0,0.010818450801536896,0.0,0.0,0.0017675655482561586,0.002996796185604254,0.0,0.0,0.03575126222010441,0.0,0.005010665141737587,0.007823610989672476,0.0,0.004087222986632011,0.0,0.004672373759788728,0.0,0.0,0.031866772105213784,0.0006677394379537175,0.0,0.02561289161949075,0.009039061557011344,0.0,0.0,0.0060921194236944875,0.0,0.0,0.0,0.008533901202765534,0.01670714691883834,0.0032966141602000457,0.018445245031972497,0.0,0.002214951746658493,0.005967151052911799,0.0,0.00815276171695741,0.0,0.011211581240293292,0.0,0.0,0.03954241342288407,0.0,0.0,0.0,0.003169427952180556,0.0031741149213725542,0.005056647128069134,0.0,0.003452368593010072,0.0,0.0,0.0,0.015042222422383645,0.0,0.0,0.004879219910614588,0.006966317539317895,0.0,0.0,0.0,0.0032229481705919618,0.0,0.0,0.04569140654609204,0.009515892225155677,0.04972011856806201,0.005590056637225813,0.0,0.01614058123106959,0.020982887611404752,0.0
LFQ intensity D1_5,0.0,0.0027483098035167857,0.022368372275145567,0.008459375427222532,0.0,0.018095868941381613,0.0,0.0,0.0,0.0,0.021334755288835112,0.011699727479177602,0.0,0.0197961917180231,0.0,0.0015491847085863835,0.004992191263985283,0.0,0.013980357150566917,0.0,0.0,0.0002878463831207212,0.0,0.0,0.006337153215823208,0.014593663821094453,0.011524423516158525,0.015021462017658712,0.0013402818035118263,0.0,0.0,0.0,0.012884649982303594,0.0,0.0,0.018860704357555585,0.09158626543894778,0.008377131530979541,0.009364418007562316,0.0,0.004423044421435138,0.0169757207970802,0.004447372055367648,0.0,0.0,0.0,0.0,0.010363912686676108,0.012652549501863515,0.0070067388958485865,0.0,0.0,0.0,0.0,0.020022357129793635,0.0,0.015614249618080677,0.04304921278030178,0.0,0.0,0.0,0.013603260496630364,0.017314673901211258,0.0,0.03275397853719805,0.0007279137275594385,0.0,0.0,0.0,0.0,0.0,0.015815853989477168,0.0,0.0,0.018105646892217626,8.910084466833824e-05,0.0,0.0,0.0,0.0,0.0012427601312304283,0.0016665153718435509,0.0,0.0,0.0,0.03042975285261002,0.0,0.004085720900923475,0.008526680984340016,0.0,0.0,0.0,0.013820395206691944,0.0,0.0,0.028772667528683977,0.003092442319133496,0.0,0.023666370793007176,0.012396443417721916,0.0021916023669580047,0.0,0.008704219754365842,0.0,0.0,0.0,0.013843856752343472,0.018947457165118937,0.008431674421721196,0.01733177906168951,0.0007673127990430467,0.005799523296261614,0.004306227250918738,0.0,0.00856917299503174,0.0,0.01051064778618902,0.0,0.0,0.03622839681487021,0.0,0.0,0.0,0.004856380085845165,0.002765830653828539,0.010334306109423382,0.0,0.0020603299268919534,0.0,0.0,0.0,0.010924068976303493,0.0,0.0,0.0041269397014415555,0.008900909560553377,0.0,0.0,0.004457543733170427,0.012522955899979607,0.0,0.0,0.03937332578596438,0.009405902310474076,0.0356569839631545,0.006336944878637529,0.0,0.015207926214077534,0.02157011182299051,0.0
LFQ intensity D1_6,0.0,0.0030259494026121567,0.015697099602389738,0.014158907252901755,0.0,0.022132994300878478,0.0,0.0,0.0,0.0,0.02264483821474432,0.0076815026502703755,0.0,0.02512558574649554,0.0,0.0012534124740639404,0.0063295863152850506,0.0,0.015260273340711554,0.0,0.0061650073420839975,0.0037852543918464356,0.0,0.0,0.002966376599755792,0.015201246458411708,0.0,0.014759547522205164,0.0,0.0,0.0,0.0,0.012768666476505732,0.0,0.0,0.022796423933544075,0.09858742840543773,0.01417856421256971,0.006015528164289546,0.0,0.0,0.035202978218688605,0.010554617080494058,0.0,0.0,0.0,0.0,0.010037163357800763,0.005979842413505639,0.0,0.0,0.0,0.0,0.0,0.013449334616406218,0.0,0.0,0.040084835940386705,0.0,0.0,0.0,0.012704932194832794,0.02179930196155794,0.0,0.0339300044292069,0.00019195492142962315,0.0,0.0,0.0,0.0,0.0,0.0113960160305683,0.0,0.0,0.01849472520610629,0.0,0.0,0.0,0.0,0.0,0.0,0.0028558273872910833,0.0029447789341691373,0.0,0.0,0.0271973459980332,0.0,0.0018992976849478743,0.006353186477940944,0.0,0.0,0.00107591880404278,0.011871113130767087,0.0009725898340712305,0.0004559168012049757,0.03377710654532007,0.0059698385640481735,0.0,0.023171462650045983,0.0025303872542289858,0.0,0.0,0.0020879719280840468,0.0,0.0,0.0,0.00982075192617889,0.01713686229139291,0.005460995275970553,0.01566987912533992,0.0,0.002889854589246491,0.006368374150298039,0.0019683411925246826,0.010255650760033921,0.0,0.007970604022207074,0.0,0.0,0.044767195224197934,0.0,0.0,0.005140178460243988,0.008889738840403472,0.00530280620993631,0.011289247882629345,0.0,0.0016980174152124597,0.0,0.0,0.0,0.017236559322547387,0.0,0.0,0.0034203561757484464,0.00893588556453372,0.0,0.0,0.008285954112598271,0.0017555040883100496,0.0022663594698762164,0.0,0.043625532623759025,0.0094721187072885,0.0423267839241023,0.004655127184569019,0.0,0.01402138134748287,0.02184729894118603,0.0
LFQ intensity D1_7,0.0,0.0,0.016022262591050027,0.0007356220660989266,0.0,0.018776534321026484,0.0,0.0029723490279017334,0.0,0.0,0.02257972151512365,0.020290268621673106,0.0,0.023828831650775612,0.0,0.005449993958038112,0.0011268503273696427,0.0,0.018962188931362037,0.0,0.0012241910133703844,0.0007533864564223043,0.0,0.0,0.009608967917938633,0.014062182978514946,0.005980247170738586,0.017144078549730733,0.0,0.0,0.0,0.0,0.017129924986602083,0.0,0.0,0.010782222905338831,0.0934607565467947,0.009665947270505609,0.010675605636678895,0.0,0.001988730195366182,0.01571131491742353,0.015895006083918174,0.0,0.0,0.0,0.0,0.011467883858807227,0.013855387279378463,0.011250070263996204,0.0,0.0,0.0,0.0,0.009550658522962023,0.0,0.016798254197841384,0.04094262105196735,0.0,0.0,0.0,0.010035135101092735,0.018180226161455756,0.0,0.03135848700299141,0.0,0.0,0.0,0.002904716468007524,0.0,0.0,0.014707850574871853,0.0,0.0,0.01201865305316987,0.0,0.0,0.0,0.002180476072004045,0.0,0.0,0.002742133549844056,0.0015878818814885195,0.0,0.0,0.03314222798085194,0.0,0.004670424428274271,0.010332469267414768,0.0,0.005214376613335399,0.0,0.009301715685452365,0.0,0.0,0.028388195013200418,0.0,0.0,0.021571748266704067,0.009450590198650875,0.007361223927341952,0.0,0.005841071123362008,0.0,0.0,0.0,0.011675465238031747,0.017775213930917515,0.005333856844068262,0.01544430596091312,0.0,0.01081029679822736,0.006738352242257649,0.0,0.010503327136268928,0.0,0.003223632500254542,0.0,0.0,0.03750900145127638,0.0,0.0,0.0,0.005718974245014935,0.0038461161541810856,0.0076733532142838215,0.0,0.002459407740860162,0.0,0.0,0.0,0.005998452696576564,0.0,0.0,0.0066328674572300825,0.009628360068932133,0.0,0.0,0.010289508835163509,0.01141018163504935,0.0,0.0,0.04243943056143515,0.004847378598281514,0.03783313973370453,0.008142555010238636,0.0,0.014770129686387723,0.01961502907621586,0.0
LFQ intensity D1_8,0.0,0.0,0.017949926374834745,0.004911602079248118,0.0,0.0170464321668128,0.0,0.0015572745837259092,0.0,0.0,0.021911185038825137,0.017818641584855813,0.00034330880486557156,0.015956353190958363,0.0,0.010879362707710201,0.0,0.0,0.021679504570372567,0.0,0.003686216087905949,0.001193554055868134,0.0,0.0,0.008615098897404996,0.01944806695504537,0.005233041098541107,0.014555915875955457,0.0,0.0,0.0,0.0,0.012292355934323497,0.00671634591957085,0.0,0.00802575841947644,0.09492949259805264,0.005881192571346049,0.01108542993917734,0.0,0.00526853625005373,0.01841798130266545,0.014359106383460225,0.0,0.0,0.0,0.0,0.013175559231747071,0.014235200155232147,0.003218835897416785,0.0,0.0,0.0,0.0,0.01826046357967425,0.0,0.013563587105049313,0.04001674063125107,0.0,0.0,0.0,0.007971812217147945,0.01735868308038516,0.0,0.03247877603624242,0.0008850061450121028,0.0,0.0,0.0071503524551133285,0.0,0.0,0.013416282995911006,0.0,0.0,0.018248539444699712,0.0,0.0,0.0,0.004799288351233513,0.0,0.0,0.003204966448755213,0.006815740432207902,0.0,0.0,0.03175507668821753,0.0,0.004713909011687635,0.007061970690058684,0.0,0.008621463278528904,0.0,0.007089148297796302,0.0,0.0,0.03611232132377541,0.0018152220169174213,0.0,0.025856137253299136,0.006207150908598842,0.00568173390030353,0.0,0.005551539649228352,0.0,0.0,0.0,0.010940919730034082,0.016906815718264766,0.009257489092447144,0.015515429598766013,0.0012834953469959838,0.003262108451254945,0.0019134316062350554,0.004975884145381666,0.006292116339854153,0.0,0.005127608960815298,0.0,0.0,0.03851478997576935,0.0,0.0,0.0,0.007938511653258002,0.0018885030273625503,0.00045084998482102515,0.0,0.005483682778384667,0.0,0.0,0.0,0.008948464060264347,0.0,0.0,0.00605329241829728,0.008400185068518532,0.0,0.0,0.0,0.011467694364139323,0.0,0.0,0.03880454330409882,0.006000452922574414,0.03253050112530192,0.00363286748346904,0.0,0.01766981200982271,0.021713360217321856,0.0
