,AIA,AIB,AIY,AIZ,ALA,AS,AVA,AVB,AVE,AVF,AVH,AVL,AVM,Amphid socket,Anal muscle,Apoptotic germ cells,Body wall muscle anterior,Body wall muscle middle,Body wall muscle posterior,CAN,CEP_ADE_PDE,Cephalic sheath,Coelomocytes,DA_VA,DB_VB,DVB,Differentiated germ,Distal tip,Dorsal uterine cell,Excretory cells,Excretory duct,Excretory gland,GLR,Glia_1,Glia_2,Glia_3,Glia_4,Hypodermis head,Hypodermis tail,Intestinal-rectal valve,Intestine anterior,Intestine middle,Intestine posterior,M2,Marginal cells,Meiotic germ cells,Mitotic germ cells,Oocytes,PDA,PLM_ALM,PLN,PVC,PVD_FLP,PVM,PVP,PVR,PVT,PVW,Phasmid socket,RIB,RID,RIH,RIM,RIV,RMD,RMD_LR,RME,RMG,Rectal gland,SAA,SAB,SDQ,SIA,SIB,SMB,SMD,Seam cells (grd+),Spermatheca bag distal,Spermatheca bag proximal,Spermatheca neck distal,Spermatheca neck proximal,Spermatheca-Uterine junction,Syncitial pachytene spermatocytes,URX_AQR_PQR,Unassigned hypodermis/gonadal sheath,Unassigned sex-specific muscle,Unassigned sheath cells,Unassigned uterine cells,Uterine muscle,Uterine seam cells,Uterine toroid,Uterine-vulval cells,VC,VD_DD,Vulval cells,XXX,cat-4(+)ptps-1(+) intestine anterior,e1_e3 (pharyngeal epithelium),e2 (pharyngeal epithelium),g1P (pharyngeal gland),hmc,hyp4_to_hyp6,hyp7 (hypodermis),pm1_pm2 (pharyngeal muscle),pm3_pm4_pm5 (pharyngeal muscle),pm6_pm7 (pharyngeal muscle),sh1 (gonadal sheath distal),sh2 (gonadal sheath distal),sh3_sh4 (gonadal sheath proximal),sh5 (gonadal sheath proximal),vm1 (vulval muscle),vm2 (vulval muscle)
LFQ intensity D1_1,0.0,0.004916227793478534,0.004760739797839516,0.007083767746473148,0.0,0.026261082417562493,0.0,0.007872767927975729,0.021630499788047715,0.03081371607708713,0.04173768136507047,0.00012607130485514564,0.0,0.0,0.007171776490586362,0.012980353985369305,0.014797200512502887,0.020434951386309796,0.007304089244740276,0.021626586252314676,0.0,0.0,0.0,0.0,0.007802596338718274,0.0,0.11768867123236333,0.012926195302744017,0.010961400912180065,0.0,0.037678090664811016,0.015412393210175042,0.0006269543167850446,0.0,0.0,0.0,0.011999763012271814,0.010885856066970623,0.0,0.01991093152049991,0.0,0.019863255479348967,0.03672443039889717,0.0,0.021623120252793608,0.03683210432804135,0.01175889697651722,0.0,0.0,0.0,0.0,0.016703653435227003,0.0,0.0,0.0,0.0,0.014831457353508003,0.008791197758047724,0.0,0.010076060317085859,0.0,0.0,0.008325145737771855,0.0,0.03150894043186828,0.0,0.0,0.026421971646967735,0.00953327741267681,0.00593537211922829,0.0,0.008377350029464175,0.0,0.0,0.0,0.011760407942193048,0.0,0.0034277708457479163,0.010987952622815966,0.0037169643627472655,0.0,0.0012373279138426468,0.012297235659019157,0.0,0.0,0.0,0.0,0.005690850695171347,0.003909420137013611,0.006803945550278059,0.0,0.004165969326101798,0.0,0.0,0.0,0.013467681882963827,0.0,0.0,0.0,0.0,0.0,0.014291576821196644,0.01813243502510978,0.0,0.05336361765361371,0.003858682365226178,0.047393092819147886,0.0,0.0,0.02108817715018706,0.02169029288244765,0.0
LFQ intensity D1_10,0.0,0.0,0.016292540545180933,0.007202590874181746,0.0,0.02701444951141068,0.0,0.002025490252983161,0.02711927764940777,0.005601125981018302,0.03719022748923781,0.00035508361416968073,0.0,0.0,0.0009522443743750358,0.0009029827839550061,0.00914736766271023,0.021538940498600282,0.01779843273043513,0.016682869829035666,0.0,0.0,0.0,0.0,0.004349561676070288,0.0,0.12397450002628636,0.0012007514031616932,0.010513062414228887,0.0053175621977291174,0.020069873960267486,0.022542278741480105,0.0,0.0017555868661921074,0.0,0.0,0.016583329054886013,0.011469773214636705,0.0,0.01938281866558339,0.0,0.01602693615976849,0.049275923963596154,0.0,0.024683005402262058,0.041365403547011195,0.008665919743371294,0.0,0.0,0.0,0.0,0.02897861079849479,0.0,0.0,0.0,0.0,0.02154892255897695,0.01841945498827199,0.0,0.01573930187168599,0.0,0.0,0.0054659016618394856,0.0,0.03713579426332704,0.0,0.0,0.03523985346728878,0.009195603189781404,0.011819971147894721,0.0,0.0,0.0,0.0,0.0,0.0032894515090482112,0.023507643765085753,0.0,0.008397771294802917,0.00782386610752152,0.0,0.0,0.005166879947609499,0.0,0.0,0.0,0.0,0.007063625516362964,0.0011278092164762083,0.004898188691111249,0.0,0.0018476517607734836,0.0,0.0,0.0,0.011870966170881219,0.0,0.0,0.0001311907177784673,0.0,0.0,0.009901343066486995,0.0,0.0,0.05158229289210373,0.0066476726871190495,0.053896579546498395,0.0020212044848818625,0.0,0.02132249060758997,0.028960047237074526,0.0
LFQ intensity D1_11,0.0,0.0,0.01916124105186457,0.005191947684661623,0.0,0.02222426861910203,0.0,0.0021216693004342735,0.025485916833832112,0.0106029071805936,0.03734035905649876,0.004135940881501569,0.0,0.0,0.007520800197368394,0.0,0.012568213803053651,0.015909722700306404,0.012707048542953901,0.0224459028845971,0.0,0.0,2.1718122257437926e-05,0.0,0.005656937463945652,0.0,0.11846247906531114,0.0040623781256937126,0.007891265206357134,0.0,0.031186877648800463,0.012247172348143433,0.0,0.0,0.0,0.0,0.011219558974099639,0.016557621087765474,0.0,0.021467135753924976,0.0,0.017865909680108448,0.05082046303198937,0.0,0.019873378365167626,0.04098373944584669,0.010402314512177505,0.0,0.0,0.0,0.0,0.029483884803078272,0.003357969218886063,0.0,0.0,0.0,0.015632181931020957,0.0125246874941912,0.0,0.01108630215875782,0.0,0.0,0.018582759080419488,0.0,0.033233410256642094,0.0,0.0,0.02015763856766831,0.012939311719944287,0.0017335188265602554,0.0,0.0046897028319621515,0.0,0.0,0.0,0.01154426163901452,0.0,0.0,0.010065662287756884,0.006568141258490691,0.0,0.00976027052582812,0.010463321099697834,0.0,0.0,0.0,0.0,0.006125297644501159,0.006087649007815367,0.01398217869705196,0.0,0.0053379868629858055,0.0,0.0,0.0,0.011320988134712884,0.0,0.0,0.0,0.0,0.0,0.006139741890584573,0.01579146152203166,0.0,0.0516983696171396,0.003896258933699351,0.046143412856731736,0.0077783222796997415,0.0,0.018103902592513252,0.02963651869225711,0.0
LFQ intensity D1_2,0.0,0.0012093645325412512,0.018268591837046422,0.00867893565395945,0.0,0.021072775895737795,0.0,0.002019334270993556,0.024874145338394497,0.010132372390496996,0.03545404635986737,0.0,0.0,0.0,0.005612117975669122,0.009649038199329421,0.012166662214767301,0.020673093867921807,0.008350218366150693,0.021190879022058625,0.0,0.0,0.0,0.0,0.015461376620520105,0.0,0.12219963954301129,0.01673034211675099,0.014216339685329822,0.003944480346174925,0.02578861788166416,0.020557393386181993,0.0024250966233352444,0.0,0.0,0.0,0.01321495261130557,0.026046836476743388,0.0,0.014513358454350044,0.0,0.015536367117993524,0.049676090409786156,0.0,0.021021961931423677,0.032911504067671786,0.0,0.0,0.0,0.0,0.0,0.019537810763659475,0.0,0.0,0.0,0.0,0.024107848321180892,0.014318630179449659,0.0,0.014607841015711566,0.0,0.0,0.006718652449470257,0.0,0.0335865450240906,0.0,0.0,0.031754183128059374,0.015472985248594362,0.006308066097676121,0.0,0.005573879560400094,0.0,0.0,0.0,0.006341380580111327,0.006532678861634962,0.0,0.010396267146563923,0.005333182346726069,0.0,0.009008713690850293,0.009613371823423983,0.0,0.0,0.0,0.0,0.008614888290000412,0.0011593592652538356,0.009689293876380851,0.0,0.0028050968178814344,0.0,0.0,0.0,0.015038232518641358,0.0,0.0,0.0,0.0,0.0030542784655213373,0.0,0.0038020935778786025,0.0,0.05168809731280825,0.004418436851706234,0.04642943308047505,0.0039380900930897755,0.0,0.019536246772471098,0.017018483643111662,0.0
LFQ intensity D1_3,0.0,0.0,0.012089428066884338,0.006020005842588696,0.0,0.023381158362023795,0.0,0.0,0.017218582651585088,0.01046144564266447,0.04239493654177494,0.0006604024893909295,0.0,0.0,0.004331064908899857,0.003943354052447107,0.014061665338361135,0.020741994636708373,0.005843457856332104,0.020875790657754276,0.0,0.0,0.0,0.0,0.010559633053174082,0.0,0.12677827116558,0.01647393443496714,0.007927213277645064,0.0,0.019033188394908942,0.0069215329380431555,0.0024280607292453487,0.0,0.0,0.0,0.011604222646627388,0.026546883882104865,0.0,0.01512799560900915,0.0,0.02126528440479123,0.047551991061122074,0.0,0.020051554974326005,0.03476977918237277,0.00815257419226635,0.0,0.0,0.0,0.0,0.03151129476365476,0.0,0.0,0.0,0.0,0.013471915095860147,0.015698268840334425,0.0,0.016329942465342376,0.0,0.0,0.021615941663141153,0.0,0.03612434513319242,0.0,0.0,0.02501821453485948,0.012540481538168793,0.0,0.0,0.00028654920138113284,0.0,0.0,0.0,0.0008402241587885219,0.007797105102593917,0.0,0.012537751590064481,0.00712426499503834,0.0,0.00975230582023613,0.0031188488844268404,0.0,0.0,0.0,0.0,0.00895189193148157,0.004473650915791046,0.007802779421221128,0.0,0.00705114527530122,0.0,0.0,0.0,0.021205423184187843,0.0,0.0,0.0,0.0,0.0,0.0,0.012189744949341108,0.0,0.05161153694100576,0.0028851338153993316,0.05859057615656999,0.008967589250202801,0.0,0.023555241919064024,0.02173242545975257,0.0
LFQ intensity D1_4,0.0,0.001535389003373397,0.01035848059739579,0.007913466093158919,0.0,0.019297381937006277,0.0,0.0,0.01671196359207126,0.008476915873829517,0.044301816206726505,0.0,0.0,0.0,0.005060505942932365,0.00015122779695014052,0.014706280848250503,0.020878956032390244,0.016690156839886373,0.018069619567054187,0.0,0.0,0.0,0.0,0.01510109061771634,0.0,0.1334921797370745,0.0019409648546325471,0.007615262764238572,0.0,0.02591482524372528,0.01260781891268434,0.0,0.0025821145739089064,0.0,0.0,0.012250531445854841,0.011340369807795049,0.0,0.015020370606122867,0.0,0.0,0.051470596834965646,0.0,0.02056984107681425,0.04240845262701215,0.0032900902225044527,0.0,0.0,0.0,0.0,0.02778060422811011,0.0,0.0,0.01059828462871114,0.0,0.021752960121824434,0.01930386039070232,0.0,0.014063596312605252,0.0,0.0,0.008253611698369169,0.0,0.043822931568945664,0.0,0.0,0.030936036962299747,0.01098743537703608,0.0,0.0025664846560936854,0.002898573472973126,0.0,0.0,0.0,0.0,0.001472677489428435,0.0,0.0028166700413639906,0.00699345882821666,0.0,0.009690484963372133,0.01344845406341638,0.0,0.0,0.0,0.0,0.004537793608521175,0.004809115748655977,0.005765627811794293,0.0,0.004324151143477926,0.0,0.0,0.0,0.021314458755472176,0.0,0.0,0.0,0.0,0.0,0.001603171324713396,0.009307799216815304,0.0,0.057345653634822455,0.007487146244874058,0.06043725652793884,0.006766597622020802,0.0,0.02215190370295532,0.027006530198394666,0.0
LFQ intensity D1_5,0.0,0.0,0.019345897798808586,0.006549557310511632,0.0,0.024048116244281215,0.0,0.0,0.024029539380854885,0.01607108893210268,0.03966727218973049,0.0018861912926114958,0.0,0.0,0.0012534133207258403,0.0013266582787552791,0.009969734737919662,0.019201005703941537,0.017353534569417805,0.01901384471230407,0.0017312344267783305,0.0,0.0,0.0,0.009979300194570872,0.0,0.11624560031273827,0.007003097074248018,0.013283858148373432,0.0036537345801585215,0.015300716393402598,0.0062748624124410336,0.0,0.0,0.0,0.0,0.01578460438912113,0.012371716307563488,0.0,0.0275249396215436,0.0,0.02256781284700963,0.05279206670050656,0.0,0.022055396482775658,0.04056670999842157,0.0,0.0,0.0,0.0,0.0,0.025025435897596468,0.0026946145215757705,0.0,0.0,0.0,0.020132075285447942,0.012490941170493661,0.0,0.014445732671235008,0.0,0.0,0.00296110958094223,0.0,0.03587057508905385,0.0,0.0,0.026814164217062498,0.015539308827820841,0.004485515367423268,0.0,0.006009835276387514,0.0,0.0,0.0,0.007622848189105227,0.007209996689446102,0.0007107098521866124,0.007257619995248238,0.005073669870108639,0.0,0.010389282771147541,0.012491762025493148,0.0,0.0,0.0,0.0,0.006650392618719923,0.004089727517464402,0.012593596763553996,0.0,0.0027206687882000606,0.0,0.0,0.0,0.014131224717197742,0.0,0.0,0.0,0.0,0.0,0.011401095277373848,0.011121052370259184,0.0,0.0476037865437651,0.005197180410964134,0.044480789690833605,0.007970374682182287,0.0,0.020459419667241872,0.027503989292851364,0.0
LFQ intensity D1_6,0.0,0.0,0.018204395548244465,0.011822040089008463,0.0,0.027096838083470087,0.0,0.0,0.018634462402301027,0.01611827757531907,0.039478427406665725,0.003965019851329047,0.0,0.0,0.009162947571875498,0.0039101882888570106,0.005720750743167291,0.021565249339380813,0.0,0.01846689869457364,0.0,0.0,0.0,0.0,0.01396159985800014,0.0,0.12258938874512602,0.015944901821056696,0.0056820007635026695,0.0008545052294262762,0.0374039541672348,0.014339968450835953,0.0,0.0,0.0,0.0,0.016144466621884873,0.0,0.0,0.015269692211594856,0.0,0.0,0.05039897967708314,0.0,0.029334414788965348,0.04149614034480662,0.0,0.0,0.0,0.0,0.0,0.028996673541535695,0.0,0.0,0.0,0.0,0.020819798326601545,0.015781231193947018,0.0,0.022142058652147273,0.0,0.0,0.003070368384141926,0.0,0.03918105037863842,0.0,0.0,0.027043066295311634,0.0028725094112892866,0.0,0.0,0.0013427310873785274,0.0,0.0,0.0,0.0,0.004760947233575396,0.0,0.0035497597253885253,0.007061438995879369,0.003416563775502816,0.01194932006836555,0.009474648238504147,0.0,0.0,0.0,0.005617108858488382,0.010226513285813072,0.007543945515301009,0.013680824495132145,0.0,0.0025723728826416094,0.0,0.0,0.0,0.021214419666303636,0.0,0.0,0.0,0.0,0.0028751453357848547,0.0,0.016797077735416614,0.0,0.050435611044235475,0.004732351899770687,0.052222750307460854,0.007163044953430593,0.0,0.019332809024495537,0.026558351413808967,0.0
LFQ intensity D1_7,0.0,0.00028510252238361637,0.018053000007498005,0.006577264061103127,0.0,0.022405587378709575,0.0,0.005281051928436993,0.02788558515236593,0.005288139010757274,0.037697750706091875,0.0,0.0,0.0,0.004476503071982824,0.0012213158812476557,0.014948039845608435,0.021711856622729248,0.00683804449639039,0.02146961075995233,0.0,0.0,0.0,0.0,0.013534327226475,0.0,0.12064049574409598,0.011959519804584796,0.012858242872719397,0.0,0.01381585271795993,0.020480723085652464,0.006796128816441885,0.0,0.0,0.0,0.01600246567772212,0.01756283478039863,0.0,0.012656115316055157,0.0,0.021963325801818877,0.05260178888812795,0.0,0.022702268827669233,0.04056355056235471,0.0,0.0,0.0,0.0,0.0,0.022020632351227316,0.0,0.0,0.0,0.0,0.02210103105831163,0.012450359508300727,0.0,0.012133801593986738,0.0,0.0,0.007575246595823224,0.0,0.03580015857494975,0.0,0.0,0.026325842565172397,0.012165794967979359,0.009020903377146346,0.0,0.00455702624052204,0.0,0.0,0.0,0.0,0.006728726845562102,0.0,0.01428220439063611,0.008182503059584623,0.0,0.013237072970503111,0.003955542339699147,0.0,0.0,0.0,0.0,0.007959270588720703,0.004984489797461821,0.009927069021735672,0.0,0.0025345211098114664,0.0,0.0,0.0,0.011975215666579424,0.0,0.0,0.0,0.0,0.0032986548485652374,0.009768085499920224,0.004286784105077275,0.0,0.05233159831203363,0.0018223751202449518,0.04776490537580202,0.010842444410560087,0.0,0.02139264422053163,0.022298603916217873,0.0
LFQ intensity D1_8,0.0,0.0,0.015997190998412014,0.009945647077911374,0.0,0.017902853970345536,0.0,0.00115979397616223,0.03015410635878357,0.002641197717481773,0.031197310472430285,0.0,0.0,0.0,0.006378138557915812,0.0027095186043076757,0.013193033656237934,0.0261633251650739,0.008252358734108057,0.01943116288562612,0.0,0.0,0.0,0.0,0.010461964821693438,0.0,0.12239917846228304,0.006895588708309664,0.014513084446995294,0.0071778937937144556,0.013456834404425652,0.01847747137160294,0.0,0.0024719189560207457,0.0029099717766632067,0.0,0.018558696079620126,0.009022338238114803,0.0,0.025189698247973957,0.0,0.019669004883189026,0.05088425248671216,0.0,0.02145368055416971,0.04142544978717784,0.0,0.0,0.0,0.0,0.0,0.022693526400622055,0.0,0.0,0.005078155640959673,0.0,0.022352338867900823,0.018287071963413584,0.0,0.015084402938357694,0.0,0.0,0.013808687811000147,0.0,0.03705112410141287,0.0,0.0,0.031211030310322428,0.007882214056386491,0.00872226805475798,0.0,0.0027466072942597453,0.0,0.0,0.0,0.004818103435880195,0.012073996713449756,0.0027616799195424456,0.004023860005977399,0.002104285238695892,0.007201570116841997,0.007974265280293347,0.00672351387903363,0.0,0.0,0.0,0.0,0.010470906610550248,0.002252982315872951,0.0006385983621504235,0.0,0.006995643070229073,0.0,0.0,0.0,0.010972940203048981,0.0,0.0,0.0,0.0,0.0,0.014081612698193262,0.0,0.0,0.05023551333510667,0.0031542089558852775,0.04215555327621098,0.00465150516157524,0.0,0.0238063613443761,0.027892807444230103,0.0
