,ADF,ADL,AFD,AIA,AIB,AIZ,AS,ASE,ASG,ASH,ASK,AVA,AVB,AVD,AVE,AVF,AVJ,AVK,AVM,AWA,AWB,AWC,Amphid sheath,Amphid socket,Anal muscle,Apoptotic germ cells,Arcade cells,BAG,BDU,Body wall muscle anterior,Body wall muscle middle,Body wall muscle posterior,CAN,CEP_ADE_PDE,Cephalic and inner labial socket,Cephalic sheath,Coelomocytes,DA_VA,DB_VB,DVA,DVB,DVC,Differentiated germ,Distal tip,Dorsal uterine cell,Embryonic cells,Excretory cells,Excretory duct,Excretory gland,GLR,Glia_1,Glia_2,Glia_3,Glia_4,HSN,Hypodermis head,Hypodermis tail,I1,I2,I4,IL1,Intestinal-rectal valve,Intestine anterior,Intestine middle,Intestine posterior,LUA,M1,M2,M3,M4,M5,Marginal cells,Mature sperm,Meiotic germ cells,Mitotic germ cells,NSM,OLL,OLQ,Oocytes,PDA,PDB,PHC,PLM_ALM,PLN,PVC,PVD_FLP,PVM,PVN,PVP,PVQ,PVR,PVT,PVW,Phasmid sheath,Phasmid socket,RIA,RIB,RIC,RID,RIF,RIG,RIH,RIM,RIR,RIS,RIV,RMD,RMD_LR,RME,RMF,Rectal gland,SAA,SAB,SDQ,SIA,SIB,SMB,SMD,Seam cells (bus+),Seam cells (grd+),Seminal vesicle (male),Spermatheca bag distal,Spermatheca bag proximal,Spermatheca neck distal,Spermatheca neck proximal,Spermatheca-Uterine junction,Spermatids,Spermatocytes,Syncitial pachytene spermatocytes,URX_AQR_PQR,URY,Unassigned hypodermis/gonadal sheath,Unassigned sex-specific muscle,Unassigned sheath cells,Unassigned uterine cells,Uterine muscle,Uterine seam cells,Uterine toroid,Uterine-vulval cells,VC,VC_4_5,VD_DD,Vulval cells,cat-4(+)ptps-1(+) intestine anterior,e1_e3 (pharyngeal epithelium),e2 (pharyngeal epithelium),g1A (pharyngeal gland),g1P (pharyngeal gland),g2 (pharyngeal gland),hmc,hyp4_to_hyp6,hyp7 (hypodermis),pm1_pm2 (pharyngeal muscle),pm3_pm4_pm5 (pharyngeal muscle),pm6_pm7 (pharyngeal muscle),sh1 (gonadal sheath distal),sh2 (gonadal sheath distal),sh3_sh4 (gonadal sheath proximal),sh5 (gonadal sheath proximal),vm1 (vulval muscle),vm2 (vulval muscle)
LFQ intensity D1_1,0.0,0.011911523999303772,0.02836197834123285,0.0,0.0016315820188268688,0.007212199987708463,0.02541587898198447,0.0,0.021904841100630745,0.011841580749197994,0.0,0.0,0.00525124825630488,0.009606146499573715,0.007482758675208685,3.1903897840023998e-19,0.0,0.0,0.0,0.0,0.004041187915538687,0.01688344463773055,0.0,0.0,0.004019574598649867,0.012409697458716371,0.0,0.0,0.00244002126409594,0.016551589649241638,0.008086876829514826,0.007456163318286114,0.01645831695030586,0.012839244211166093,0.0,0.014135918030973287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01603996849603661,7.070631871612324e-20,0.0,0.0,0.030072261019867003,0.0,0.0,0.031899313528740675,0.0,0.0,0.0,0.01746655599967805,0.0,0.0,0.0,0.026251286510746555,0.0,0.0,0.017831894857426967,0.0,0.0037715703992385677,0.041863468800440604,0.0,0.03816961262520313,0.0,0.0,0.0,0.0,0.024302795861322266,0.0,0.03482949943295328,0.046152344842123945,0.0,0.0,0.007306704217000489,0.0,0.0,0.0016293762329352666,0.0,0.0,0.0,0.015199571482168318,0.0,0.0,0.0,0.015605689848003174,0.003659844897168866,0.0,0.0003470725923468179,0.0,0.0,0.0,0.0,0.0,0.0,0.0036598448971688646,0.009118744731088741,0.0,0.0,0.018328577763751245,0.021038880200227657,0.008663470385149283,0.0,0.0,3.761091164383519e-19,0.0,0.0,0.012122138257895059,0.000731151324289277,0.0,0.0007528339250181126,0.0,0.0,0.0,0.0,0.020876743438951167,0.0,0.02922311439407647,0.01106838830679194,0.016706155236570874,0.002097085711519728,0.0,0.005949846270127235,0.0,0.0,0.019833560270936884,0.0,0.014544892333273364,0.015232393915547888,0.0003881508900312124,0.00024697719335198845,0.010167403095429692,0.008065587706532353,0.011594457667422519,0.0,0.00351950065724757,0.017964593457609826,0.0,0.0,0.0,0.0,0.0,0.0,0.005224365216816562,0.0,0.0,0.0,0.007746178388420181,0.0020220360604488842,0.0,0.04248844539859533,0.007158028457621174,0.008602911363564447,0.005893299865019489,0.0,0.01003070364853377,0.030598934453378825,0.0
LFQ intensity D1_10,0.0,0.012283045322184322,0.0,0.0,0.003878855614907203,0.007357854695454057,0.021307974867224546,0.0,0.022483492794851644,0.011643447784063208,0.0,0.0,0.002692476133801199,0.012145924527000806,0.011820856368707588,0.0,0.0,0.002537026713901538,0.0,0.0,0.004903622806751372,0.013004115632988615,0.0,0.0,0.003813002319182033,0.01022444812351716,0.0,0.0,0.002541543225712122,0.0058665332047755855,0.011094559537794993,0.017228163455821816,0.012337612821387962,0.017333855243600198,0.0,0.009077673700460693,0.0,0.0,0.0,0.0,0.0,0.005986553989470677,0.0,0.01100150087906868,0.0036591647390619704,0.0,0.0007140646498765464,0.016120759332100512,0.000908006309028231,0.0,0.02244849532479607,0.0,0.0,1.6805656933698066e-05,0.01999720160778725,0.0030027921469092393,0.0,0.0,0.029135833892462087,0.0,0.0,0.01811052858883896,0.0,0.005275447939467881,0.047492525764041484,0.0,0.03929883629266916,0.0,0.0,0.0,0.0,0.02415599283166055,0.0,0.0360028497938981,0.047454954334909295,0.0,0.0,0.005110675199717457,0.0,0.0,0.0017443852145319016,0.0,0.0,0.0,0.01666071815981248,0.0,0.0,0.0,0.015837559016370403,0.003740997330364027,0.0,0.003024185101918612,0.0022667389761635063,0.0,0.0,0.0,0.0,0.0,0.0037409973303640254,0.011227316045855997,0.0,0.0,0.012669265357297324,0.021522375936318647,0.010350080884454068,0.0019465611828816496,0.0,0.0,0.0,0.002245981350903098,0.011181402253186434,0.0010264576368099693,0.0,0.0,0.0,0.0,0.0,0.0,0.029030913093953996,0.01823650230538887,0.023423643057735512,0.007537436193959885,0.01558010455069464,0.006764976491853689,0.00037782654483408025,0.0032492662459998613,0.0,0.0,0.010080904407884507,0.0,0.02032142229331137,0.01461705121488103,0.0,0.0,0.011202355925614428,0.00652616836000309,0.011630265214598715,0.0,0.002980549262402946,0.009457912786956887,0.0,0.0,0.0,0.0,0.0,0.0,0.004860112390295059,0.0002782563418473003,0.0,0.003503245170072041,0.0024005756833258046,0.0,0.0,0.04273434047609769,0.01294838772281822,0.01812488230069676,0.004046454254346427,0.0,0.013347437714217038,0.03608491405219147,0.0
LFQ intensity D1_11,0.0,0.014235113931199143,0.0,0.0,0.0003509302472800279,0.006919748077779608,0.020576560266337498,0.0,0.02024426619219341,0.0110432204277757,0.0,0.0,0.0035663166705233,0.01024491890940589,0.010595889550387252,0.0,0.0,0.0,0.0,0.0,0.004588484944696993,0.012548460339074759,0.0,0.0,0.004641087945290321,0.009435095377971965,0.0,0.0,0.0021652753630550556,0.007029772358285042,0.00454281077465551,0.004615439422363681,0.014475746616485244,0.0,0.0,0.02108505078128597,0.0,0.0,0.0,0.0,0.0,0.005903403233114368,0.0,0.01277452997858465,0.005603332855344952,0.0,0.0,0.028075555607312598,0.0,0.0,0.021511991484141124,0.0,0.0,0.0,0.01479755238476616,0.0,0.0,0.0,0.02698878941049499,0.0,0.0,0.018203273482874628,0.0,0.005359669472212923,0.04874636822042934,0.0,0.037351381885668826,0.0,0.0,0.0010792563796727214,0.0,0.02184601837794985,0.0,0.033251225373706284,0.04191326821852109,0.0,0.0,0.0,0.0,0.0,0.0014093434589190644,0.0,0.0,0.0,0.014722932455423969,0.0030733374422279645,0.0,0.0,0.015017773175505884,0.003302827006697578,0.0,0.0,0.0010213389038071685,0.0,0.0,0.0,0.0,0.0,0.003302827006697577,0.007340218456783078,0.0,0.0,0.024199223183967222,0.020387167087504113,0.009815053090685377,0.007920063142051884,0.0,0.0,0.0,0.0,0.016122382866310042,0.0005720223200713645,0.0,0.0,0.0,0.0,0.0,0.03420686628614131,0.031600452147156836,0.0,0.022553266761680013,0.009028066064481463,0.01750508822298444,0.005227869760556392,0.0,0.014497466475053112,0.0,0.0,0.018871783733143972,0.0,0.017386121206020455,0.01062921289857204,0.0032442945333966662,0.0,0.010319712592124082,0.011132163990583888,0.020080550268072806,0.0,0.0012318047265647066,0.012412058381122752,0.0,0.0,0.0,0.0,0.0,0.0,0.004280660784284032,0.0,0.0,0.0,0.002362376086191319,0.0,0.0,0.03959837560196716,0.01003517725061391,0.01908167329219864,0.009516327884628296,0.0,0.0070629785914699955,0.03361933830349855,0.0
LFQ intensity D1_2,0.0,0.014768793862669171,0.019704132310560812,0.0,0.005348017038900583,0.007473573869371923,0.023027521428973456,0.0,0.02416722904649646,0.011767384435312967,0.0,0.0,0.0026890386384300535,0.010915529811479547,0.011943676324937825,0.0,0.0,0.0003804366511767707,0.0,0.0,0.004980743544233812,0.017106665769508287,0.0,0.0,0.0014893148406182896,0.01447161555164612,0.0,0.0,0.0025364553596498363,0.011232862227661592,0.006059593155428979,0.0045564442604738,0.01162204943148999,0.015899512588813534,0.0,0.00716385681507903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021432353909490262,0.007249732502661684,0.0,0.0,0.02426870368531886,0.0,0.0010463469334993532,0.015112805058969342,0.0,0.0,0.0,0.014077328625280053,0.01000778256612309,0.0,0.0,0.02867304192447161,0.0,0.0,0.01785652437435261,0.0,0.001780361226534706,0.04766919280013682,0.0,0.03855750294437237,0.0,0.0,0.0,0.0,0.022424363102661687,0.0,0.03673816051793679,0.04217619204630385,0.0,0.0,0.005061624699389084,0.0,0.0,0.0017308294497547496,0.0,0.0,0.0,0.015219789564377348,0.0021102549489163385,0.0,0.0,0.014762179784976528,0.0037486676948035795,0.0,0.004484036510556886,0.001244019310536973,0.0,0.0,0.0,0.0,1.392743996555599e-19,0.003748667694803577,0.012766267825018399,0.0,1.392743996555599e-19,0.007732114767503506,0.021751467117037245,0.010498650200037967,0.008166868982870414,1.8569919954074652e-19,0.00018384300895387317,0.0,0.000169646385841961,0.021046362960865008,0.0008503995099613636,0.0,3.249735991963064e-19,0.0,0.0,0.0,0.0,0.025379253826036424,0.006579830457716769,0.024414336021597052,0.0017050740823571998,0.01379552252636457,0.00897296768235826,0.0,0.016082404585173835,0.0,0.0,0.01078109399544951,0.0,0.0206929671119388,0.0020965358997201617,0.002961695899303662,0.0,0.011397645994073722,0.010000626909893182,0.016540246125881567,0.0,0.0020580608187596634,0.011932164555908946,0.0,0.0,0.0052514852556100325,0.0,0.0,0.0,0.00519163068164877,0.0,0.0,0.00905640836575896,0.0,0.0,0.0,0.040665502653629185,0.00963046590281481,0.009811777322662708,0.009052585737009556,0.0,0.00795816695532739,0.024341021035774593,0.0
LFQ intensity D1_3,0.0,0.008820219789129714,0.024634299004397755,0.0,0.0,0.012944537632914832,0.022621788668264236,0.0,0.022209756179908335,0.0114149858746826,0.0,0.0,0.0,0.009459554415769957,0.00953196837009912,0.004836093817878125,0.0,2.2517256822768088e-20,0.0,0.0,0.0061268728591010865,0.019741328984150732,0.0,0.0,0.0018449808264064936,0.01403823322115201,0.0,0.0,0.0,0.007676848233438023,0.00788209605277002,0.0037553434216032987,0.011274003226851554,0.0,0.0,0.011244965555077605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800247075995987,0.006240870630371315,0.0,0.0,0.02072543064877865,0.0,0.0,0.016762475317195463,0.0,0.0,0.0,0.006632572232915977,0.010684541393247291,0.0,0.0,0.026568489375846778,0.0,0.0,0.016208375698860255,0.0,0.004734929237916249,0.049389419106418225,0.0,0.036075496753228735,0.0,0.0,0.0,0.0,0.020864159268595736,0.0,0.034836783637275076,0.041671994678521646,0.0,0.0,0.009109591883967828,0.0,0.0,0.0,0.0,0.0,0.0,0.014309883889651839,0.0,0.0,0.0,0.014964042495233004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2517256822768088e-20,0.0,0.007226721063956318,0.0,2.2517256822768088e-20,0.024770939249989035,0.018324503391375667,0.008346077487588123,0.004669689521412047,0.0,0.00043268932151074326,0.0,0.00039927642614425183,0.017238719829161597,0.0,0.0,0.0,0.0,0.0,0.0,0.036049236868487974,0.02241171617462087,0.009366357558274958,0.029432268768040223,0.002249264061720801,0.017103884579733313,0.0079307545510587,0.0,0.015729439630311117,0.0,0.0,0.008426630095249946,0.0,0.016926124305689943,0.008176033225134017,0.001698284170303413,0.0,0.01063525385719457,0.00800973887284804,0.013981412162592402,0.0,0.005578974115393724,0.013168226637383805,0.0,0.0,0.0,0.0,0.0,0.0,0.005036156609258712,0.0,0.0,0.00607192207979689,0.0,0.0,0.0,0.04210394511194316,0.00945693507110594,0.020058253296869978,0.01089971639919551,0.0,0.010508771995952279,0.027944904053086445,0.0
LFQ intensity D1_4,0.0,0.014346486522425154,0.019233283908400168,0.0,0.0047916827487554745,0.006639321850236131,0.02323196518701967,0.0,0.023479334071392653,0.011979756059701438,0.0,0.0,0.0,0.012221905761741328,0.012977377650731044,0.0,0.0,0.008166578600198648,0.0,0.0,0.004424758491941313,0.01877914132180391,0.0,0.0,0.006656256109897112,0.014732791730526234,0.0,0.0,0.0,0.008655269837138758,0.0077875107610312555,0.017927131477656254,0.011831798125437769,0.017474844498417557,0.0,0.011801323779852714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00980607080400212,0.0,0.0,0.0,0.021946510240548014,0.0,0.0,0.02194972157151399,0.0,0.0,0.0,0.005976834788914232,0.002992098344413778,0.0,0.0,0.028128123934388106,0.0,0.0,0.02124783841483806,0.0018342806941961307,0.0,0.04422086868727052,0.0,0.04058261778726716,0.0,0.0,0.0,0.0,0.025448834773393113,0.0,0.0364160070736083,0.04316137903344069,0.0,0.0,0.010498264076189045,0.0,0.0,0.0,0.0,0.0,0.0,0.016042826505927584,0.0,0.0,0.0,0.013772965095336777,0.0,0.0,0.00391220676586597,0.0023162757417576276,0.0,0.0,0.0,0.0,0.0,0.0,0.012347668192485554,0.0,0.0,0.00730727863626476,0.0221440262647281,0.010538682399146888,0.004155613704924933,9.452530097954579e-20,0.0,0.0,0.0,0.016026940564376407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023714449647838608,0.00412533278079775,0.029722454732069137,0.0,0.008063404394619545,0.008857290355892713,0.0,0.017500960820105285,0.0,0.0,0.016048019034862842,0.0,0.0226347882423013,0.009880825784101743,0.0026363610753475128,0.0,0.00825301854359031,0.009166334834675306,0.012379221734034301,0.0,0.005116370357005238,0.012954919221817513,0.0,0.0,0.0,0.0,0.0,0.0,0.005285326527751831,0.0,0.0,0.0,0.0,0.0,0.0,0.04483163813401534,0.009077481244849011,0.018375758740655168,0.011429723058636366,0.0,0.010247556611686769,0.029786311534243833,0.0
LFQ intensity D1_5,0.0,0.015365622361019729,0.0,0.0,0.0045758401493183835,0.016688556075858556,0.021586279361395285,0.0,0.020496393424557873,0.010877062184036935,0.0,0.0,0.00275931807558672,0.010070626960976577,0.01007594428080245,0.0,0.0,0.0027283881645938767,0.0,0.0,0.00961608828437314,0.008951129802672713,0.0,0.0,0.0,0.013376690727155999,0.0,0.0,0.0026186527397764688,0.00493198454064551,0.00869752680993884,0.015567462781084085,0.010742723250624009,0.017045070737734095,0.0,0.010874165477131935,0.0,0.0,0.0,0.0,0.0,0.007272862016910817,0.0012232283671028536,0.02016496535924958,0.008371228621051763,0.0,0.0027680453422896014,0.01482747289164435,0.0,0.0,0.019196768733509333,0.0,0.0,0.0,0.013557450523471898,0.0,0.0,0.0,0.02785930798078853,0.0,0.0,0.024630685539030688,0.0,0.012076853084709438,0.048705944179117694,0.0,0.03701553980501505,0.0,0.0,0.0,0.0,0.02550554312301359,0.0,0.03243959634875277,0.04228001852073278,0.0,0.0,0.006203025069397039,0.0,0.0,0.00187383298788428,0.0,0.0,0.0,0.014019929315552699,0.0006930810231167554,0.0,0.0,0.012714252501401476,0.003739226920633524,0.0,0.003777283261506243,0.0009039907395751991,0.0,0.0,0.0,0.0,0.0,0.003739226920633523,0.011434994553938397,0.0,0.0,0.006829364457007736,0.01843377912520305,0.00978528867309479,0.005464904021572953,1.2873687555850186e-19,0.0009129991166605594,0.0,0.0008424960040619705,0.015274649333328425,0.0011097493567702717,0.0,7.724212533510111e-19,0.0,0.0,0.0,0.0,0.02607671140613352,0.009730261225128215,0.024505668583721347,0.00410347150872603,0.013147627268388085,0.005795959951594786,0.0,0.017011045196640623,0.0,0.0,0.021412821188464312,0.0,0.018691443220009256,0.013226698491571248,0.0,0.0,0.009065576421800399,0.008345024444007164,0.017588335687545212,0.0,0.002087592425897427,0.012894169129400432,0.0,0.0,0.0,0.0,0.0,0.00040444974880398955,0.004798831046208259,0.0,0.0,0.0027290173529816277,0.004714342867086655,0.0,0.0,0.03541887398939193,0.009389236451633639,0.01659236133111187,0.005569981742439977,0.0,0.01111521477139331,0.03229217454290781,0.0
LFQ intensity D1_6,0.0,0.01693674414151788,0.0,0.0,0.004359262370106573,0.01502629698564577,0.017993855312508977,0.0,0.02273905716083005,0.010604580528620478,0.0,0.0,0.0,0.012067847380340415,0.002780177156070053,0.0,0.0,0.0027760180955642894,0.0,0.0,0.010014235894785492,0.016536338786518546,0.0,0.0,0.0002225391775137003,0.013041590791929148,0.0,0.0,0.0,0.0,0.010997647675225042,0.0,0.014048258890746304,0.0,0.0,0.01974964363221192,0.0,0.002108969578718597,0.0,0.0,0.0,0.0,0.0011925852315961287,0.020839708409959693,0.0,0.0,0.0,0.03134837541741627,0.0,0.0,0.016922501168626747,0.0,0.0,0.0,0.006965754993878345,0.0,0.0,0.0,0.028497484837342636,0.0,0.0,0.015960036058167787,0.0,0.0,0.05216678069500906,0.0,0.035682152186602874,0.0,0.0,0.0,0.0,0.022000714563494228,0.0,0.03758472250768017,0.042299596708044444,0.0,0.0,0.007888519189348568,0.0,0.0,0.0,0.0,0.0,0.0,0.015537958108023645,0.0,0.0,0.0,0.012790261739450817,0.0,0.0,0.004007168187938419,0.0030204153632638103,0.0,0.0,0.0,0.0,3.556170038225581e-19,0.0,0.01104718968692232,0.0,0.0010457805827164283,0.006570149064718937,0.019602077753664137,0.011824201150750748,0.01498868089981847,0.0,0.009908651389905435,0.0,0.0,0.009735760163889409,0.0,0.0006945809744044184,0.0,0.0,0.0,0.0,0.0,0.03263471015636198,0.0047033157926792985,0.031275066223956156,0.000701904414833642,0.009934197223111963,0.009008923933233421,0.002859307371523666,0.016173752858061143,0.0,0.0,0.0200046242495413,0.0,0.030800914859026328,0.0036350931452045565,0.0006475930136085252,0.001036332104763454,0.01612707448322234,0.011617713205829239,0.017531130920230106,0.0,0.0031014609182142138,0.009310485581348378,0.0,0.0,0.004992951611240675,0.0,0.0,0.0,0.0048524752070065545,0.0009761184689605945,0.0,0.0012838852193559507,0.0,0.0,0.0025510291992491443,0.04538854648622241,0.010155687124279255,0.020496012630472404,0.003787178352365689,0.0,0.013187924854141555,0.03909971980046876,0.0
LFQ intensity D1_7,0.0,0.008996366362031953,0.019613271586489324,0.0,0.004031375287259763,0.008033885545031235,0.022164641100568306,0.0,0.020121827754052756,0.01212765980551652,0.0,0.0,0.0025142234082945456,0.011381908369003808,0.012067756473329175,0.0,0.0,0.0,0.0,0.0,0.00423021126872322,0.01996416283512785,0.0,0.0,0.0,0.0012010060495174389,0.0,0.0,0.00360484418108349,0.004963904876535567,0.0071624927867522375,0.000918384811938805,0.014205806080257828,0.01784858028517104,0.0,0.012184658828203493,0.0,0.0009833615622644393,0.0,0.0,0.0,0.0,0.0,0.01934069182971168,0.007058763014594302,0.0,0.0,0.012530871610026955,0.0,0.004705276301563775,0.020240939798289892,0.0,0.0,0.0,0.018899492079157885,0.008048864087066118,0.0,0.0,0.02682816842716465,0.0,0.0,0.0166738413109778,0.0,0.00476596299261968,0.04847497010400607,0.0,0.04077057158806099,0.0,0.0,0.0,0.0,0.025243317126602643,0.0,0.03244830103473474,0.037557312076067925,0.0,0.0,0.010830679864709486,0.0,0.0,0.00152646512002463,0.0,0.0,0.0,0.015419920929828497,0.0,0.0,0.0,0.013507883641532591,0.003605870392799763,0.0,0.0031411631970695133,0.0013258544370996982,0.0,0.0,0.0,0.0,0.0,0.003605870392799762,0.011685485474535741,0.0,0.0,0.013188539781504638,0.021169567652569804,0.011033139643599827,0.005352567669860924,0.0,0.0,0.0,0.0,0.017615573895173747,0.0006069861046335124,0.0,4.904231583558745e-19,0.0,0.0,0.0,0.0,0.027012643486455483,0.013302360322033356,0.030982854500339538,0.0,0.019028264271218773,0.009225591260771212,0.0,0.019080763324999084,0.0,0.0,0.0036584995510220634,0.0,0.020466069581171673,0.016568987218740026,0.0004923854310084374,0.0,0.012268670318489676,0.008592538602785393,0.01370984359808677,0.0,0.0,0.013064194066219626,0.0,0.0,0.0,0.0,0.0,0.0,0.005350579909157492,0.0,0.0,0.008680762746375905,0.0,0.0,0.0,0.037626755207729304,0.008718719239474879,0.016668604278639757,0.010987909298194678,0.0,0.009545953050294521,0.029443809901252387,0.0
LFQ intensity D1_8,0.0,0.01187847491533621,0.015646029735448205,0.0,0.0037509970118567585,0.0179408217404746,0.024341455790850997,0.0,0.02131563620100401,0.013877648656249962,0.0,0.0,0.0023760854934515726,0.008460769181846128,0.008472932367438074,0.0,0.0,0.0,0.0,0.0,0.008385026984395926,0.020294680409810622,0.0,0.0,0.0,0.014286350251875942,0.0,0.0,0.0034687013692562114,0.006429298580249868,0.011897819063275953,0.003998016755759646,0.01200193216572123,0.014215105378731059,0.0,0.002029047079155831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012400831409345886,0.004827122128239131,0.0,0.0,0.014094075206586622,0.0,0.0,0.017546039848093723,0.0,0.0,0.00299329495539169,0.02030971167242275,0.0,0.0,0.0,0.03143741754241769,0.0,0.0,0.021992327697320724,0.0,0.003790121242563079,0.05459521627813162,0.0,0.04008341582947021,0.0,0.0,0.0,0.0,0.024628923062257793,0.0,0.037099362121176475,0.040340993811666837,0.0,0.0,0.010421116273747807,0.0,0.0,0.001386225205769651,0.0,0.0,0.0,0.021549593878136528,0.0,0.0,0.0,0.014280489857119296,0.0034696888244155977,0.0,0.002432503869859726,0.005313559637263097,0.0,0.0,0.0,0.0,0.0,0.003469688824415596,0.011422183054491941,0.0,0.0,0.01409178789259842,0.018497135347804977,0.010559289545203505,0.006855308244077192,0.0,0.00021201862529887853,0.0,0.00019564624033193592,0.012745289602559594,0.00047978394946584016,0.0,3.3559581003299135e-19,0.0,0.0,0.0,0.0,0.02588465079762823,0.012095277498236159,0.024990661478354905,0.0014790101477841484,0.006492858816443611,0.0073222250264961455,0.0030088137359283776,0.014949106248093659,0.0,0.0,0.007598446349648086,0.0,0.017314284777976717,0.01776943630268096,0.0,0.0,0.009782721375377362,0.008690634538619317,0.006089304629419211,0.0014134852934881558,0.006354402242257362,0.008296315347423214,0.0,0.0,0.0,0.0,0.0,0.0,0.006765067749491674,0.0,0.0,0.0,0.004088723835986525,0.0,0.0,0.04173640844513917,0.011144259753163854,0.01964467183798262,0.0,0.0,0.01465326874676879,0.03384897421577915,0.0
