,AVJ,AWC,Amphid socket,Anal muscle,Apoptotic germ cells,Body wall muscle anterior,Body wall muscle middle,Body wall muscle posterior,Cephalic sheath,Coelomocytes,Differentiated germ,Distal tip,Embryonic cells,Excretory cells,Excretory duct,GLR,Glia_1,Glia_2,Glia_3,Glia_4,HSN,Hypodermis head,Hypodermis tail,Intestinal-rectal valve,Intestine anterior,Intestine middle,Intestine posterior,Marginal cells,Mature sperm,Meiotic germ cells,Mitotic germ cells,Oocytes,PLM_ALM,PVC,PVD_FLP,PVM,PVT,Phasmid socket,Rectal gland,SAB,SIA,Seam cells (bus+),Seam cells (grd+),Seminal vesicle (male),Spermatheca bag distal,Spermatheca bag proximal,Spermatheca neck distal,Spermatheca neck proximal,Spermatheca-Uterine junction,Spermatocytes,Syncitial pachytene spermatocytes,Unassigned hypodermis/gonadal sheath,Unassigned sex-specific muscle,Unassigned sheath cells,Unassigned uterine cells,Uterine muscle,Uterine seam cells,Uterine toroid,Uterine-vulval cells,Vulval cells,cat-4(+)ptps-1(+) intestine anterior,e1_e3 (pharyngeal epithelium),e2 (pharyngeal epithelium),hmc,hyp4_to_hyp6,hyp7 (hypodermis),pm1_pm2 (pharyngeal muscle),pm3_pm4_pm5 (pharyngeal muscle),pm6_pm7 (pharyngeal muscle),sh2 (gonadal sheath distal),sh3_sh4 (gonadal sheath proximal),sh5 (gonadal sheath proximal),vm1 (vulval muscle),vm2 (vulval muscle)
LFQ intensity D1_1,0.0,0.019133142989509997,0.0,0.0009754629631648176,0.01993851810743971,0.02391641329743602,0.014672347490437219,0.013454478421115662,0.02275887966396696,0.0,0.0,0.023315535237266358,0.0,0.0,0.04589242961197458,0.0,0.054495188276065414,0.0,0.0,0.0,0.02406549503410599,0.0,0.0,0.028405773055957387,0.0,0.006459306599396827,0.06645900580150446,0.03978399050929962,0.0,0.05516751450881905,0.07303160370531539,0.0,0.0,0.028239000234318377,0.0,0.0,0.00139081382285672,0.0,0.019094556201993847,0.0,0.0,0.030195910998338984,0.0,0.035222392351517626,0.017560206195463782,0.02644918624215373,0.003465273708629114,0.0,0.009407160270077456,0.0,0.03187591260877132,0.03186702885559136,0.0005926487105645978,0.0,0.015971304695368175,0.01184999331078476,0.01875783941631183,0.0,0.005486451263925246,0.0,0.0,0.0,0.0039056787243992685,0.0,0.01107567075590684,0.0007643432011311162,0.0,0.07113929300111728,0.007808635472029113,0.016262435706417465,0.0,0.019717132686569327,0.0499760462929873,0.0
LFQ intensity D1_10,0.01717481307635228,0.021629001285255498,0.0,0.002795462817506964,0.013899056289582623,0.006981103270795994,0.017563807144887773,0.021837108949440253,0.013491911503204735,0.0,0.0,0.011780260330478434,0.0,0.0010815587188337153,0.023845249965552894,0.0,0.04603208165157379,0.0,0.0,0.0,0.03362715866511926,0.00971011392148403,0.0,0.025782595391921955,0.0,0.007209458366922055,0.07277759138399756,0.03658789811774616,0.0,0.05359542040628726,0.07158796132533123,0.0,0.0,0.03416904540152135,0.0,0.0,0.008239738313526639,0.0,0.017159763399185648,0.0,0.0,0.045054228958930576,0.027170021820368127,0.03465584861783713,0.015067475830698477,0.024076268963394685,0.008840701637977746,0.0012747692455547927,0.004194698928287843,0.0,0.012335882709817347,0.029048592738161388,0.0,0.0,0.016235353047182325,0.01009411515344685,0.01677324190555865,0.0,0.006390834613180703,0.0,0.0,0.0,0.003692756473622979,0.003979337464358329,0.0007738172874160082,0.0,0.0,0.06221151524796198,0.013309310089302057,0.019823501541136778,0.0,0.02329107986925825,0.05314848816003889,0.0
LFQ intensity D1_11,0.013884961005853017,0.02183201342370056,0.0,0.005028187210388869,0.014023465473757308,0.010057182017826339,0.007597133331124176,0.0051037067074286915,0.0302232984666261,0.0,0.0,0.0156723612821171,0.0,0.0,0.04204099622789636,0.0,0.04283795975253359,0.0,0.0,0.0,0.027320095443534632,0.00480997395919253,0.0,0.022829877881872452,0.0,0.008027848877786606,0.07523479880361361,0.03346028644536163,0.0,0.05023250255945515,0.06509760270148796,0.0,0.0,0.03309881773152815,0.0,0.0,0.006941617394247949,0.0,0.024126819713207306,0.0,0.0,0.049263336136733483,0.0,0.0344228496478421,0.01373167048196593,0.02646063594976306,0.007979793877139481,0.0,0.022005570809418656,0.0,0.028580879890267804,0.021813104126912973,0.003542619241809543,0.0011221133528902362,0.015522487941913087,0.016541214840337836,0.030851236760272162,0.0,0.0018485909939651274,0.0,0.0,0.0,0.0035500094715080486,0.0,0.0013837839037127186,0.0,0.0,0.06085702965507305,0.011683395854568793,0.025441724441717075,0.0,0.013106814204563175,0.0508096320070856,0.0
LFQ intensity D1_2,0.01567340139505339,0.022343988546383597,0.0,0.0014325363995951925,0.022272097344696744,0.016414051010525305,0.009189967760816842,0.007185084722526486,0.011008617353166094,0.0,0.0,0.030101096068346718,0.0,0.0,0.03682841452881706,0.0014272291117227215,0.03775445894888234,0.0,0.0,0.0,0.025097160426975813,0.020291216136962078,0.0,0.02624787383878394,0.0,0.0027478290745333216,0.0721914571232863,0.0343793869210936,0.0,0.05656300961541632,0.06492965629842125,0.0,0.0,0.03294586826191735,0.0,0.0,0.010101801226701908,0.0,0.03237366753621962,0.0,0.0,0.03932842682055119,0.01043859119928642,0.03419817064702203,0.0026077568055054533,0.02127067581509834,0.013788846808254377,0.0,0.024771045432696443,0.0,0.016592313006937514,0.0054993126761084905,0.0031897032831734217,0.0005742480850322475,0.017584503891164387,0.015347502498746442,0.02547885706610867,0.0,0.0031167644372197202,0.009881842256099392,0.0,0.0,0.0037921066285463525,0.014075296306766322,0.0,0.0,0.0,0.06292777089543901,0.010099775885863908,0.02054338576880465,0.003447690191647316,0.01388795320390988,0.03805759073917403,0.0
LFQ intensity D1_3,0.007499864441866699,0.022276939313646386,0.0,0.0,0.022895659426709503,0.010783007801099354,0.01610830827506161,0.005887023059178275,0.01833997893881751,0.0,0.0,0.029616700214813982,0.0,0.0,0.031947845997557844,0.0,0.04114882818069663,0.0,0.0,0.0,0.0,0.018730240881360057,0.0,0.023768519805730703,0.0,0.007738663396786187,0.08032510946882483,0.0359260936315892,0.0,0.05684253203744392,0.06798381611031465,0.0,0.0,0.02998017507504239,0.0,0.0,0.003258033657916014,0.0,0.02813474077284321,0.0,0.0,0.037402547672342294,0.013459648620155579,0.035155632450445874,0.003558308405250455,0.027980081179515816,0.012813104133595843,0.0,0.025695240886544377,0.0,0.013746755014950004,0.021255722283141057,0.0,0.0,0.017283630278252398,0.01312500916679379,0.022825594991471156,0.0,0.009033192819846181,0.0,0.0,0.0,0.0038982759698488086,0.009109410555437432,0.0,0.0,0.0,0.06478681364077496,0.009020693360112197,0.029159946249772303,0.0,0.023162132586203966,0.0483361792482466,0.0
LFQ intensity D1_4,0.019085704957009876,0.022605929929231494,0.0,0.006843200246235153,0.022967921487140216,0.009968497896941477,0.011135852108069654,0.027947788565781978,0.01839786260321323,0.0,0.0,0.007828069318390692,0.0,0.0,0.03456691445952124,0.0,0.0479677607608298,0.0,0.0,0.0,0.0,0.012219625399597553,0.0,0.03106297900135,0.0026760085759121167,0.0,0.0690922047930127,0.03963859244106196,0.0,0.05659578217978478,0.06741432663127313,0.0,0.0,0.039575159910632575,0.0,0.0,0.0058359275737648675,0.0,0.02497415062951857,0.0,0.0,0.03795802205057802,0.004277349664651601,0.03526658878453816,0.0,0.01256728559849012,0.013794981868212802,0.0,0.027276783599005754,0.0,0.025018316145279273,0.022734471237921723,0.002183529318874666,0.0,0.012859926873452039,0.015487963734900512,0.01924259425111032,0.0,0.007969426386870978,0.0,0.0,0.0,0.003910579500769634,0.0,0.0,0.0,0.0,0.07134511714183331,0.009960898876376991,0.030986500821540593,0.0,0.01731141379262446,0.05144799088469589,0.0
LFQ intensity D1_5,0.014383721367293534,0.017955291740791995,0.0,0.0,0.02046441441808881,0.007558816542951308,0.013704577095747662,0.023048875567321814,0.013427826146685707,0.0,0.0018713636087538347,0.028526732424106617,0.0,0.0020942349749534656,0.0225284239465433,0.0,0.03971234189391881,0.0,0.0,0.0,0.025967257106518135,0.006174983437075176,0.0,0.03819231576647505,0.0,0.017658861651557115,0.07319562079718592,0.03499397713029827,0.0,0.04888422322844524,0.06412376971583524,0.0,0.0,0.03310732234585295,0.0,0.0,0.007411384617062875,0.0,0.021289460432071878,0.0,0.0,0.03889720079497801,0.013936108768813538,0.03503648399807498,0.006639032532959699,0.019726156825553103,0.008450762578571988,0.0,0.02488857936310566,0.0,0.030051162988725094,0.022617612871580036,0.0,0.0,0.011738137501477043,0.01151911237330791,0.026232283582216197,0.00020327968675866546,0.000997022495911855,0.0,0.0,0.0,0.00982426881110408,0.00019568586814862785,0.006266772666351235,0.0,0.0,0.05641083122236508,0.017335535828215464,0.014388122035604457,0.0,0.01852228101382768,0.04984777023681488,0.0
LFQ intensity D1_6,0.016288766638194695,0.024056902342579293,0.0,0.0,0.02117231644971709,0.0,0.017601083923399714,0.0,0.032062476995452276,0.0,0.001936097545112237,0.031078015303872254,0.0,0.0,0.05032099553843538,0.0,0.027472764295334393,0.0,0.0,0.0,0.0,0.0,0.0,0.024589698731489126,0.0,0.0,0.08329868447602354,0.0357169687570987,0.0,0.0594411107611207,0.06748765129739631,0.0,0.0,0.02614479534011624,0.0,0.0,0.00808133904536775,0.0,0.014693793782049271,0.0014791408567629938,0.0,0.04951531481663497,0.004790219360477386,0.046768397034558394,0.001114530217861742,0.014921685154826865,0.014093617870090617,0.004850008713060993,0.024951014218228346,0.0,0.028694444135624823,0.009046912963665315,0.0007404700528655753,0.0017892549179385712,0.02413667873523861,0.01865911336299513,0.027952898874740378,0.0,0.005035053856888277,0.006189390763822644,0.0,0.0,0.0036048550034633578,0.00042352889590915725,0.0,0.0,0.0,0.06347374945136801,0.010724505110747755,0.012575979037138417,0.0,0.02210137483792334,0.06092440053440924,0.0
LFQ intensity D1_7,0.014954244857170689,0.019708920205648666,0.0,0.0,0.0018591924446323938,0.009263806284828683,0.016041292022369542,0.0008772023625691928,0.01879366562577667,0.0,0.0,0.02626055417797301,0.0,0.0,0.01777729053862603,0.00656293402705271,0.04357921020492901,0.0,0.0,0.0,0.03085769223123008,0.019705684207033086,0.0,0.026424894660252517,0.0,0.007118175153587191,0.07484493756915847,0.03678942476396025,0.0,0.05000606217734874,0.058107189404602404,0.0,0.0,0.03274183068636796,0.0,0.0,0.007702510122192745,0.0,0.02716939531536,0.0,0.0,0.04267910889957469,0.018884082823867474,0.03545153062360616,0.0,0.02929588661952657,0.014230397295991893,0.0,0.0291618382994897,0.0,0.00492348501331558,0.03382944840706745,0.002082064486661596,0.0,0.01887889895012944,0.007630812824998302,0.02150518089731929,0.0,0.00022127390907628468,0.0,0.0,0.0,0.008711930812286942,0.013778690865461646,0.0,0.0,0.0,0.060173374268239876,0.013690549942517203,0.028050483667229453,0.0,0.020808307265866022,0.04886654508510443,0.0
LFQ intensity D1_8,0.017229654968437425,0.022769056510082722,0.0,0.0,0.02281555004364363,0.011299744164903843,0.0199383960611658,0.006346393395418746,0.0032431026643814065,0.0,0.0,0.018766438042299247,0.0,0.0,0.021779916662373753,0.0,0.040851201290808964,0.0,0.0,0.004782783307631348,0.03428127342924686,0.0071728506550465445,0.0,0.03510982613711359,0.0,0.006186947716115199,0.08678305711959355,0.03704168780938737,0.0,0.05908534763559085,0.06417018706148475,0.0,0.0,0.03890423357383294,0.0,0.0,0.007649982740068022,0.0,0.02034422941078606,0.0,0.0,0.0412765307192186,0.01684998804756689,0.0364258424305904,0.0023306684403407722,0.010340255455556242,0.011675381829154938,0.0047676305541767125,0.023916780627363167,0.0,0.0125933620437065,0.030939082332809845,0.0,0.0,0.013091547555283106,0.010092112274166492,0.009837764061249692,0.006856103479419265,0.007607842052890712,0.0,0.0,0.0,0.004039124781180524,0.0,0.005807401134196892,0.0,0.0,0.06382801093962338,0.019473873793339227,0.003628140159627637,0.0,0.02440184693144554,0.05366884995768069,0.0
