,Amphid socket,Anal muscle,Body wall muscle anterior,Body wall muscle middle,Body wall muscle posterior,Cephalic sheath,Coelomocytes,Distal tip,Excretory cells,Excretory duct,GLR,Glia_2,Glia_3,Hypodermis head,Hypodermis tail,Intestinal-rectal valve,Intestine anterior,Intestine middle,Intestine posterior,Marginal cells,Meiotic germ cells,Mitotic germ cells,Oocytes,PVD_FLP,Phasmid socket,Rectal gland,Seam cells (grd+),Spermatheca bag distal,Spermatheca bag proximal,Spermatheca neck distal,Spermatheca neck proximal,Spermatheca-Uterine junction,Syncitial pachytene spermatocytes,Unassigned hypodermis/gonadal sheath,Unassigned sex-specific muscle,Unassigned sheath cells,Unassigned uterine cells,Uterine muscle,Uterine toroid,Uterine-vulval cells,Vulval cells,cat-4(+)ptps-1(+) intestine anterior,e1_e3 (pharyngeal epithelium),e2 (pharyngeal epithelium),hmc,hyp4_to_hyp6,hyp7 (hypodermis),pm1_pm2 (pharyngeal muscle),pm3_pm4_pm5 (pharyngeal muscle),pm6_pm7 (pharyngeal muscle),sh2 (gonadal sheath distal),sh3_sh4 (gonadal sheath proximal),sh5 (gonadal sheath proximal),vm1 (vulval muscle),vm2 (vulval muscle)
LFQ intensity D1_1,0.0,0.0019143727796399512,0.030282747869667694,0.019749964227338036,0.011464345305351922,0.022258071702022583,0.0,0.025788231127491436,0.0,0.05229439277095435,0.0,0.0,0.0,0.0,0.0,0.03826354781435985,0.0,0.006964999469500454,0.08516194168495171,0.04887103221872171,0.07231712116812399,0.0923591860583529,0.0,0.0,0.0,0.024906631817268408,0.0,0.02264512392237483,0.0346409440276239,0.0037519716838634596,0.0,0.01205605217777269,0.03946518594139306,0.0377564273401029,0.0023597387893923164,0.0,0.024634057758534632,0.016275304158996154,0.002831385410553673,0.015778788184401798,0.0,0.0,0.0,0.005094504473217051,0.0,0.0086776848310275,0.02631810435694229,0.0,0.09270942479016159,0.008766656732427046,0.021190762022841852,0.0,0.02661644265190344,0.06583485473272485,0.0
LFQ intensity D1_10,0.0,0.003331312520358316,0.010063393486780188,0.0248630499724104,0.03073433568974856,0.017515369984992604,0.0,0.01747464803852636,0.0015222247967793454,0.027560944811077986,0.0,0.0,0.0,0.014357971158568716,0.0,0.03752730588948509,0.0,0.009294152390029602,0.10415617193044201,0.05149512902723121,0.0731375933327211,0.0926884819470226,0.0,0.0,0.0,0.023508190511528866,0.03832782590237732,0.020780521155041302,0.03350190518909718,0.011843210184624177,0.002080556330262192,0.005552507197185403,0.013918511309675006,0.03654780792571648,0.0,0.0,0.024702851593517285,0.01360742664604189,0.0,0.009939270656423738,0.0,0.0,0.0,0.005197318809169961,0.003704510803226088,0.0,0.0,0.0,0.08721239393709687,0.018453247174270698,0.029919695707636588,0.0,0.03319664536443906,0.07228351862649565,0.0
LFQ intensity D1_11,0.0,0.006314923738993746,0.01383141207887938,0.011022883807276854,0.006072872648877617,0.041404792096817356,0.003069356016323135,0.02111112893679888,0.0,0.054335662130863306,0.0,0.0,0.0,0.011606249975545671,0.0,0.031807016547786233,0.0,0.01047439408363095,0.10221746093400626,0.04337667921204858,0.0673344284852934,0.08527817687624151,0.0,0.0,0.0,0.03197792787122357,0.0027787165808438917,0.01699332753709278,0.032684744678351474,0.011349540529564,0.0,0.02972888651396612,0.03844350566703203,0.03181650283202034,0.004062025883922647,0.0010279478341439594,0.022021488391866805,0.022225158493976896,0.003440151712830125,0.015672133436783954,0.0,0.0,0.0,0.004857374207400467,0.0,0.0,0.0,0.0,0.08337317856641678,0.014822284957772025,0.03435105872956705,0.0,0.01962898915469562,0.0694876188511463,0.0
LFQ intensity D1_2,0.0,0.0011821687314206868,0.020345496174469947,0.01408437075546965,0.008842229149233723,0.01317552814466644,0.0,0.03781680102101202,0.0,0.050473917902419195,0.003568053114083101,0.0,0.0,0.02986911297044459,0.0,0.036091161210014384,0.0,0.002637295534580665,0.099152464102118,0.043837296507367875,0.07876162804259275,0.08520862134826707,0.0,0.0,0.0,0.04361693867185627,0.016022516377218243,0.0036701540951243265,0.028759873530577088,0.018027283166564757,0.0,0.03252248887559509,0.022737770098127573,0.009650050185591284,0.005180564719741751,0.0,0.02640536718229778,0.02040105256104287,5.30234682999259e-06,0.011723099472881577,0.012247574635745702,0.0,0.0,0.005196626213079555,0.0154112325575145,0.0,0.0,0.0,0.08642840359503763,0.012717495817452735,0.024849001344732963,0.005936699015632127,0.020505687337470824,0.052938673491725284,0.0
LFQ intensity D1_3,0.0,0.0,0.014049468017506506,0.02010792418234742,0.00656738000718357,0.023443106193372403,0.0,0.03832189280012183,0.0,0.042244038252481915,0.0,0.0,0.0,0.028230580323963483,0.0,0.03049083249464609,0.0,0.009253443928016178,0.10196809153158315,0.041176848032110296,0.07140966717076049,0.08728038900452076,0.0,0.0,0.0,0.03556203313751786,0.019715832548635005,0.004636219296400132,0.03550755444110538,0.015934981110930373,0.0,0.032110051290235406,0.016628010679467783,0.0260787105779886,0.0,0.0,0.026605444821953726,0.016391755686772327,0.0031379450183614726,0.015967030941705134,0.0,0.0,0.0,0.004982977234440043,0.011817656282633702,0.0,0.0,0.0,0.08229697993476733,0.012115179032233378,0.036933511117323986,0.0,0.029097091083218535,0.05993737382569602,0.0
LFQ intensity D1_4,0.0,0.007655362490241638,0.012318449731090446,0.01442159593355457,0.03446750872203378,0.02470218664875875,0.0,0.009005684489981425,0.0,0.040274126128649265,0.0,0.0,0.0,0.018470530693331086,0.0,0.0442016821207525,0.0013165068808276878,0.0,0.09233070150680502,0.04934946468114798,0.08040295287337189,0.08306949292084366,0.0,0.0,0.0,0.032923849847065936,0.00588561348343862,0.0,0.01715673289995569,0.01784085211077368,0.0,0.03545623330506659,0.03359124526511062,0.026485629905570213,0.002538431951868063,0.0,0.02074703231691682,0.021264323123725143,0.0,0.012230566675461617,0.0,0.0,0.0,0.005250602573581,0.0,0.0,0.009839286614427116,0.0,0.0943731587507296,0.014225749376252907,0.04507700594195213,0.0,0.02325779654836278,0.06986964348835184,0.0
LFQ intensity D1_5,0.0,0.0,0.007994406509020788,0.020187198137445326,0.030047172739857984,0.0155648388568678,0.005044537298759179,0.03676595774831577,0.0007828960894223051,0.027264530147013567,0.0,0.0,0.0,0.018034469456522546,0.0,0.05219964579947846,0.0,0.022566881571084906,0.09673227123049652,0.04455672274398927,0.06603199636448322,0.08216021277971303,0.0,0.0,0.0,0.026526724987204167,0.017300403284226207,0.008442232221401521,0.025824149153023005,0.010689264966278039,0.0,0.032736468145676066,0.03560154102294658,0.03123849321067208,0.0,0.0,0.024580509613490103,0.01363227031702553,0.010561660520329901,0.01188554187316412,0.0,0.0,0.0,0.008863376375822936,0.0034817323265751354,0.006705653977929987,0.0,0.0,0.07315633233828484,0.023863668748879907,0.017123539154165042,0.0,0.026969254578223113,0.06488344571221111,0.0
LFQ intensity D1_6,0.0,0.0,0.0,0.021813680275348586,0.0,0.042713659782018895,0.0,0.04031885296202791,0.0,0.06696521828962189,0.0,0.0,0.0,0.0,0.0,0.03336877987560295,0.0,0.0,0.1094985628798164,0.04758217689020416,0.08004874974638906,0.08680049718119102,0.0,0.0,0.0,0.01887519458565767,0.00787766008686927,0.0011429916637963912,0.019246840721609555,0.018414290947691103,0.006530738213143078,0.03295793098010386,0.038226763472362715,0.011799567134117919,0.002093040693295047,0.001871615936100684,0.029279558921744914,0.025714750967575552,0.0,0.014836161516307251,0.006306309815065727,0.0,0.0,0.004802390975696684,0.0,0.0,0.009807433212134082,0.0,0.0857603042747023,0.011341254476277554,0.016154160058671794,0.0,0.027880205263215437,0.07997065820164038,0.0
LFQ intensity D1_7,0.0,0.0,0.012346342341105898,0.021949403078231237,0.0011658533803700184,0.024580066386605978,0.0,0.03515757432196567,0.0,0.01757489079201451,0.009907951187744676,0.0,0.0,0.03292867214572457,0.0,0.0367634815224534,0.0,0.00880166508279432,0.0993944846703729,0.045874017250128185,0.06891578521653631,0.07525273422785064,0.0,0.0,0.0,0.035568008516841776,0.025816983190092607,0.0,0.03881301210317688,0.01829269730598871,0.0,0.03811066239626023,0.0029102891899421696,0.04102120924121769,0.003068826773631781,0.0,0.0265041379291816,0.009365679402050122,0.004624405430145769,0.012930544880182061,0.0,0.0,0.0,0.011578666930748669,0.016557598987666584,0.0,0.0,0.0,0.07920947791328724,0.01699812448994054,0.03687094450405869,0.0,0.028207803730126133,0.06293800548156261,0.0
LFQ intensity D1_8,0.0,0.0,0.015869430675384766,0.027144193148277054,0.008911005396667391,0.012529034142060549,0.0,0.023393605147797036,0.0,0.02053288542131002,0.0,0.002241433654062449,0.0,0.01843547762568068,0.0,0.051942433409488155,0.0,0.007002896052170701,0.11954762068681192,0.04770769339052801,0.07916701275302807,0.0854893155037755,0.0,0.0,0.0,0.027594560417197978,0.022559824274096665,0.0038329353638546274,0.014584483507845449,0.015194509395974349,0.006689420000753181,0.031709026184329345,0.011921283153740827,0.039098177167751276,0.0,0.0,0.021861849703736908,0.014490317898333,0.01340601852405059,0.014492147854484858,0.0,0.0,0.0,0.005671357018128566,0.0,0.005011827035223664,0.0,0.0,0.08994164967002626,0.025410357217812943,0.007379944499459789,0.0,0.033562033553377904,0.07567424055277952,0.0
