,ADF,ADL,AFD,AIB,AIZ,ASE,ASH,AVA,AVB,AVE,AVJ,AVM,AWB,AWC,Amphid sheath,Amphid socket,Anal muscle,Apoptotic germ cells,Arcade cells,BAG,Body wall muscle anterior,Body wall muscle middle,Body wall muscle posterior,CAN,Cephalic and inner labial socket,Cephalic sheath,Coelomocytes,DB_VB,DVB,Distal tip,Embryonic cells,Excretory cells,Excretory duct,Excretory gland,GLR,Glia_1,Glia_2,Glia_3,Glia_4,HSN,Hypodermis head,Hypodermis tail,I1,I2,I4,IL1,Intestinal-rectal valve,Intestine anterior,Intestine middle,Intestine posterior,M2,M3,M4,M5,Marginal cells,Mature sperm,Meiotic germ cells,Mitotic germ cells,NSM,OLL,OLQ,Oocytes,PDA,PDB,PHC,PLM_ALM,PLN,PVD_FLP,PVM,PVN,PVP,PVR,PVT,Phasmid sheath,Phasmid socket,RIA,RIC,RIF,RIH,RIM,RIV,RMD,RMD_LR,RME,RMF,Rectal gland,SAA,SAB,SIA,SIB,Seam cells (bus+),Seam cells (grd+),Seminal vesicle (male),Spermatheca bag distal,Spermatheca bag proximal,Spermatheca neck distal,Spermatheca neck proximal,Spermatheca-Uterine junction,Spermatids,Spermatocytes,Syncitial pachytene spermatocytes,URX_AQR_PQR,Unassigned sex-specific muscle,Unassigned sheath cells,Unassigned uterine cells,Uterine muscle,Uterine seam cells,Uterine toroid,Uterine-vulval cells,VC,VD_DD,Vulval cells,cat-4(+)ptps-1(+) intestine anterior,e1_e3 (pharyngeal epithelium),e2 (pharyngeal epithelium),g1A (pharyngeal gland),g1P (pharyngeal gland),g2 (pharyngeal gland),hmc,hyp4_to_hyp6,hyp7 (hypodermis),pm1_pm2 (pharyngeal muscle),pm3_pm4_pm5 (pharyngeal muscle),pm6_pm7 (pharyngeal muscle),sh2 (gonadal sheath distal),sh3_sh4 (gonadal sheath proximal),sh5 (gonadal sheath proximal),vm1 (vulval muscle),vm2 (vulval muscle)
LFQ intensity D1_1,0.0,0.0004607673526254475,0.020927650671728148,0.006378556298880895,0.007829011710128944,0.0,0.014084709123289286,0.0,0.011015714710034877,0.0,0.015612083460891088,0.0,0.007829011710128944,0.020767375446895383,0.0,0.0,0.0321381338795811,0.018175910670011338,0.0,0.0,0.00436354823592945,0.0,0.008038706833073101,0.01274559861337211,0.004609879874598263,0.028235231826478968,0.0,0.0,0.0,0.023929407972195886,0.0,0.0,0.0,0.0028213965650476834,0.0030710002989879624,0.020211619014507638,0.0,0.0,0.0018250942441720296,0.009274914470785045,0.027168121093549345,0.0,0.0,0.017024024976309452,0.0,0.0,0.035483528947347805,0.015022307501493706,0.01996008167585257,0.058845882614842186,0.0,0.0,0.0,0.0,0.0018703082035490808,0.0,0.02749425233637535,0.044022755130447705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01755981938443223,0.0,0.006758020733984954,0.0,0.0,0.0,0.0,0.0063785562988808945,0.00035415365917989297,0.006282233814588979,0.0,0.0,0.0028526785021625056,0.0,0.002852678502162507,0.01718332106734168,0.0,0.0,0.0022035173972868617,0.0,0.035822598150841274,0.015780631199464535,0.0229110836983634,0.010229516857169985,0.020337037626616476,0.006366243481020465,0.0,0.01533927621152724,0.0,0.0,0.027693509663134407,0.0,0.010905935848356748,0.02303920335327525,0.01157231669535144,0.018382718031114974,0.019290798349581875,0.0024411372526464007,0.006850640284945243,0.015577026813839875,0.0,0.0,0.0,0.0,0.0,0.006985540135837694,0.002769526761748796,0.0,0.0,0.014854611846460135,0.0,0.0,0.05467682550244793,0.004657799576124522,0.016498094073706088,0.0,0.0023331790882386784,0.03475467610450933,0.016268508570545924
LFQ intensity D1_10,0.0,0.0013315015420628559,0.0,0.009191758200579056,0.007508047688261211,0.0,0.010521363393487757,0.0,0.011983266684342101,0.007068086711313831,0.01652671545833586,0.0,0.007508047688261211,0.023575345849319203,0.0,0.0,0.029345319388970677,0.017968461292704217,0.0,0.0,0.0027670167371980337,0.0,0.021500179273280774,0.009186356686226391,0.005231263156652717,0.021679689931935902,0.0,0.0,0.0,0.015659253777775627,0.0,0.001318212044560932,0.00013128681228271314,0.008309198499758001,0.0,0.01909902071467156,0.0,0.0,0.0017265180981139402,0.010654741095179018,0.027800897978982324,0.0,0.0,0.01999462285963295,0.0,0.0,0.03564964696971304,0.012620769489578118,0.018882006977576977,0.052869368793576024,0.0,0.0,0.0,0.0,0.0,0.0,0.031166470482250484,0.035785770213680665,4.9885995725611423e-20,0.001523013682810103,0.001523013682810103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019603836255768177,0.0,0.009550663537222446,0.0,0.0,0.0,0.0,0.009191758200579055,0.0016363700288630333,0.001727348511206222,0.0,4.9885995725611423e-20,0.004052796487493717,0.0,0.004052796487493716,0.015289820577106055,0.0,0.0,0.0029821666815897097,0.0,0.04002214503012664,0.03076799158019156,0.023897436795399976,0.007429595242564012,0.023772721091307552,0.01166667086321103,0.004457915443968779,0.0025862129583306844,0.0,0.0,0.02671758986121001,0.0,0.01132996245796269,0.026906110357417475,0.02114906214429695,0.01991500198628565,0.014932758507769865,0.005896500468243788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007901027621263204,0.006671748578411436,0.0,0.0,0.0034562996080843757,0.0,0.0,0.04526648973107632,0.014265296983353631,0.01979713207273264,0.0,0.001377255254768853,0.0439363390592768,0.020186947679539595
LFQ intensity D1_11,0.0,0.005814914777395567,0.0,0.007141950511607407,0.007607988320469723,0.0,0.009838869349584264,0.0,0.011562955550636106,0.00319390904215196,0.018036167608674304,0.0,0.007607988320469723,0.02376097484715939,0.0,0.00014000711404337413,0.03423577874104157,0.013202412431035503,0.0,0.0,0.005459427915670314,0.0,0.010091916241742318,0.015678098159935,0.012645566776898192,0.02027338366735248,0.0,0.0,0.0,0.014943454202071228,0.0,0.0,0.00012277057117639968,0.0,0.0,0.017665429664376196,0.0,0.0,0.0016145232667802271,0.007874343768609661,0.024487122983673573,0.0,0.0,0.019293082237236494,0.0,0.0,0.02734936506302108,0.013972997523661027,0.013054882923578533,0.057334633020096094,0.0,0.0,0.0,0.0,0.0,0.0,0.025816504665303934,0.042615380261321674,0.0,0.0014977806505155847,0.0014977806505155847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01833218533165863,0.0,0.007477603868461831,0.0,0.0,0.0,0.0,0.0071419505116074025,0.003858368372379495,0.007034100022604326,0.0001227791349177692,0.0019497904039959863,3.7320014599781363e-19,0.0,0.0,0.016103568210183345,0.0,0.0,0.0031418696544428465,0.0,0.04593430575814936,0.02465085030771305,0.0177380496176167,0.008200724004408227,0.021023867587572753,0.009407631548122604,0.0020886840008764013,0.02311999861499829,0.0,0.0,0.02948303751925161,0.0,0.013814177381345834,0.019340419953707236,0.0189119629874506,0.022073757957021916,0.01901879815600129,0.0063153337365920055,0.00016700683849507202,0.0174005285790625,0.0,0.0,0.0,0.0,0.0,0.006129382897815737,0.004103544108166818,0.0,0.0,0.0047246120928693125,0.0,0.0,0.04483943636502618,0.021807180041850123,0.023226526018861438,0.0,0.0,0.03704881452416059,0.018836793064808337
LFQ intensity D1_2,0.0,0.004781049531838976,0.022599062253258567,0.009183842991196154,0.008211496999191494,0.0,0.010376434138150366,0.0,0.010624591326070921,0.0007215640200020488,0.014005019450251314,0.0,0.008211496999191494,0.022571887481889215,0.0,0.0,0.03345469778946271,0.022039229689816527,0.0,0.0,0.0066025280454380265,0.0,0.004874611200222148,0.012661240496096175,0.004571500525017849,0.018579849902356328,0.0,0.0,0.0,0.01979069995561129,0.0,0.0,0.00012947836795584213,0.006554253066640073,0.011783818696523264,0.018115699151118513,0.0,0.0,0.0017027357257228225,0.010575403079856008,0.02486547452557965,0.0,0.0,0.018600928895377077,0.0,0.0,0.02855700963050193,0.013354668097923034,0.01862191186364626,0.053886910307791185,0.0,0.0,0.0,0.0,0.0005977655213127936,0.0,0.03133726406884954,0.03222857743098436,0.0,0.0011743345802181463,0.0011743345802181463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01933379811678867,0.0,0.009537802100702639,0.0,0.0,0.0,0.0,0.009183842991196149,0.001804542015070906,0.0018204612809853908,1.0569461745832698e-19,0.0,0.003432467551953816,0.0,0.003432467551953816,0.016983416385058486,0.0,0.0,0.0017603989911309618,0.0,0.03282038452468662,0.027519757409713463,0.023014515328665167,0.00741352933443367,0.02327891425334314,0.01129889349791439,0.0,0.025407109019748114,0.0,0.0,0.02949814118982139,0.0,0.013284008066205182,0.019132253714440495,0.0184107778037603,0.01844444975701991,0.016603168560261353,0.004483943445281011,0.001233036836570325,0.008785480552491124,0.0,0.0035131648164683396,0.0,0.0,0.0,0.007074783362809636,0.0035294672236422155,0.0,0.0030993025550760697,0.0034561328363909467,0.0,0.0011605011096618796,0.04259747952195941,0.010994553649951022,0.013412033785996529,0.005706652840457916,0.0006341017818356653,0.02997334526207204,0.019809550589201613
LFQ intensity D1_3,0.0,0.0,0.01692339412348159,0.006522758403036886,0.0052204523449270205,0.0,0.010411103713316964,0.0,0.0,0.0023084516773060272,0.014757759410805376,0.0,0.0052204523449270205,0.022726513029910137,0.0,0.0,0.032821374478477515,0.02227520352179466,0.0,0.0,0.006707766434277108,0.0,0.00910184975448299,0.011862157592666771,0.004331476092361375,0.02047239635226327,0.0,0.0,0.0,0.028887914882236805,0.0,0.0,0.00012991097900030404,0.0,0.011462467705994114,0.01909638590522995,0.0,0.0,0.001708424878995117,0.0,0.02156423088498397,0.0,0.0,0.017986448526855534,0.0,0.0,0.023662319941554336,0.016395609034916454,0.018684131096622352,0.05947892743147297,0.0,0.0,0.0,0.0,0.00030114432281965625,0.0,0.024873593291109827,0.045312691796766565,0.0,0.0016795667068430584,0.0016795667068430584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019398395892685633,0.0,0.006877954405204569,0.0,0.0,0.0,0.0,0.0065227584030368825,0.0022431958895104717,0.006424258324903733,0.00026431593093621065,7.404481566470173e-20,0.0035972168651395384,0.0,0.0035972168651395393,0.017040161103244744,0.0,0.0,0.0,0.0,0.033043101939554766,0.029127131051571286,0.022850866047958964,0.006230583807122701,0.022866029658736034,0.010725844489924686,0.0,0.02301642481412828,0.0,0.0,0.02594409586518281,0.0,0.012771847268959073,0.02232631839850506,0.019717996888934258,0.022263794858726527,0.016478098514391644,0.00753504895357636,0.003739680713418985,0.013459811875622583,0.0,0.0,0.0,0.0,0.0,0.007690172343199882,0.004544845172435573,0.0,0.0026368553053611942,0.0048375909074301485,0.0,0.0005344977966285867,0.04232802710721543,0.010482373379028636,0.02587101501192545,0.0,7.677594026085089e-05,0.04058286820528143,0.017786386638838764
LFQ intensity D1_4,0.0,0.004060179571668012,0.012120278662742566,0.00859988974538481,0.00794564178415444,0.0,0.010176394717097,0.0,0.0,0.003448961757846377,0.015485475335458031,0.0,0.00794564178415444,0.02358901201097674,0.0,0.0,0.03286914972770315,0.021495288088781962,0.0,0.0,0.000896873399544804,0.0,0.028595466828770805,0.010927810382704042,0.004873974419006126,0.025834444082457803,0.0,0.0,0.0,0.011301697700971258,0.0,0.0,0.0001269822524868868,0.0,0.0,0.021156787242857928,0.0,0.0,0.0016699099722659394,0.0,0.026261636082354826,0.0,0.0,0.01899583759624344,0.0,0.0,0.023599384323895325,0.020719948263734154,0.0,0.05500089116991776,0.0,0.0,0.0,0.0,0.003777832569138211,0.0,0.029670087236557015,0.0348800301620931,0.0,0.0032788356250054713,0.0032788356250054713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01896107645436073,0.0,0.008947033345886935,0.0,0.0,0.0,0.0,0.008599889745384805,0.00443697972391734,0.001384605763369501,0.0027341062217323677,0.0,0.00340136547458813,0.0,0.0034013654745881287,0.016656005953310588,0.0,0.0,0.0,0.0,0.03306300343405334,0.03231166660840447,0.022938867365220484,0.005395965698013698,0.021478134221845004,0.010568154382455293,0.0,0.026301106701873904,0.0,0.0,0.034305520693450366,0.0,0.012508873642386687,0.023011177747882416,0.01583093108066487,0.021998824871347505,0.015403819771417908,0.005315121550015554,0.0025147305644686773,0.017569525295818268,0.0,0.0,0.0,0.0,0.0,0.007910958590539634,0.005110855360923834,0.0,0.0,0.0001523054480457982,0.0,0.0,0.051088900272194114,0.014416698169325058,0.023192459460190933,0.0,0.0011391953272307125,0.03635388780084676,0.01901370966326819
LFQ intensity D1_5,0.0,0.007299113864056508,0.0,0.007931725454545213,0.009336199984721849,0.0,0.008259135676172143,0.0,0.00989769341854379,0.004686127440828882,0.016954982904677143,0.0,0.009336199984721849,0.020616676800125897,0.0,0.0,0.03165642139071889,0.019256615994048064,0.0,0.0,0.005454127913309315,0.0,0.027953578468517027,0.01316344877897621,0.00633671226764477,0.01788068066131344,0.0,0.0,0.0,0.026368128339647266,0.0,0.0,0.0,0.0,0.0,0.01828479507993267,0.0,0.0,0.0025071502242961195,0.00995763597146107,0.015557912549942102,0.0,0.0,0.019834488046666942,0.0,0.0,0.03273157431787538,0.0031827297422363926,0.018213531771340944,0.052230533742796514,0.0,0.0,0.0,0.0,0.004896102075877611,0.0,0.03035348645321342,0.03015067125183658,0.002549103483341031,0.004437842654401389,0.004437842654401389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015388760691420198,0.0,0.00821344711611247,0.0,0.0,0.0,4.7317486009494594e-20,0.007931725454545208,0.005214560618372021,0.002061442302306815,0.00611771451516605,0.002444615732711228,0.005418954609383632,0.0,0.00541895460938363,0.017340665699204935,0.0,0.0,0.0028266306415065806,0.0,0.03891911391229773,0.028576218636916322,0.020860534913100134,0.010330325452547043,0.017960793486027304,0.0076496955497482545,0.003249160026242867,0.01904544347937688,0.0,0.0,0.03357504965622925,0.0,0.008832476808404927,0.019309564455357878,0.018571182543210135,0.017771653235999905,0.013012050518100437,0.005820065737498743,0.001129372145905053,0.014258874894804586,0.0,0.0,0.0,0.0,0.0,0.010230270451931318,0.004796678091024796,0.0,0.0,0.009095212627894825,0.0,0.0,0.037029333405926505,0.020531854589878246,0.020154473708048175,0.0,0.0002440712792369543,0.03376829031911446,0.015187798722876596
LFQ intensity D1_6,0.0,0.01803310913116895,0.0,0.007989970904251412,0.012695684828456556,0.016479653890975828,0.00540592175052494,0.0,0.0,0.0,0.021501669631421045,0.0,0.012695684828456556,0.021501669631421038,0.0,0.011546562506034166,0.03239646294734259,0.023941061635387305,0.0,0.0,0.0,0.00216810306144411,0.0,0.02226439106724609,0.009423782890296814,0.027315376605276578,0.0,0.0,0.0,0.017141986983312832,0.0,0.0,6.74557286478116e-05,0.0,0.0,0.015329662906817794,0.0,0.0,0.00556047618952678,0.0,0.0,0.0,0.0,0.021501669631421038,0.0,0.0,0.030037800171924825,0.01695256438460656,0.0,0.04235671581681577,0.0,0.0,0.0,0.0,0.0,0.0,0.02737617318036889,0.022360795161024145,0.0,0.010365115517420266,0.010365115517420266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01569442021662726,0.0,0.008174312161845804,0.0,0.0,0.0,0.011311628203903233,0.007989970904251405,0.018810520549300103,0.004105387081207874,0.01889923256868233,0.0,0.009815023183783286,0.0,0.009815023183783283,0.019882919138952876,0.0,0.0,0.0,0.0,0.03548866727150702,0.020346586440177554,0.025171797759587375,0.008433397852748062,0.019441492195098914,0.014574235603082165,0.008714528009311481,0.023822023617068373,0.0,0.0,0.015418677441324816,0.0,0.007998689640293948,0.023520972186438737,0.01732872372054351,0.021434519216159284,0.011124352113969345,0.003144154431304715,0.0044305467765212775,0.0,0.0,0.0,0.0,0.0,0.0,0.020023958055130988,0.010090680109758825,0.0,0.0008099678375214148,0.0,0.0,0.0023949603267876757,0.02743790349590506,0.016599057147374564,0.016319393930568755,0.0,0.0023949602637347057,0.040777246496758575,0.013485434369974446
LFQ intensity D1_7,0.0,0.0,0.012166714915619567,0.009231443887309882,0.007165983907810089,0.0,0.011051178816012525,0.0,0.011392498261882562,0.0007958638313238261,0.012910652756496046,0.0,0.007165983907810089,0.01980274263435649,0.0,0.0,0.03829579630323255,0.0036367620608574,0.0,0.0,0.004360698601821663,0.0,0.00966143186765208,0.012633177624512375,0.00709572453269656,0.0185916746208781,0.0,0.0,0.0,0.027506889410290825,0.0,0.0,0.0007576367996253287,0.005103095785247116,0.01255008086756511,0.022412322706665877,0.0,0.0,0.001813458913808518,0.008974923568517383,0.02268307282706098,0.0,0.0,0.016739514256012854,0.0,0.0,0.02864542559656992,0.01634526479079196,0.01983283227756925,0.0603524738742532,0.0,0.0,0.0,0.0,0.005690634253300768,0.0,0.027397172337793582,0.034161422704875696,2.2924152447762754e-19,0.0027494202135904563,0.0027494202135904563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017504489936754304,0.0,0.009608430846010365,0.0,0.0,0.0,2.6199031368871716e-20,0.009231443887309879,2.6199031368871716e-20,0.0013975455882432313,3.6678643916420403e-19,2.2924152447762754e-19,0.002838802181303622,0.0,0.002838802181303622,0.018775547377852878,0.0,0.0,0.0019510635300994158,0.0,0.037211229000743085,0.03500361255416855,0.02006854280539135,0.006613109786198196,0.02493976960886063,0.012216746538508136,0.0,0.023003597440700855,0.0,0.0,0.017439210302618392,0.0,0.010813766827298909,0.026821124667576128,0.02065574441878234,0.021140722722908,0.013430952196179818,0.006495649293052629,0.0,0.016665772614750617,0.0,0.0,0.0,0.0,0.0,0.006473248720718631,0.002935033462755015,0.0,0.004712828223630141,0.0032159537459951083,0.0,0.0,0.043342797860026455,0.003991270493594233,0.023819742478674213,0.0,0.0,0.03645493000888308,0.015965128771706978
LFQ intensity D1_8,0.0,0.0038015777509796465,0.015514010229250329,0.007637615157792681,0.01085820992825417,0.0,0.026300310106411894,0.0,0.011860335432801258,0.00591350358645457,0.016626482715051363,0.0,0.01085820992825417,0.023738790091137312,0.0,0.0,0.030682638938292314,0.013699129059577712,0.0,0.0,0.009608912513657678,0.0,0.009520238950800022,0.011279132364524406,0.005842433593109121,0.0086078682075085,0.0006290304695310229,0.0,0.0,0.02011862792375426,0.0,0.0,0.010821693644191985,0.005591642412512787,0.0,0.017451004024758496,0.0,0.0,0.007240948130557275,0.009477688024710641,0.022947778799064584,0.0,0.0,0.022223587075431293,0.0007954127488436507,0.0,0.03159047130516643,0.004825188220798755,0.014449164897416709,0.06256200015449127,0.0,0.0,0.0,0.0,0.0018312260479361677,0.0,0.03418847335973274,0.022194325037218438,2.4525348852166513e-19,0.0027966833931717507,0.0027966833931717507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020290091480539344,0.0,0.008009122202953694,0.0,0.0,0.0,1.1617270508920982e-19,0.007637615157792674,1.1617270508920982e-19,0.007522279644301447,1.8071309680543749e-19,2.4525348852166513e-19,0.004119749092241712,0.0,0.004119749092241713,0.008509196040321769,0.0,0.0,0.0025500125669189397,0.0,0.037459016156899824,0.024202890578175203,0.022930074671422485,0.007433311251274618,0.01695856014936639,0.009706299630729675,0.007085145526486838,0.024627776973534805,0.0,0.0,0.01816364885363936,0.0,0.009974581163308906,0.025971383503399344,0.01746093187222247,0.017490495281263136,0.02084875353963382,0.0038474380946775374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011336470014111828,0.0,0.0,0.0,0.0047750860174277645,0.0,0.0,0.04792395949306676,0.017361796680056628,0.01678992848070488,0.0,0.0026152187736961526,0.03746502218358733,0.017933368217685777
