,Amphid socket,Anal muscle,Body wall muscle anterior,Body wall muscle middle,Body wall muscle posterior,Coelomocytes,Distal tip,Embryonic cells,GLR,Glia_2,Glia_3,Hypodermis head,Hypodermis tail,Intestinal-rectal valve,Intestine anterior,Intestine middle,Intestine posterior,Marginal cells,Mature sperm,Mitotic germ cells,Oocytes,PVD_FLP,Phasmid socket,Rectal gland,Seam cells (bus+),Seam cells (grd+),Spermatheca bag distal,Spermatheca bag proximal,Spermatheca neck distal,Spermatheca neck proximal,Spermatheca-Uterine junction,Spermatocytes,Syncitial pachytene spermatocytes,Unassigned sex-specific muscle,Unassigned sheath cells,Unassigned uterine cells,Uterine muscle,Uterine seam cells,Uterine toroid,Uterine-vulval cells,Vulval cells,cat-4(+)ptps-1(+) intestine anterior,hmc,hyp4_to_hyp6,pm1_pm2 (pharyngeal muscle),pm3_pm4_pm5 (pharyngeal muscle),pm6_pm7 (pharyngeal muscle),sh2 (gonadal sheath distal),sh3_sh4 (gonadal sheath proximal),sh5 (gonadal sheath proximal),vm1 (vulval muscle),vm2 (vulval muscle)
LFQ intensity D1_1,0.0,0.04107284437551118,0.018414606548102463,0.0,0.022583277561249122,0.0,0.021180842976113782,0.0,0.02863654995690237,0.003645317047836999,0.0,0.10393513086224375,0.0,0.02615914184802061,0.0,0.021222319018355747,0.07910277280099105,0.0026303990556606404,0.015555715675290299,0.06958692071445727,0.0,0.0,0.0,0.01785141565047141,0.030792488344274782,0.04752466720202126,0.012219440673662615,0.03849868333873477,0.0,0.0,0.010186623715787614,0.0,0.02975062446892201,0.0,0.030002370547533744,0.013037925708523518,0.020795818534933973,0.020296917242671856,0.0,0.013470364495052053,0.0,0.0,0.0,0.0,0.0,0.06501653675737364,0.014022764674175736,0.10098260130023091,0.0,0.006316670919203665,0.03792240762932146,0.03758584035636969
LFQ intensity D1_10,0.0,0.04127410254081051,0.0028181471970144447,0.0,0.02745085707932408,0.0,0.0059633937746517915,0.0,0.0,0.0,0.0,0.08324904900088814,0.0,0.0217628032346439,0.0,0.020118869878171103,0.08273098753190851,0.0,0.019489119517275017,0.061269921297123546,0.0,0.0,0.041773596574575675,0.01633172647412609,0.0390200602232939,0.060358267615837555,0.0161153415531385,0.036387382100272286,0.0,0.010478308050207408,0.0,0.0,0.03082962251173436,0.0,0.03359591273243769,0.018621536215871124,0.01259591472799928,0.021541176011922503,0.001518863695733008,0.0,0.0,0.0,0.0,0.0,0.0,0.04784094481577466,0.03664450153906856,0.09690907962427173,0.0,0.0,0.05041084485446953,0.06289966962745504
LFQ intensity D1_11,0.000962235193723842,0.04702656250126423,0.011290876360795555,0.0,0.014744166399375636,0.0,0.0,0.0,0.0,0.0,0.0,0.08613346276590064,0.0,0.03763167713842391,0.0,0.019684302221275683,0.10066684439764621,0.0,0.016952952732644837,0.05662742584130893,0.0,0.0,0.0,0.020191672000845887,0.0417209900149282,0.044254626390612783,0.0018286284810891112,0.03660435964326924,0.0,0.0022587300234471414,0.024031706346489722,0.0,0.024131097860883792,0.0051867915716299106,0.041057673321273254,0.019122294698197147,0.028918814351189263,0.03056004354331483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04065164473136414,0.051718002414788786,0.0808223072720003,0.0,0.0,0.05618285981048677,0.05903725197183019
LFQ intensity D1_2,0.0,0.05483642619323396,0.029889155008085467,0.0,0.011544712951559694,0.0,0.012940721294690713,0.0,0.03902242714108914,0.0,0.0,0.07709739581579426,0.0,0.025232194007119974,0.0,0.02159935595032219,0.10355736268360054,0.0,0.017007607764994583,0.07548626316016242,0.0,0.0,0.0,0.026685615735726365,0.03763128670675682,0.042537650807638695,0.0,0.03791225851163584,0.0,0.004635119383889382,0.029057623080841352,0.0,0.039059960025071415,0.008400781285369464,0.024429792272224832,0.023530561586281737,0.02144883143924386,0.030431080277568783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059040027554656045,0.023230616734183432,0.02817664755991966,0.0,0.0,0.03855956776531263,0.05701895730302695
LFQ intensity D1_3,0.0,0.04292823053147736,0.030036970980797734,0.0,0.008235616034938567,0.0,0.01368394074569988,0.0,0.0276316518542108,0.0,0.0,0.06837511527319155,0.0,0.02017399521619562,0.0,0.02185383133813014,0.0899609599441749,0.0,0.029668771393101537,0.06741446806864451,0.0,0.0,0.003423415708788358,0.021660923249533594,0.03907207769627012,0.03992444257755302,0.0,0.03762748713993743,0.0,0.0,0.027269875225669662,0.0,0.03542634268185105,0.0,0.039067016410715784,0.01851083768455418,0.01542397294017525,0.02658529930927261,0.0008439830392125233,0.0,0.0,0.0,0.0,0.0,0.0,0.058406228854178704,0.01620310393020202,0.1036187270214362,0.0,0.0,0.05175302345485847,0.04521969169522837
LFQ intensity D1_4,0.0,0.04444305115052202,0.0,0.0,0.0323053081317176,0.0,7.449798675226394e-05,0.0,0.0,0.0,0.0,0.09289834186869964,0.0,0.024475566878552325,0.0,0.0,0.07626835719573866,0.0,0.023000398756987655,0.06412380499036231,0.0,0.0,0.04795291423073355,0.01908927321539153,0.03755401888783753,0.06034682568258127,0.0,0.0261680405996747,0.0,0.005540111205437767,0.028011799395638456,0.0,0.03217717519226356,0.0,0.029861534603097067,0.014624179403371127,0.04222783551217623,0.023470073597829145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05390747599841613,0.03825759985142569,0.0988040648818486,0.0,0.0032509978357678888,0.032344163934363714,0.0488225890128135
LFQ intensity D1_5,0.0,0.041364320447632615,0.0008947339531239787,0.0,0.02994494424492237,0.0,0.015418731963939086,0.0,0.0,0.0,0.0,0.06408767937722089,0.0,0.05645922305418329,0.0,0.02318807711513194,0.09489963942394626,0.0,0.02194814422682467,0.04315739513109759,0.0,0.0,0.05130538759520577,0.02256277176085111,0.037366484214613006,0.04472762865980814,0.0,0.029234950224120586,0.0,0.0010609561515639333,0.028507569373622935,0.0,0.04680994434615507,0.0,0.034076502004915604,0.021647232960304408,0.00318691211204635,0.03150455757154059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03989408347644982,0.04160703522828988,0.06818551417871031,0.0,0.0,0.05047001791253195,0.05648956329124787
LFQ intensity D1_6,0.030222202561168275,0.03588424249457647,0.0,0.0,0.0,0.0,0.027409763046936125,0.0,0.0,0.04092841234029774,0.0,0.0,0.0,0.035905163102310865,0.0,0.0,0.0917616812001172,0.0,0.005767211375470567,0.07608466936686183,0.0,0.0,0.0,0.026225542411054476,0.0471803277796522,0.04868339753009022,0.0,0.03195716258879788,0.00907266692554034,0.0,0.04167025787877805,0.0,0.06090915536092779,0.0031554131652597817,0.04349070358692779,0.05800384778434818,0.011675913591229383,0.03092044186573042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04556370455341814,0.059736752748983206,0.02420594102825567,0.0,0.0,0.06675919213345562,0.04682623357981187
LFQ intensity D1_7,0.0,0.049863904222949396,0.02542437956918275,0.0,0.005231611808814559,0.0,0.013466784976021419,0.0,0.03195874464622521,0.0,0.0,0.07483306304734949,0.0,0.023922205585168284,0.0,0.022348496461318024,0.09480501677898504,0.00288898723729869,0.01594636982927426,0.05514724608946775,0.0,0.0,0.0,0.020997877815580795,0.03954752870329632,0.04299043616581484,0.0,0.04213253580875776,0.0,0.0008775291120898006,0.030138971479501984,0.0,0.026578832887692586,0.0,0.0388189248020025,0.019564191300938706,0.02220286109729592,0.028990007745961614,0.007908946057571026,0.0,0.0,0.0,0.0,0.0,0.0,0.06428607524391187,0.0039756794846077205,0.11296543530794706,0.0,0.0,0.044540085037977906,0.03764727169699672
LFQ intensity D1_8,0.0,0.04088672074887512,0.02794295871174667,0.0,0.0028828453968020766,0.0,0.011304946623957235,0.0,0.0,0.0,0.0,0.07072394613762088,0.0,0.06921409531550857,0.0,0.02038042988971355,0.10520044750206775,0.0,0.014559514270460896,0.04787868958934258,0.0,0.0,0.03226439897261814,0.015400154037957836,0.03752363652349283,0.04537290060758845,0.0,0.02847456089839161,0.0,0.00972520554058789,0.02490401567241709,0.0,0.030547915328298796,0.0,0.040596974167092695,0.01107338463626588,0.010075541295269707,0.01709552265242515,0.00615953427422766,0.0,0.0,0.0,0.0,0.0,0.0,0.057297949944896086,0.03813413578222549,0.0842479031151556,0.0,0.0,0.045356091736037184,0.05477558062895637
