,Amphid socket,Anal muscle,Body wall muscle anterior,Body wall muscle middle,Body wall muscle posterior,Coelomocytes,Distal tip,Embryonic cells,GLR,Glia_2,Glia_3,Hypodermis head,Hypodermis tail,Intestinal-rectal valve,Intestine anterior,Intestine middle,Intestine posterior,Marginal cells,Mature sperm,Mitotic germ cells,Oocytes,PVD_FLP,Phasmid socket,Rectal gland,Seam cells (bus+),Seam cells (grd+),Spermatheca bag distal,Spermatheca bag proximal,Spermatheca neck distal,Spermatheca neck proximal,Spermatheca-Uterine junction,Spermatocytes,Syncitial pachytene spermatocytes,Unassigned sex-specific muscle,Unassigned sheath cells,Unassigned uterine cells,Uterine muscle,Uterine seam cells,Uterine toroid,Uterine-vulval cells,Vulval cells,cat-4(+)ptps-1(+) intestine anterior,hmc,hyp4_to_hyp6,pm1_pm2 (pharyngeal muscle),pm3_pm4_pm5 (pharyngeal muscle),pm6_pm7 (pharyngeal muscle),sh2 (gonadal sheath distal),sh3_sh4 (gonadal sheath proximal),sh5 (gonadal sheath proximal),vm1 (vulval muscle),vm2 (vulval muscle),timepoints
LFQ intensity D1_1,0.0,0.04857209341591489,0.005724755058327875,0.0,0.012227203750240858,0.0,0.03335286440426461,0.0,0.005029018850545298,0.0,0.0,0.05297842309608457,0.0,0.048999598226542464,0.020985273993909946,0.030360105249515535,0.08950700797224746,0.0,0.0,0.08111340838823888,0.0,0.0,0.0,0.02613653814712799,0.053103203629698885,0.02228249575873856,0.015259016036059038,0.030448274451128333,0.009079323608858256,0.0,0.02147253477950623,0.0,0.03898071040599706,0.016726133959381922,0.036035957256821335,0.01571866115211839,0.02793724331984839,0.029342097780542798,0.0031763674961258247,0.009912066463050345,0.0,0.0,0.0,0.022529560929527938,0.0,0.08311076701115726,0.006981131618667556,0.025837962267408934,0.0,0.0026057807857263965,0.048250329923285436,0.02622409081339054,1
LFQ intensity D1_10,0.0,0.04794993241217785,0.003590776052492904,0.0,0.030816182390740646,0.0,0.0214799957019268,0.0,0.0,0.0,0.0,0.05232957607517947,0.0,0.05583111535439488,0.015215611151947434,0.030391239513905797,0.08372865886243745,0.0,0.0,0.056266141354408765,0.0,0.0,0.0,0.024609491980131893,0.06044291133034961,0.038772162574688906,0.011070637213830684,0.03713677368861582,0.01737591481380264,0.004457539829253851,0.0034313865069933143,0.0,0.03602809317037711,0.018100908738836765,0.03945698844538653,0.03010635963227013,0.030020741371970715,0.025224521924823735,0.0069810368212141725,0.0,0.0,0.0,0.0,0.006360894991733427,0.0,0.07049039903493487,0.016000445399191553,0.03123584262584522,0.0,0.0013398996338503362,0.060513047726625996,0.03324477367566077,1
LFQ intensity D1_11,0.00021790794429671828,0.050955098759192734,0.007819674859003855,0.0,0.015707121293648922,0.0,0.0215257252998494,0.0,0.0,0.0,0.0,0.0470699885206421,0.0,0.038286811307302646,0.021728157122739095,0.02031870109136309,0.08723300505855769,0.0,0.0,0.06511676625285248,0.0,0.0,0.0,0.025063693859416154,0.06772227114092706,0.03134912083537556,0.012763657916639646,0.0315418250630578,0.013173360777774762,0.0013584965572391462,0.03483824785837645,0.0,0.03608909047564494,0.02060733264852955,0.02756943486830654,0.029594608924594326,0.033112669084597104,0.030854104409412365,0.0024645103536649893,0.0033339198687745556,0.0,0.0,0.0,0.007115419671580243,0.0,0.07147117511288034,0.024384028434474757,0.03466013227053562,0.0,0.0,0.05496441269653498,0.029989529662214392,1
LFQ intensity D1_2,0.0,0.05101994205162939,0.010626704191721443,0.0,0.007806532730718938,0.0,0.03141833479271135,0.0,0.01887140585552229,0.0,0.0,0.04485892106329229,0.0,0.04286702666246158,0.016253039678894396,0.02982239167412841,0.08802293107067831,0.0,0.0,0.05778274394316764,0.0,0.0,0.0,0.025673628968789153,0.04916210950268588,0.03663494921221456,0.011207832653362797,0.036138140303019456,0.016672838100197766,0.0,0.03926163910479789,0.0,0.03684749142527939,0.02075574358907361,0.028698229128032327,0.033032812981159225,0.02810473911029479,0.02611441834062653,0.001140463302796437,0.0025135926404110795,0.006068594241579197,0.0,0.0047995669772518965,0.0077214471496972375,0.0,0.06810789672487257,0.018160801317314793,0.01987599568189895,0.007774532788973802,0.001081451521996796,0.044910771269475416,0.030190340249272477,1
LFQ intensity D1_3,0.0,0.047103903481019074,0.009268231343723218,0.0,0.013631936743137377,0.0,0.04298974083525411,0.0,0.015808822245387023,0.0,0.0,0.031198812842006658,0.0,0.03424772789479094,0.019506802651640103,0.02798342096167784,0.08706437407800562,0.0,0.0,0.07693030855810565,0.0,0.0,0.0,0.024929458361101536,0.045807868765368936,0.04082496317220211,0.008405521469314649,0.033174912567433566,0.014730007333383473,0.0,0.03370898125669681,0.0,0.028056141620101734,0.01942205570869641,0.03843981145417343,0.029872205083115194,0.03242671263827653,0.02564211815953489,0.005465478478890231,0.007438785578164992,0.0,0.0,0.0025551469768059407,0.0072453111200592585,0.0,0.06554580199462177,0.017840601234020422,0.029761460084436288,0.0,0.0,0.0564614500528334,0.026511125256020757,1
LFQ intensity D1_4,0.0,0.05028925284784497,0.0,0.0,0.03917716583650349,0.0,0.017361959245192356,0.0,0.0,0.0,0.0,0.051667338443066625,0.0,0.03900852552795448,0.028466714304059892,0.0,0.08298862166618085,0.0,0.0,0.06332386553734613,0.0,0.0,0.0,0.025489723613113465,0.04880114840831344,0.04027255726775231,0.00625960274062559,0.03030043862819781,0.015514006805660464,0.0,0.03936055165707383,0.0,0.04118142719116808,0.019682432217240028,0.03687770659306128,0.022537842906844106,0.03404508279856178,0.02446342508908662,0.007693372000697783,0.004032883643270128,0.0,0.0,0.0,0.004491759603106915,0.0,0.08070301932898116,0.02038596442381369,0.03740164340672302,0.0,0.0010901775125770987,0.05537652349058714,0.03175526726539569,1
LFQ intensity D1_5,0.0,0.04952496062588193,0.007621823187304661,0.0,0.04024628804136318,0.0,0.04367354030919012,0.0,0.0,0.0,0.0,0.03804182277639219,0.0,0.05108358901806932,0.00540942105316101,0.024660804748230118,0.08182997042735607,0.00023406214780824605,0.0,0.05892403475740228,0.0,0.0,0.0,0.023315885421731044,0.05837959343232903,0.04381284067164763,0.01313155318465686,0.028271319810960687,0.010921557573642778,0.0007055910199310899,0.03199200753782288,0.0,0.047120291494958874,0.014055132854287994,0.027679600626582975,0.025659665845093535,0.027383946705330186,0.02316424896614978,0.007596561018009346,0.0028201881803525124,0.0,0.0,0.0,0.010328850268751301,0.0,0.06190208419964411,0.029557726859240237,0.032145765727310496,0.0,0.0,0.05211028426621508,0.026694987243192345,1
LFQ intensity D1_6,0.02462381931959532,0.05563869599899093,0.0,0.0018438745727943696,0.0,0.0,0.034052676897375976,0.0,0.0,0.0,0.0,0.0,0.0,0.05032362393985131,0.025056277800067892,0.0,0.07820733913349313,0.0,0.0,0.04768589609243397,0.0,0.0,0.0,0.03489246843515666,0.07203935083615359,0.04310302857397461,0.014673814481703072,0.0340937760025571,0.021910365432632035,0.011035749478821799,0.04031883266651478,0.0,0.032881364238394814,0.017560479833510084,0.04404787826397119,0.032692747474259,0.03484478740480621,0.019614798380240158,0.0018474599607955161,0.004477824380828643,0.0,0.0,0.0,0.0,0.005107413598947708,0.058513170291035095,0.03539860316514002,0.029638077094357965,0.0,0.0021954648057723944,0.06462305837036698,0.027057283075457655,1
LFQ intensity D1_7,0.0,0.06006477894297237,0.005999821952776732,0.0,0.015002691038193985,0.0,0.03592618568190652,0.0,0.019488310670681786,0.0,0.0,0.03934270310168599,0.0,0.04275185384566144,0.02109924742911306,0.030797283378763037,0.08881945512991249,0.0,0.0,0.04754090804604386,0.0,0.0,0.0,0.02794056782242969,0.054705845334553166,0.05147727558470828,0.00947473571262909,0.03784905469867712,0.017877094134736236,0.0,0.03506652601302066,0.0,0.016674845011460826,0.016191054497432456,0.0397850401029736,0.02838438235378655,0.032190584977891304,0.022346749549609145,0.007880517144568552,0.0,0.0,0.0,0.004956464454928728,0.0037868637413566563,0.0,0.06609591098862068,0.0043623663283966834,0.03575670128261962,0.0,0.0,0.05463047186707706,0.02573370918081266,1
LFQ intensity D1_8,0.0,0.04870690487781034,0.013940369047652137,0.0,0.015725948040603763,0.002959153856821028,0.028558682259895423,0.0,0.0,0.0,0.0,0.04917257119767355,0.0,0.049949274030995396,0.006166131689580052,0.023867763990083116,0.10137165660847185,0.0,0.0,0.04983278318748917,0.0,0.0,0.0,0.014055863039673665,0.05299600470935634,0.03761454092605526,0.00786342491160884,0.023334467529833834,0.016240407124212285,0.01145707537740591,0.041968042882341385,0.0,0.029685467793211417,0.016356696963366796,0.03493377152666316,0.023999854271747532,0.029009258196722596,0.032871163366539405,0.00603181979597685,0.0020550555550897685,0.0,0.0,0.0,0.0078876964105163,0.0,0.07811509695798279,0.025455065466145017,0.028670660631524222,0.0,0.0028821335492458717,0.05535269356223793,0.030912500665466858,1
