group,01,02,03,04,05,06,07,08,09,10
Amphid socket,0.002652942186373491,0.0,3.082761159115945e-05,0.0014620272232789206,0.0027514587974440084,0.0020895332873744083,0.00551908879439798,0.007536848035869914,0.0010252867519434208,0.0006711758634935199
Anal muscle,0.05066191253312124,0.05529119553866801,0.05767930385846491,0.05848681345911294,0.06098972333680072,0.06229885984205403,0.06249188222384008,0.06671766022841191,0.06627372261217786,0.06152649860498401
Coelomocytes,0.00026901398698372724,0.0,0.0009840536123398636,0.002032284290846575,0.0036308933901793247,0.007868524509765867,0.00718395239976326,0.009761923567795084,0.010953020268481967,0.00617146838532164
Distal tip cell,0.030332002162469184,0.0259737735144892,0.0246710763937639,0.02035078908323604,0.02038670068353944,0.017309864202636267,0.018798874810685862,0.019682824660311026,0.016558221018937384,0.01854515833837079
Embryonic cells,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germline,0.0,0.0030786214030814776,0.004460918715243882,0.00044357284707370836,0.0014883088352036168,0.00025584983108893335,0.0,0.0,0.0,0.0
Glia,0.04096779681688398,0.05410546275258978,0.08131803205077277,0.08782511527345525,0.09406950516797463,0.09655223103566957,0.08814913043808313,0.08376832971820727,0.07906881814907767,0.073322116052798
Gonadal,0.03219668821170723,0.06475238016191559,0.08168805272399396,0.08664130643047914,0.08815594293410599,0.09080494636763374,0.09240281771621177,0.08308677048113751,0.08312396365536599,0.08034656356441228
Hypodermal cells,0.03903260578150514,0.04288401661041177,0.013645826301499799,0.002406215107723633,0.00029908646924501665,0.0011354739429537833,0.0,0.0,0.0,0.00029251200026389
Intestinal-rectal valve,0.045264182518304,0.03746126938109339,0.026978879314121726,0.02169474775008314,0.010915166252767033,0.010754817977550709,0.01059266179048138,0.007576235389143014,0.004991596413364834,0.00605151455770155
Intestine,0.12541192335333665,0.12304617297087501,0.1264931763082495,0.11513051363395994,0.10376709006015274,0.09685015432031406,0.07965904373911988,0.074080426741256,0.06774765910078383,0.07152616101478097
Marginal cell,0.00028327849884793635,0.0,0.002033535460709782,0.008897133538831358,0.016123613025010527,0.020274321223355343,0.0208135116310747,0.021619830745664714,0.01380533743776189,0.01584180630925441
Muscle,0.12937675308650476,0.12478813894497577,0.13661178763733609,0.1525353445919143,0.14454708322559953,0.1409976666166942,0.13548035153613458,0.1338242651836127,0.13957043912102182,0.13167047031731996
Neurons,0.0,0.0,0.0,0.0,0.002147005661351275,0.0023209342456898333,0.005392845871637361,0.006169260737994657,0.0042156445108674665,0.0017872381660683702
Phasmid socket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sperm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spermatheca,0.05682897566499703,0.06964388781707526,0.06542612515922779,0.06212570686490598,0.06804762814063309,0.07639273810593451,0.08624414220029136,0.09340832998158134,0.09091309612801995,0.10267582628733843
Spermatheca-Uterine junction,0.032729440463952604,0.013665520382105556,0.008822273862524427,0.008809394033561858,0.009786127134793925,0.008831147320639667,0.01188309666515606,0.010793141761182614,0.008624223973118383,0.01470566971051702
Unassigned sheath cells,0.035432281440133245,0.041720753811575174,0.042132463603085174,0.047826801393745205,0.05161165093309127,0.055563241689383064,0.061543710447821344,0.06700646155411025,0.07157654368841414,0.06291645195017158
Uterine-vulval cells,0.06175028925635529,0.07231592062195018,0.07065321334754605,0.07154366926859827,0.0831728204076571,0.08429867243164378,0.08844285963257777,0.08749887316780174,0.09459920027496523,0.09085835784120147
Vulval cell,0.0005516903855981091,0.011436776399586677,0.012595776472192382,0.012672948609707442,0.022975834506561002,0.0092013571413503,0.025220073019800598,0.022968403595026443,0.022517674142779495,0.014234168164372521
"arcade, marginal and pharyngeal muscle cells",0.00046431032717706366,0.0004216314722732778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00074755489303057
hmc,0.008652828531345453,0.021308661113428412,0.027672965554142157,0.030172255441704297,0.033270965698736284,0.04060702415542151,0.0334838790841344,0.028942061740736373,0.047745175899935356,0.03741754169307957
vulval cells and the epidermis,0.007653889560913291,0.005033142147063011,0.004660504482209382,0.0030921760717493754,0.004395382016772633,0.0036844847607445247,0.0,0.0009785813984538286,0.0,0.0
