group,01,02,03,04,05,06,07,08,09,10
Amphid socket,0.002652942186373491,0.0,3.0827611591168986e-05,0.0014620272232789284,0.0027514587974440253,0.0020895332873744166,0.00551908879439794,0.007536848035869929,0.0010252867519434195,0.0006711758634935199
Anal muscle,0.050661912533121224,0.05529119553866802,0.05767930385846493,0.05848681345911296,0.06098972333680073,0.06229885984205403,0.06249188222384008,0.0667176602284119,0.06627372261217786,0.06152649860498403
Coelomocytes,0.00026901398698372724,0.0,0.0009840536123398636,0.002032284290846575,0.0036308933901793247,0.007868524509765867,0.00718395239976326,0.009761923567795084,0.010953020268481951,0.00617146838532169
Distal tip cell,0.030332002162469184,0.025973773514489144,0.02467107639376392,0.02035078908323605,0.02038670068353944,0.01730986420263625,0.018798874810685838,0.019682824660311016,0.016558221018937384,0.01854515833837081
Embryonic cells,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germline,0.0,0.003078621403081489,0.0044609187152438905,0.00044357284707370836,0.0014883088352036083,0.00025584983108893335,0.0,0.0,0.0,0.0
Glia,0.04096779681688399,0.054105462752589734,0.08131803205077272,0.08782511527345527,0.09406950516797459,0.09655223103566957,0.0881491304380832,0.08376832971820729,0.07906881814907768,0.07332211605279801
Gonadal,0.03219668821170721,0.06475238016191559,0.08168805272399395,0.08664130643047918,0.08815594293410599,0.09080494636763374,0.09240281771621178,0.08308677048113752,0.083123963655366,0.08034656356441229
Hypodermal cells,0.039032605781505136,0.04288401661041179,0.013645826301499799,0.002406215107723633,0.00029908646924501665,0.0011354739429537749,0.0,0.0,0.0,0.00029251200026389
Intestinal-rectal valve,0.045264182518304025,0.0374612693810934,0.026978879314121743,0.021694747750083117,0.010915166252767033,0.010754817977550709,0.01059266179048138,0.007576235389143014,0.004991596413364834,0.00605151455770156
Intestine,0.1254119233533367,0.12304617297087501,0.1264931763082495,0.11513051363395994,0.10376709006015272,0.09685015432031407,0.07965904373911994,0.074080426741256,0.06774765910078383,0.07152616101478099
Marginal cell,0.00028327849884793635,0.0,0.002033535460709791,0.008897133538831366,0.016123613025010527,0.020274321223355332,0.0208135116310747,0.021619830745664714,0.013805337437761899,0.015841806309254407
Muscle,0.1293767530865048,0.12478813894497574,0.13661178763733603,0.15253534459191426,0.14454708322559953,0.14099766661669413,0.13548035153613458,0.13382426518361265,0.13957043912102182,0.13167047031731993
Neurons,0.0,0.0,0.0,0.0,0.002147005661351275,0.002320934245689825,0.005392845871637361,0.006169260737994671,0.0042156445108674665,0.0017872381660683702
Phasmid socket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sperm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spermatheca,0.05682897566499701,0.06964388781707527,0.06542612515922779,0.06212570686490602,0.0680476281406331,0.07639273810593449,0.08624414220029132,0.09340832998158134,0.09091309612801995,0.1026758262873384
Spermatheca-Uterine junction,0.03272944046395259,0.013665520382105566,0.008822273862524418,0.008809394033561858,0.009786127134793916,0.008831147320639674,0.01188309666515606,0.010793141761182571,0.0086242239731184,0.01470566971051702
Unassigned sheath cells,0.03543228144013327,0.04172075381157519,0.04213246360308516,0.0478268013937452,0.0516116509330913,0.055563241689383085,0.0615437104478214,0.06700646155411023,0.07157654368841417,0.06291645195017162
Uterine-vulval cells,0.061750289256355284,0.07231592062195016,0.07065321334754605,0.07154366926859827,0.08317282040765712,0.0842986724316438,0.08844285963257778,0.08749887316780176,0.09459920027496527,0.09085835784120144
Vulval cell,0.0005516903855981091,0.011436776399586677,0.0125957764721924,0.012672948609707442,0.022975834506561002,0.0092013571413503,0.025220073019800598,0.022968403595026443,0.022517674142779498,0.014234168164372521
"arcade, marginal and pharyngeal muscle cells",0.00046431032717706366,0.0004216314722732778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00074755489303057
hmc,0.008652828531345472,0.021308661113428398,0.02767296555414212,0.030172255441704293,0.03327096569873624,0.040607024155421494,0.03348387908413442,0.028942061740736356,0.047745175899935356,0.037417541693079585
vulval cells and the epidermis,0.0076538895609133,0.005033142147063011,0.0046605044822093725,0.0030921760717493585,0.004395382016772633,0.0036844847607445247,0.0,0.0009785813984538286,0.0,0.0
