,ADF,ADL,AFD,AIA,AIN,ASE,ASG,ASH,ASI,ASJ,ASK,AUA,AVH,AVJ,AVM,AWA,AWB,AWC,Amphid sheath,Amphid socket,Arcade cells,BAG,BDU,CAN,Cephalic and inner labial socket,Cephalic sheath,Coelomocytes,DVB,DVC,Distal tip,Embryonic cells,Excretory cells,Excretory gland,GLR,Glia_2,Glia_3,Glia_4,HSN,Hypodermis head,Hypodermis tail,I2,I4,I5,IL2,Intestinal-rectal valve,Intestine anterior,Intestine posterior,MI,Marginal cells,Mature sperm,NSM,OLQ,PHA_PHB,PHC,PLM_ALM,PVC,PVD_FLP,PVM,PVN,PVP,PVQ,PVT,Phasmid sheath,Phasmid socket,RIA,RIC,RIF,RIM,RIR,Rectal gland,Seam cells (bus+),Seam cells (grd+),Seminal vesicle (male),Spermatheca bag distal,Spermatheca bag proximal,Spermatheca neck distal,Spermatheca neck proximal,Spermatheca-Uterine junction,Spermatids,Spermatocytes,Syncitial pachytene spermatocytes,URB,URX_AQR_PQR,Unassigned uterine cells,Uterine muscle,Uterine seam cells,Uterine toroid,Uterine-vulval cells,VC_4_5,Vulval cells,e1_e3 (pharyngeal epithelium),e2 (pharyngeal epithelium),g1A (pharyngeal gland),g1P (pharyngeal gland),g2 (pharyngeal gland),hmc,hyp7 (hypodermis),pm1_pm2 (pharyngeal muscle),pm3_pm4_pm5 (pharyngeal muscle),pm6_pm7 (pharyngeal muscle),vm1 (vulval muscle),vm2 (vulval muscle),timepoints
N2_10_QZ0_20.Rep_1,0.006708314600390798,0.0024126388281336853,0.0,0.0,0.0,0.01751219337766441,0.0,0.0011087098997386309,0.0,0.0,0.0,0.0,4.084489663234469e-19,0.0,0.0008645812885855321,0.0,0.0,0.0,0.010939261745547534,0.00043929576269553593,0.0,0.0,0.0022552570145464757,1.531683623712926e-19,0.0,0.0021521375012666477,0.0033508461971220762,0.0,0.002708492353204657,0.0,0.02967978153077608,0.007011860508065839,0.009240447289833479,0.0,0.0006653865935086653,0.009842456587025287,0.002361770170209641,0.013096995414626495,0.00046773369790981367,0.00784617702955431,0.0,0.0,9.360288811578992e-20,0.0008048798282351923,0.0,0.024493233759186966,0.015703414735742337,0.0,0.008204226129397635,0.00230624392480035,0.0022221974754010354,0.0019193018842026425,0.0040586772585887755,0.0,3.7441155246315967e-19,0.000260441478360351,0.003850822584531503,0.0,4.424863801837341e-19,0.0,2.467712504870825e-19,0.01827803952926367,0.010519575103084771,0.017609723832580196,7.828605187866065e-19,0.0,0.002927048392492869,0.0,6.467108633454576e-19,0.014374039691604867,0.0,0.0,1.0551598296689046e-18,0.0016921801856682175,0.13278641845389344,0.049510965291004676,0.0,0.001057127607763735,0.0,0.0,0.006043110774839717,0.0,3.57392845533016e-19,0.10750764768499542,0.03483388450587443,0.05747602703117794,0.125048081769516,0.09233752406246716,0.0,0.0010851545882900413,0.007830727204291973,0.002849690447985844,0.024856269094494836,0.01642123287045933,0.0068897447928939716,0.028651211199844862,0.001192495913892365,0.0,0.0,0.0,0.024952193774658363,0.018782109748108858,10
N2_10_QZ0_20.Rep_10,0.005129971182721032,0.0014327566827646318,0.0,0.0,0.0,0.012120733346280175,0.0,0.0,0.0,0.0014332777786985169,0.0,5.4132407408837215e-19,0.0,0.0,0.00045082209691416607,0.0,0.0,0.0005331545867767212,0.0036751879878547545,0.0,0.0006357301517702015,0.0,0.0,8.002181964784632e-19,0.001547971204376811,0.005031093074542712,0.0018026245233071427,0.0,0.0015571250182524967,0.0,0.08388634594209976,0.001215016191006633,0.007668311823769852,0.0025388930888062713,0.004207656771391927,0.008549701859532046,0.0,0.0035360584259082747,7.060748792457028e-20,0.006985323732421449,0.0,0.0,3.8834118358513654e-19,0.0013678091640364713,0.0007231748381017325,0.00819773513318697,0.0043549097305119735,7.060748792457028e-20,0.003051832302172772,0.0007520773022346369,0.0,0.002020951639437988,0.00541123077825766,0.0,0.0,0.0,0.0014122754870698557,0.0006989997915597933,8.002181964784632e-19,0.0006899987350232488,0.0,0.009281663265828214,0.005402260081646654,0.027656851820839396,0.0008949598067663692,0.0,0.0025364465123970197,6.354673913211325e-19,9.414331723276038e-20,0.0076025402907744675,0.0008512656920327861,0.0,4.707165861638019e-19,0.0,0.09992868139075133,0.0843435119249605,0.01695725136826467,0.0035874692112863944,0.0,0.0,0.010395672905505735,0.0,0.0,0.1226857955521188,0.03312093487545665,0.04661114347810519,0.13065043772031745,0.11461804319248842,0.0,0.0008195593975795007,8.538447277497362e-05,0.0,0.010804247533944959,0.006985858303366371,0.0,0.04609814988738463,0.0,0.0,0.0,0.0,0.021794746697285563,0.013668374247335338,10
N2_10_QZ0_20.Rep_11,0.0033729122552791035,0.0024990037953865367,0.0,0.0,8.113127581160584e-20,0.01610064938074587,0.0,0.0022072136063190557,0.0013362732570728513,0.0,0.0,0.0023375072651111344,0.0,0.0,0.0008868277762200005,0.0,0.0,0.0,0.006812185241817542,0.0,0.0,0.0005750734277153458,0.0,0.0008308653492609921,0.001972986669665797,0.002481272831713757,0.004588243629044763,0.0,0.0013182147322668917,0.0,0.047811066272436455,0.0030202751421381673,0.034943732759866536,0.001938879831533876,0.002529444411566297,0.007170773677481136,0.0,0.007151951538081952,0.0005072342651676316,0.007042141032779502,0.0,3.2452510324642334e-19,0.0,0.0016147702100586948,0.0,0.005408349502418497,0.004463166513682401,0.0,0.004393179676417144,0.0004521700203136436,0.0,0.0008897367873767514,0.002089599799901349,0.0,0.0,0.0,0.0020540161026533846,0.0,0.0,0.0006947426045474887,0.0,0.01455067535952975,0.009130357141671977,0.027333834697699632,0.0007731985648478815,0.0,0.0022580071136376226,0.002014872781231716,5.814408099831752e-19,0.01670953514844242,0.0008776880757787203,0.0,5.679189306812409e-19,0.0,0.09871186149291962,0.06363841262077329,0.0,0.0020710706801668234,0.0002838981260904563,0.0,0.0370104645380097,0.0,6.760939650967153e-21,0.09007091910360264,0.034800844175300806,0.05705437431564285,0.11054871972198453,0.09004472523522539,0.0,0.0018365606547987032,0.004348478326538162,0.002290212071599001,0.02033542618590012,0.031243720920001473,0.0014351071473718386,0.041946932567865435,0.0,0.0,0.003364528880343088,0.0,0.015327200440225655,0.038493914546760086,10
N2_10_QZ0_20.Rep_12,0.0011045982900050968,4.9370137205153693e-20,0.0,0.0,0.0,0.01630336450460638,0.0,0.0023866413168530756,0.0,0.0,0.0,0.0,0.0,0.0,0.0020249956119879104,0.0,0.0,0.00025140129980307055,0.009225725557908973,0.0,0.0,0.0,3.702760290386527e-19,0.0,0.0018384651660246238,0.0038014707196259655,0.003255479383349948,0.0,0.0033578057957822454,0.0,0.010037164364767918,0.0029193032926824224,0.024338826342742537,0.0,0.004434775166944812,0.0049380365886392465,0.0,0.006453728676908574,0.0008032458748839765,0.005113639651690073,0.0,1.4811041161546107e-19,0.0,0.0,0.0005779669415848422,0.015675324959438148,0.012927427936103596,2.2216561742319163e-19,0.005091549458288076,0.000712767025326362,6.0478418076313275e-19,0.0016672614899052075,1.604529459167495e-19,0.0,0.0,0.0,0.0017570416820550587,0.0,0.0,0.0,1.7279548021803792e-19,0.007020058738330728,0.008605172142947,0.01579503236229962,2.468506860257685e-19,0.0,0.0027865686804414785,0.0,0.0,0.038494943715192194,0.0,0.0,0.0,0.0,0.10335686791666629,0.05312955816508016,0.0,0.008436242563830859,0.0,0.0,0.010844727909415937,0.0,1.1108280871159581e-19,0.13367908382859953,0.03569558861499355,0.041011257214087514,0.13688321519069813,0.1182098840434648,0.0,0.0022695567539779034,0.00157917734859076,0.0025713498343326313,0.028975239196491392,0.03910316090299123,0.00172306594101959,0.012440908609779896,0.001125457354616451,0.0,0.0031727731337432277,0.0,0.02001960367506005,0.0320734990654409,10
N2_10_QZ0_20.Rep_13,0.0010910080989221433,0.0,0.0,0.0,3.7791109689288473e-19,0.014219421269599783,0.0,0.002350002409724903,0.0,0.0,6.095340272465882e-20,0.0,1.2190680544931765e-20,0.0,0.0019902786427834713,0.0,0.0,0.0014661225725891515,0.001126885369874708,0.0,0.0,0.0,2.681949719884988e-19,0.0011066899784468282,0.0019400449295286753,0.003032603733063885,0.0020764853857353246,0.0,0.0031452663532067337,0.0,0.026064233704381868,0.0030139209815607444,0.024393687910493202,6.577398097410354e-05,0.00538103565443466,0.006561978602265973,0.0,0.007248396009324848,0.000631212087173619,0.009047261752452485,0.0,2.4381361089863527e-19,7.923942354205648e-20,6.582967494263153e-19,0.0,0.017342096788678544,0.015259569457439792,1.706695276290447e-19,0.0034136204900880236,0.000673600287851949,3.7791109689288473e-19,0.0016562155885588526,0.0,0.0,5.607713050668612e-19,0.002033262147541719,0.0007405052368775654,0.0,0.0,0.0,0.0,0.010634610798961318,0.004310465241714328,0.01864011084573699,1.4628816653918118e-19,0.0,0.001863073193583319,0.0005376129825633034,1.24344941558304e-18,0.057153092306830425,0.0009628252741268997,0.0,1.0483985268641319e-18,0.0,0.06023705967381948,0.04474515265535158,0.0,0.007276118475712884,4.8762722179727055e-19,0.0,0.011086347637993705,6.582967494263153e-19,1.340974859942494e-19,0.14751621307568302,0.035042295181118746,0.02555673041600964,0.15397917543153625,0.13772615439139155,0.0,0.0015380262107549613,0.0006176914558269047,0.004735067794775633,0.020182234751048817,0.018131241155718257,0.009435574731652421,0.01857650913028154,0.0,0.0,0.003026058225718669,0.0,0.01853540957196684,0.03088396996654887,10
N2_10_QZ0_20.Rep_14,0.0012491386448875781,0.0,0.0,0.0,4.3268547312080406e-19,0.016193346065474415,0.0,0.003337596521447822,0.0,0.0,9.074260463604159e-05,0.0,1.256183631641044e-19,0.0,0.0028333775168999514,0.0,0.0,0.0010827875430461469,0.0060725128069934985,0.0,0.0,0.0,0.0,0.0,0.0015228884810859953,0.001721160534972857,0.0028897624942703284,0.0,0.001926882330717099,0.0,0.032159314757939116,0.0014037097987745883,0.02207065077884883,0.0,0.004300519613574776,0.010200617685378239,0.0,0.007975075340468419,0.0010412883573998036,0.013484870871796407,0.0,0.0,2.023851406532793e-19,0.0017002101997226897,0.0,0.012053533720729762,0.011157936368880336,0.0,0.002736523447538283,0.0009009865018645032,7.118373912632583e-19,0.0018836846462519778,0.0,0.0,0.0,0.00212119966704617,0.0018082450172006172,0.0,0.0,0.00055076635446326,7.676677748917491e-20,0.015574469059566725,0.003424400273812053,0.021341805643240973,0.0007558329450949339,0.0,0.002043965811946155,0.0007339306991803381,8.932861380558534e-19,0.049175506848502526,3.2918047417982436e-05,0.001301069457791024,1.256183631641044e-18,0.0,0.07379582305403323,0.04921930514152463,0.0,0.0008878981219919973,0.0,0.0,0.012402924992726511,0.0,0.0,0.11935919980741275,0.054515168312242415,0.04075173053507067,0.12715890978432778,0.10144869147155346,0.0,0.003443617470213957,0.005563914521893959,0.0007936606041820246,0.028221216542914485,0.026807771877901898,0.0016533282420154083,0.02141511754194662,0.0008481136331971222,0.0,0.002606855153478717,0.0,0.012284956865427694,0.05596856886708253,10
N2_10_QZ0_20.Rep_15,0.0032120116142091617,0.0008496780396354467,0.0,0.0,0.0,0.007989292044186273,0.0,0.0,0.0,0.0,0.002239124856845941,0.0027343410437851924,0.0,0.0,0.0004830857785678375,0.0009184938522923819,0.0039799492463610635,0.0,0.0,0.0,0.0,0.0,0.0,0.00033152601004451623,0.0008536559101092898,2.882030183895729e-19,0.00025276760482837606,0.0,0.004161462113519819,0.0,0.15411892578038286,0.0014237888972202081,8.867785181217627e-20,0.0027904522509426795,0.0008458125084952865,0.006703446243739667,0.0,0.0025369717175668847,0.00017848966046054928,0.00034125975845382346,0.0,0.0,1.2193204624174237e-19,0.0005088207464150929,0.0,0.0023671611534860247,0.001020218253683426,4.212197961078373e-19,0.0,0.0002553797215501476,2.2169462953044067e-20,0.0015877770725215635,0.003432837382965023,0.0,0.0,0.0,0.0018082894926237552,0.0004807242694678354,7.0942281449741015e-19,0.00043403862057880854,1.1084731476522034e-20,0.004383435953115646,0.0012118997035059206,0.009933279984855797,0.0005708316271703219,0.0,0.001584274345111491,0.0,0.0019673661990903756,0.008103865092643454,0.0006458788548673465,0.00029089567940417295,0.00030863029088392107,0.0,0.07682816198822137,0.08215145509385015,0.01849960234284343,0.004599012681897166,0.00039722241117506164,0.0,0.007578399953442636,0.0,0.0,0.15818197014235982,0.023416126623621244,0.032673819807876855,0.15874787009367988,0.14756164139085481,0.0,0.0,0.001130393101672842,0.0,0.0009436239524327822,9.388534709827956e-06,0.00018314507056255353,0.03902867605995497,0.0,4.655587220139254e-19,0.0,0.0,0.010003836295044637,0.00022551508021262818,10
N2_10_QZ0_20.Rep_16,0.0011145115815232292,0.0,0.0,0.0,0.0,0.01778343957920361,0.0,0.0026838640505483856,0.0,0.0,0.0,0.0,1.070984075550251e-18,0.0,0.0012020150578968105,0.0,0.0,0.0,0.01155633927504478,0.0,0.0,0.0,3.486924897140352e-19,7.222915858362158e-19,0.001440488490078409,0.0,0.0032054754140766833,0.0,0.000832901894156963,0.0,0.01723176818093232,0.003419512298249782,0.010967182449347466,0.0,0.005646073854285503,0.003984216798787016,0.0006053421657464998,0.004128618934375772,0.0003931305527032943,0.0032106946161524494,0.0010490316888338825,5.728519473873436e-19,1.618929416529449e-19,8.468246178769426e-19,0.0,0.011405634453173288,0.009603773210303613,4.9813212816290745e-20,0.0076864729045483795,0.0005889392186011384,1.743462448570176e-19,0.001758437249888992,0.0,0.0,0.0,0.0021684963912311584,0.0011817684548924379,0.0,0.0,0.0,4.9813212816290745e-20,0.009189041432274454,0.0064241987201810805,0.0243915958217162,7.471981922443611e-19,0.0,0.0026051139961483115,0.0009056688627719125,0.0,0.026717797887193622,0.00024235505026183046,0.00130832233765157,1.0460774691421056e-18,0.0012313638421438725,0.038090946659216265,0.019677244349276382,0.0,0.006682395147643944,4.981321281629075e-19,0.0,0.011706284173818665,0.0,0.0,0.1533791934541903,0.042710678861903134,0.05343857188781085,0.1675429201856376,0.15542674755000518,0.0,0.0021902700620940576,0.0011541800233406591,0.0011582191615104782,0.027085609459278882,0.03125498786552525,0.0011685731852212518,0.0249595403083394,0.0009620450074460112,0.0,0.005401013921362778,0.0006586824351491844,0.02184182438832905,0.0356464851979757,10
N2_10_QZ0_20.Rep_17,0.0010557952526990082,0.0,0.0,0.0,4.718888029969653e-20,0.0150325788778953,0.0,0.002820998755575669,0.0016709467370417015,0.0,0.00041857663660899733,0.002161533585430045,0.0,0.0,0.000563065815054627,0.0,0.0,0.0,0.009010446763719749,0.0,0.0,0.0008008101792390403,0.0,0.0013948336588983279,0.0018212193316134195,0.0019622787896434496,0.004691097519594296,0.0,0.0005851299206428498,0.0,0.07128659369980526,0.004373030261937117,0.01689056692836445,0.003788269023500242,0.006155361252841001,0.003993241133901135,0.0,0.0032598893948638553,0.0012421492686235077,0.0039632199835523485,0.0010004991573843503,0.0,0.0,0.0010330901003395144,0.0,0.015903691485749823,0.013265655171417425,1.1797220074924133e-20,0.01028121078350429,0.0005422921106564233,2.5953884164833093e-19,0.0011692980109073532,0.0,1.0617498067431719e-19,0.0,0.0019465330755421186,0.0028548100374869876,0.0003205473169242423,0.0,0.0,2.3594440149848265e-20,0.011342122946906367,0.009849857296296397,0.019674194335463628,1.415666408990896e-19,0.0,0.0023913319422252913,0.002991623781002009,2.0055274127371027e-19,0.031069921536279875,0.00014917710684359884,0.0020546466276756504,9.437776059939306e-20,0.002201637865682525,0.08704711612652401,0.046885997068811684,0.0,0.001389884308643181,0.0003149097309569952,0.0,0.015565811359574324,0.0,0.0,0.09970870651735911,0.0370850317458428,0.06632549382104111,0.102718765065313,0.08507225676368319,0.0,0.002766317514415472,0.003411071924903337,0.0017163990538570893,0.028203126295900063,0.027338775604342044,0.0010938260270310514,0.039643963406038374,0.0006042603061247406,0.0,0.004046994110055784,0.0,0.019943263047248673,0.04013425674300088,10
N2_10_QZ0_20.Rep_18,0.001120441639222496,2.629108511993671e-19,0.0,0.0,8.763695039978904e-20,0.011867454520025883,0.0,0.0029937286248083836,0.0,0.0,0.001344013743813848,0.0,0.0,0.0,0.0021858450124487955,0.0,0.0004717346655289113,0.000662279985932398,0.003422888728994508,0.0,0.0,0.0,0.0,0.0007706260175704443,0.0013792415100091677,0.0038045752054694693,0.001794394244163444,0.0,0.0031044304800673093,0.0,0.02250151411159127,0.0004704035785280174,0.008483307645084913,0.0,0.007942392708460167,0.004530549463989309,0.0,0.007652755930443944,0.0006845236225535911,0.006700550118083299,0.0,2.378717225137131e-19,0.0,1.2519564342827006e-20,0.0014585089518932076,0.012530058675344305,0.019248222905290914,2.503912868565401e-20,0.01005186394824304,0.000806246476725855,1.9405324731381857e-19,0.001662023020348003,3.255086729135021e-19,0.0,0.0,0.0,0.0013440223492846937,0.0,0.0,0.0,2.441315046851266e-19,0.010628801369849289,0.004329526213493119,0.016427335696562812,2.378717225137131e-19,0.0,0.0014547349145670777,0.0,0.0,0.04747637962233773,0.0009193019199204382,0.0023334094086361543,0.0,0.0,0.09288123433450657,0.07811444746342365,0.01078350105579975,0.0013849094015362955,0.0,0.0,0.011027996519131987,1.4397498994251056e-19,2.0344292057093883e-19,0.11134810506113624,0.03647980151055718,0.05372290613782198,0.1246124206131531,0.11161822793090374,0.0,0.00581850855919345,0.012691046613194394,0.0,0.02062519819074457,0.026479183384165057,0.009087745995169698,0.016875944039928207,0.0,0.0,0.0038042154289493276,0.0,0.009335174277486364,0.03875134645391227,10
